"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,1.05363506000006,1.08101021688452,1.10352812063001,1.13374747412597,1.1689695257189,3.99976624070467e-15
"2",2,1.0743210090528,1.08947101024837,1.11334847898673,1.14613599661503,1.18777325811804,3.99976624070467e-15
"3",3,1.05451812799054,1.06736044818859,1.08449548182295,1.11429466765158,1.16548201618582,3.99976624070467e-15
"4",4,1.01449515885568,1.03291126253714,1.0426663507532,1.0606959761106,1.09092683125423,7.58734775673188e-15
"5",5,0.95549961821709,0.969513198476129,0.984038543425067,0.994011919035823,1.0090362272953,2.42460433810187e-09
"6",6,0.882769331527027,0.913184581054511,0.934851408281315,0.958733438945573,0.969085419746741,4.31414348991926e-15
"7",7,0.828124849005898,0.877015213315174,0.909185503176535,0.934013180211534,0.95063608414884,3.99976624070467e-15
"8",8,0.793434459965176,0.862342999040582,0.891607788518851,0.916422250789791,0.941903424742351,3.99976624070467e-15
"9",9,0.831151628892665,0.881459611646982,0.917340569849852,0.938824955328127,0.957974422788006,3.99976624070467e-15
"10",10,0.918154379365337,0.940210530063142,0.961182785739842,0.970096110023826,0.983725059428618,4.32245915079535e-14
"11",11,0.976683270390953,0.990860841452728,1.00792186091924,1.01743916558175,1.03128078335934,0.0149913079891267
"12",12,1.03786102600324,1.05262737195859,1.07515679828805,1.10122678665624,1.1375587187826,4.831820084379e-15
