Month,10th,25th,50th,75th,90th,p-val
1,-5.7480320901320905,-5.117627680652681,-4.462281095672788,-3.5904643689643687,-2.7809358682592054,8.395530154995113e-13
2,-5.3769843771711825,-4.842346117424243,-4.302988569703244,-3.6420598731884057,-2.899104876893939,8.395530154995113e-13
3,-3.638665094611077,-3.2415900994838496,-2.821618527714116,-2.5035243960300626,-1.914880291005291,8.395530154995113e-13
4,-2.114669871794872,-1.5486747016947424,-0.8839278679653682,-0.5766390322071524,-0.20901059743396705,1.0559433616283263e-12
5,0.43808824150150694,0.7114920888573233,1.2121938498283327,1.6813843650633138,2.133051359335724,2.3909586819766588e-12
6,1.9490769841269842,2.480093163780664,3.0210574714919227,3.70211507034632,4.214427644500562,8.395530154995113e-13
7,3.0832665719696974,3.9575765329690635,4.74623678357987,5.656708308853845,6.455415806878307,8.395530154995113e-13
8,3.3085176767676767,4.318009474821264,4.988192468831674,5.866842509305211,6.957793975676725,8.395530154995113e-13
9,2.485777972027972,2.8147071850913314,3.2361112157376013,3.560338389748112,4.106656669663222,8.395530154995113e-13
10,0.2117810467310466,0.33745132575757575,0.640675925925926,0.8886486742424242,1.1728510489980448,3.2504515953414087e-12
11,-2.6603626023751024,-2.034890637140637,-1.6542040700776497,-1.3303225793416538,-0.8320736514905549,8.395530154995113e-13
12,-5.384970240407741,-4.512266227885581,-3.7696111306756146,-3.272880432067932,-2.3861899319903577,8.395530154995113e-13
