"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.283516322756455,0.403681336631745,0.537962007395568,0.67354756419601,0.847489869869209,3.62647669814351e-11
"2",2,0.239344018319972,0.312949381127708,0.401991619550478,0.552693736140911,0.714148756397553,2.67105193603236e-11
"3",3,0.289591597375681,0.358838197857522,0.480795892486647,0.574221142042831,0.744563585332572,2.58384636854729e-12
"4",4,0.337237871852667,0.448021792383667,0.659381431587797,0.766505744760191,0.930346959283732,2.05183807114318e-11
"5",5,0.803655651697686,0.982751015453576,1.24499763181249,1.39819893611366,1.64766555526219,1.21304079024543e-05
"6",6,1.30093380774936,1.54070214685679,1.77816632523665,2.19065217773613,2.6648946984466,2.05179842158366e-12
"7",7,1.1509779556204,1.42977632926421,1.77305672449948,2.13910889017789,2.92943461598332,2.0805559858329e-12
"8",8,1.25464222871553,1.56060494451404,1.92848945306896,2.24323360396407,3.19272096886296,1.48315107050161e-12
"9",9,1.24057494677709,1.43791870491461,1.70492488086401,2.27165467274781,3.29479377562234,2.46761095251536e-12
"10",10,0.935421340757827,1.19314421161034,1.45819731093163,1.74134251638234,2.20334630381232,1.24652892090807e-09
"11",11,0.636606926221243,0.847356925220687,1.05453178070534,1.33146156317248,1.66567080408973,0.0780835481046488
"12",12,0.443383967177725,0.57526567209994,0.693968519327304,0.838727681394856,1.11689490011152,9.19687364652984e-08
