"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.932016667193577,1.12124537233459,1.23831165309025,1.40542948832273,1.64476623045745,2.00123254575574e-10
"2",2,1.02496814469887,1.11890107723531,1.20730742312069,1.30780489354532,1.44881994964203,3.31894232104956e-11
"3",3,0.934852432308707,0.996958387653577,1.07168805821049,1.18509830921819,1.28970330419053,2.11835950600116e-06
"4",4,0.850593308211813,0.899117949595801,0.963843529916651,1.0146950737818,1.09098248419347,0.00214665067587486
"5",5,0.79058118873884,0.867352271230513,0.960660230068923,1.00267222268548,1.04980392906211,1.43090314308612e-05
"6",6,0.701024274872471,0.818072200454176,0.915719875817618,0.98164366296607,1.03231097991092,5.41045565632807e-09
"7",7,0.636695358304782,0.753516011238932,0.890985944237207,1.01135864462403,1.0745344288962,1.0034291853307e-06
"8",8,0.610006104805038,0.723870473584476,0.874775659142176,0.998652528427716,1.10515904142377,2.87682652365516e-06
"9",9,0.614939424500258,0.77411042707728,0.877878092111875,0.963471743642235,1.06816952168597,3.81942904186939e-07
"10",10,0.777682118626498,0.885555656723414,0.94366444822186,0.998457141159269,1.14210911446145,0.000746659293284844
"11",11,0.908270719827252,0.956331365312775,1.05944881252208,1.24860883902422,1.3995433479427,7.98896473503305e-05
"12",12,0.963878028023115,1.04519773929348,1.22654566987271,1.38717667536067,1.61593602940881,2.8877483529508e-10
