"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.684559782363947,0.784649262059208,0.83235531487724,0.886580074028779,0.965306434324278,6.37859885410974e-12
"2",2,0.764795076231276,0.815490414379822,0.865657378960373,0.920480912493256,1.01018014553044,2.36524483781797e-10
"3",3,0.76365862981356,0.822872570140521,0.865266499500647,0.920000970796929,1.0098409265426,1.46553897232776e-11
"4",4,0.82034600622499,0.852238220097591,0.897903091192012,0.927518983004919,0.967799642218247,1.21112036294702e-12
"5",5,0.921939545513915,0.954261469030804,0.972182629400381,1.00405377793234,1.02812980046271,6.17086693816174e-05
"6",6,0.946553781609659,0.991197303529667,1.02982417840439,1.06882895093902,1.12473471801165,0.000892744577544825
"7",7,1.01737181804892,1.06458090945047,1.1334114457996,1.20243797877556,1.37652078644432,3.5803422254146e-12
"8",8,1.02167981292605,1.08095066366876,1.16763384476184,1.30076825540256,1.56734714908899,3.5803422254146e-12
"9",9,1.00932322604348,1.07481559281265,1.14968402957972,1.27428636885147,1.49590060862624,5.58610282480229e-12
"10",10,0.890781700652564,0.963699231522224,1.07111024744401,1.13487778485521,1.22807072153939,0.00116231853669596
"11",11,0.787358686982246,0.826545146042531,0.90357509837556,0.979638587324363,1.01247395264832,1.1208774546475e-09
"12",12,0.765704296389837,0.825181465795607,0.861273122292348,0.916321848056072,0.969565802309082,2.07126648045843e-11
