"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.513659411070427,0.636047757683891,0.713127340320756,0.7794820644949,0.882573348850995,1.45324651912887e-12
"2",2,0.667733624887107,0.743728593148927,0.821794247125713,0.886794039031698,0.958529660755462,5.36576899260899e-12
"3",3,0.693487936556696,0.772344591987918,0.828964833020948,0.899588812248077,0.963065003726414,1.90785497487551e-12
"4",4,0.799508211709748,0.848269576158528,0.893105294033123,0.926536666204332,0.96493736713127,2.50106648843745e-12
"5",5,0.935059365567902,0.973151933390551,1.01556446385372,1.04633105167116,1.08835381052472,0.061062468716884
"6",6,0.959959681944919,1.00216048853786,1.04301935285595,1.11534182118321,1.23653456917863,7.63590485447697e-06
"7",7,1.04214008048895,1.11637268256393,1.20282098177178,1.28550631193566,1.65950626485452,1.00868817334777e-12
"8",8,1.06404304951403,1.14676429840708,1.24267087190895,1.3886223711102,1.78460165976851,1.38860074034282e-12
"9",9,0.993117280090195,1.10078913128097,1.20195902651142,1.3452500179182,1.65606968025996,9.47623846262649e-12
"10",10,0.857727406042936,0.926185478440194,1.0765783907785,1.15007155645036,1.28821448812658,0.00354705881144946
"11",11,0.725854636472851,0.773285964049078,0.856818136951137,0.910237821400595,0.97338297417207,3.91471807312767e-12
"12",12,0.659578438404168,0.734211371221958,0.787976525692694,0.839224682018259,0.879646625664264,1.15705981950919e-12
