"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.933232013314532,1.0845355525917,1.29982886180274,1.65500820910228,2.15561080379519,4.22315326816708e-10
"2",2,1.01832474282511,1.10889405807306,1.28025394930801,1.56277616681039,1.91036505358314,4.66229423986805e-11
"3",3,0.914840613032613,0.956885486003018,1.08863503533138,1.29677093572035,1.61884679131942,4.38571428336145e-05
"4",4,0.802573578920806,0.839330904270293,0.924632628418577,1.03153633579988,1.18587957921536,0.00158223012783977
"5",5,0.691321097943187,0.785009764977763,0.903871007626313,0.976987844436425,1.01329268657666,1.65571982591604e-09
"6",6,0.596435631587885,0.719385849050228,0.882238666089871,0.960553740846122,0.99649367557918,3.04737685436122e-11
"7",7,0.495199468682245,0.661657360318569,0.889604358423123,1.01129798093004,1.10605374056162,6.60276416833059e-06
"8",8,0.418965263080581,0.664869958177287,0.847264420863079,1.01451978670792,1.16446487275082,1.64609137354852e-05
"9",9,0.4400782823015,0.704063465022029,0.863611693213011,0.981641180533116,1.09523471531657,7.53801778520621e-07
"10",10,0.702534459959805,0.806984341799513,0.883060710190447,0.953183895569686,1.13168089791463,5.14277531195316e-06
"11",11,0.794483690708776,0.881696484170653,1.00180605410841,1.17701826634493,1.34464649906214,0.195998091162735
"12",12,0.935540072631968,1.04312495657824,1.2925570949029,1.49295878659917,1.91877399621433,6.70988556776035e-10
