"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.63348776530047,0.722093990877451,0.817730756128358,1.00564199963706,1.15914277438648,2.63121208245695e-05
"2",2,0.660081875948449,0.713690249259574,0.807981741822442,0.96155026643859,1.06284341202341,6.92758733374993e-08
"3",3,0.631638171423657,0.675918784691396,0.749583580624863,0.870428498062138,0.984095194041596,3.70818421759432e-09
"4",4,0.572449748390543,0.64135266505465,0.718567522594039,0.813390721075109,0.937047138006501,2.18480944354402e-12
"5",5,0.744046278868897,0.847468824028845,0.933999312082423,1.02255914117854,1.09839179731508,0.000380616940553436
"6",6,0.883047898084092,1.01482754752143,1.14618154065354,1.25648505500747,1.43771573988404,1.66206528978314e-07
"7",7,0.908976536718261,1.08187842152913,1.2776165928573,1.45341600635745,1.62839701322557,1.16567858731167e-09
"8",8,0.989084448983089,1.10212506910244,1.25511202935272,1.5079136350566,1.93134985815654,7.26421964468412e-10
"9",9,0.883432767522912,1.09123421828889,1.24586942464712,1.49716320683236,1.88384959185434,1.01905209676328e-08
"10",10,0.97516125751818,1.10545585248271,1.21692820505122,1.30992624258468,1.60375497522473,1.20725291785257e-10
"11",11,0.821895675516835,0.916701162761458,0.989255817357017,1.13578848983948,1.32801855566314,0.750840359466625
"12",12,0.746179042679889,0.845964145902448,0.918404978193897,1.125688189889,1.3395287871146,0.11738063775939
