"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,0.947615267145336,1.04649203754633,1.32626555826965,1.48842514559236,1.76934357325464,1.66830408759504e-09
"2",2,0.888073019881834,0.988274163823283,1.18011907563048,1.35289216585341,1.8086421369831,1.77807715129419e-07
"3",3,0.770065404890248,0.827749087414409,0.929705259629706,1.02611144141539,1.26625351083768,0.0042245071913953
"4",4,0.706379545366422,0.761813374002085,0.841447633346277,0.941764807411119,1.05339789856866,2.6106973539793e-08
"5",5,0.78388370135456,0.926698949563723,1.05598764382292,1.2703795660636,1.41178392434252,0.00483835104146403
"6",6,0.77115899665542,0.923744592348507,1.05840131873588,1.22440323215437,1.36361788277078,0.00982480513119234
"7",7,0.589197585628641,0.772245922856344,0.924923051701418,1.07195809132412,1.15216926260241,0.00268562309161325
"8",8,0.625144074045717,0.718962845421071,0.885161383891384,1.0193939551042,1.17588620092214,0.000429856931812584
"9",9,0.61102584444365,0.73728309624389,0.892997452352139,1.02731140956144,1.22997319361276,0.000483178577593447
"10",10,0.732156788111188,0.824780369621885,0.95902914165457,1.25246382301034,1.49929381901166,0.708474836975195
"11",11,0.802820551248566,0.88441841603122,0.996538184902356,1.35686143179524,1.81250404670583,0.962791212424655
"12",12,0.991622749438037,1.15663265411716,1.38811757977124,1.71190745973105,1.9586658458039,4.70551691739106e-11
