"","Month","10th","25th","50th","75th","90th","p-val"
"1",1,1.05950858490038,1.28602379624966,1.55475488876751,2.13325200107979,2.93935041469773,7.95069315171072e-12
"2",2,0.957504958376471,1.15350894693075,1.3230852571893,1.51768271020664,1.81159914503864,3.26087994632033e-10
"3",3,0.978777001200218,1.12429064849685,1.29516690334428,1.54221384610217,1.74578842475438,1.38239538652787e-10
"4",4,0.862559108159631,1.00289311447702,1.1073301008606,1.26822278968706,1.50659710445302,1.10923487839181e-05
"5",5,0.954201983562071,1.05397480540094,1.20867540285945,1.44738807437932,1.61186569378103,1.87895016382255e-09
"6",6,0.848328389914647,1.00346329672876,1.15332752039389,1.33192544040406,1.55751309249107,2.78713352673426e-06
"7",7,0.563580575744721,0.700240110010868,0.855305453423091,1.0147160809739,1.28357200426644,0.000346832133257747
"8",8,0.517396213651976,0.666280871509004,0.792884502998085,0.931860431959452,1.25674993015715,0.000139088347682065
"9",9,0.54481179964141,0.64830820926594,0.807995369956637,1.0042264150904,1.23819690578153,5.27535032510499e-05
"10",10,0.678997183967732,0.790444898999834,0.927167513023433,1.27142998016596,1.68140214680116,0.657322260151211
"11",11,0.679448225972138,0.948884281265435,1.29455361488133,1.57625478167682,2.20405423254262,6.60276416833059e-06
"12",12,0.945996843014118,1.1207638296459,1.40002639600979,1.77621120272699,2.10899213537853,3.13155690352655e-10
