"","SITE_CODE","Mean Slope (cfs/wtryear), 90th Percentile","% Change Per Water Year, 90th Percentile","Mean Slope (cfs/wtryear), 50th Percentile","% Change Per Water Year, 50th Percentile","Mean Slope (cfs/wtryear), 10th Percentile","% Change Per Water Year, 10th Percentile","SITE_NAME"
"71","51T",3.68084333333334,0.574191129131244,-0.674116666666667,-0.294095085193923,-0.91974,-1.46813564300172,"Sammamish River at NE 116th ST, USGS gage 12125200 data before 2005"
"72","54h",-0.0906566666666668,-0.461588463767674,-0.03105,-0.990035870864886,-0.00534666666666667,-1.81120144534779,"Soosette Creek Above SR 18"
"73","54i",-0.12827619047619,-1.24056211675689,-0.0169960317460318,-0.461291573324143,-0.00778333333333333,-0.401582251268381,"Little Soos  Creek at   SE 272nd"
"74","58A",-0.0963698412698414,-0.5025078629366,0.0250753968253969,0.34853833425262,0.00482539682539681,0.141821472890638,"Thornton Creek near Mouth, STA046, USGS 1212800 data before 2013"
"75","63a",0.199571786833857,2.55196847344206,0.0374764890282134,2.35302756516191,-0.00938056426332292,-2.34108918071027,"Lewis Creek at West Lake Sammamish Parkway SE"
"76","65A",0.04304,3.14000145910848,0.00485,1.06593406593407,0.0019,0.783828382838285,"Tahlequah Creek at mouth, Vashon Island"
"77","65B",0.03875,1.4583568552181,0.00894999999999999,0.787159190853121,0.0047,0.901419255849637,"Fisher Creek at mouth, Vashon Island"
"78","bl1",-0.01019477124183,-0.827813866598733,-0.00275163398692811,-1.69178219811131,-0.000143790849673203,-7.40740740740741,"Beaver Lake 1"
"79","bl2",-0.0448640522875817,-1.73705534171975,-0.00392374727668845,-1.28030141465842,-5.66448801742919e-05,-3.20987654320988,"Beaver Lake 2"
"80","bl4",-0.105058387799564,-1.96092687951404,-0.00334640522875817,-0.82387963633438,0,NA,"Beaver Lake Outlet at weir"
"81","COB_MCF",0.0257866666666663,0.0512856209995252,0.0343,0.259504444864763,-0.0385766666666666,-0.598222339388958,"City of Bellevue Mercer Creek,  former USGS 12120000"
