Locator,Stream,% Basin Developed,Dev_Peak,TSS_mean,TSS_logmean,Fecal_mean,Fecal_logmean,TSS_slope,Fec_slope
0317,Springbrook,91.2499606633729,Low Dev,10.782073170731707,2.2238507298783983,327.29471544715443,5.52574145736039,-0.4284799493007655,-0.3478412881281331
0322,Newaukum,25.9779944258515,Low Dev,4.494430894308944,1.4675795509214546,318.74322493224935,5.1870623356212855,-0.10321093220779941,-0.5688297586926544
0444,Kelsey,87.3487159303355,Low Dev,4.544887387387388,1.3649274545813177,210.70495495495496,5.078421737314143,-0.36703571456234674,-0.5496075399184945
0450,Sammamish,57.9318609285892,Low Dev,5.230344827586207,1.5970027895862287,196.05172413793105,5.151237419374202,-0.3503379866776778,-0.46752217305516647
0478,Little Bear,69.029799029799,Low Dev,5.745934959349593,1.6875893274612586,187.47560975609755,5.071561384178411,-0.08544961744232171,-0.35562456971898554
0486,Sammamish,36.8441047721073,Low Dev,2.722317073170732,0.9462239145780367,24.270325203252032,3.0359852636530764,-0.2377753322574719,-0.320331639635802
0631,Issaquah,21.1904451440245,Low Dev,5.8723170731707315,1.694499360432929,116.22764227642276,4.605346111881281,-0.059652203774742764,-0.30524563658124887
3106,Green,21.5198684491356,Low Dev,6.910040650406504,1.8948169443379694,82.90487804878052,4.162177816176834,-0.13673652392497768,-0.5193415533239798
A315,Mill,81.2942743009321,Low Dev,8.708986486486486,2.103166255836797,460.0135135135135,5.685164243486806,-0.05941213214584075,-0.69280956621844
A319,Green,6.52816005400914,Low Dev,3.827285714285715,1.2719546470467216,31.564285714285713,3.275003941826705,-0.10473837234471511,-0.22930235696111312
A438,Cedar,8.97713011439979,Low Dev,2.2395714285714283,0.739177313035932,27.104761904761908,3.093844882075538,-0.17744919738515552,-0.40060721111083564
A631,Issaquah,17.9471916322973,Low Dev,3.6337387387387383,1.211040125617434,59.37837837837838,3.9824483101420567,-0.015479453962475073,-0.19947319452409143
B319,Green,3.31142699612784,Low Dev,2.7881097560975614,0.9315842193362309,7.859756097560975,1.9890903946697926,-0.16464178819249842,-0.13273543303558255
C484,Bear,55.282476518171,Low Dev,6.766756756756756,1.8599501872632394,183.49943693693695,5.040579370129292,-0.19947853552199335,-0.4267899799987015
D444,Kelsey,87.4889123548047,Low Dev,3.197413793103448,1.0945181242734014,216.13793103448276,5.2645666615023385,-0.3111013238458097,-0.12263149893527493
J484,Bear,43.8112402903996,Low Dev,4.226880952380952,1.4117502993133872,75.025,4.272924912418173,-0.09216268585110954,-0.03064120399922939
0440,May,51.8779785143103,1980s,5.123536585365853,1.5266648872120108,119.40040650406505,4.572537375524918,-0.14906432768592612,-0.20103504822425936
