Year,AMES_1,SNQDUVALL,RAGING_MTH,TOLT_MTH,PATTER_3,HARRIS_1,GRIFFIN,NFK_SNQ,SFK_SNQ,CHERRY_1,A620,0631,A632,0456A,A685,A631,0484,N484,0438,0442,B484,A499,A438,S484,0446,C484,A690,0444,J484,X438,C446,0498,A456,0632,0456,0484A,N484A,KTHA01,S478,A617,A432,0430,D474,0450CC,KTHA03,B499,A680,0474,0440,0478,KSHZ06,0470,KTHA02,0434,BB470,A670,X630,0486,A630,A687,D444,0450,A315,3106,0321,C320,D320,LSIN9,B319,LSIN1,C370,0322,G320,0311,0317,A319,FF321,A320,0305,J370,0309,0307,F321,0308,BSE_1MUDMTNRD,VA12A,VA65A,VA45A,VA37A,VA41A,VA42A,VA23A
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03964208077390885,0.03093476044691362,NA,NA,NA,NA,NA,NA,NA,0.03093476044691362,NA,NA,0.021809137110604546,NA,NA,NA,NA,NA,NA,NA,NA,0,0.035288420610411236,NA,NA,0.03964208077390885,0.044511114469912336,NA,NA,NA,NA,0.04938014816591583,NA,0.04938014816591583,NA,0.04938014816591583,NA,0.05906526090695805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0.033583920343151184,0,NA,NA,0,NA,0.03313311024299056,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.021776482063568782,0,NA,0,NA,0.038347518003458175,0,NA,0.03917684442762376,0,NA,0.04084843087318914,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0.020247503876810104,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0.029049060349256407,0,0.02517504999925672,0,0.01367222041521574,0.011838403027757741,0.012300877551192212,NA,0,NA,NA,0.05035009999851344,0.03146550789484383,0,0.13834520420046867,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02914623921586821,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,0.044877461694310714,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028248749317020292,0.03706527527714723,NA,NA,0.01991548788991701,0.03576574414618182,0.03791323389634385,0,0.029148449782766615,0.04208358537352261,0.0629308822192486,0,NA,0.04792417565557954,0.036629381562392725,NA,0.05858140306412809,0.02778245116249309,NA,0.051317072673408834,0.10665145500887961,NA,NA,0.06823799343422528,NA,NA,0,NA,NA,0.04306670561795491,0.0387846919298134,0.07738879971512094,NA,NA,NA,NA,0.07931303917375698,0.034459462415719136,0.041537727431196235,NA,0.053741339913468356,NA,0.05713054264401457,NA,NA,NA,0,0.034459462415719136,NA,0.060998690250229214,0,0.1690403676763549,0,0.04049500775362021,0.011998322293470488,0.014040503295997524,NA,0,NA,0.07257724386129429,0.05035009999851344,0.013025822548290348,0,0.22770336765613206,0,NA,0.024601755102384423,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027342035667114427,0.04122619652942716,NA,NA,0.01846714126845225,0.0374931180893191,0.03575561171443457,0,0.025056064036362024,0.04049500775362021,0.05519478530694867,0,NA,0.041537727431196235,0.03749628918143259,NA,0.05809797559870848,0.025497394109374176,NA,0.0484098528864817,0.0629308822192486,NA,NA,0.05616161146962283,NA,NA,0,NA,NA,0.0313782325218072,0.03313311024299056,0.06968486879840097,NA,NA,NA,NA,0.07112947811109754,0.034459462415719136,0.03964060783948113,NA,0.04888978507575929,NA,0.044524325127007755,NA,NA,NA,0,0.032702812469925985,NA,0.04938014816591583,0,0.11952162090151061,0,0.02822796682859184,0.01846714126845225,0.02038352533444259,NA,0,NA,0.07931472216532442,0.049864784061951044,0.023650536088364087,0,0.22156663839495633,0,NA,0.0304850771897337,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02734444083043148,0.0353314600390675,NA,NA,0.01895791355828064,0.04134507050213972,0.0353314600390675,0.013019412794734005,0.02778245116249309,0.04452508997313637,0.05519493832205663,0.015043576110066292,0.04452508997313637,0.04549683349308213,0.03706527527714723,NA,0.06389677568992408,0.026435322017208565,NA,0.060032115837797266,0.06389677568992408,NA,NA,0.06196498874857312,NA,NA,0,NA,NA,0.0353314600390675,0.03706527527714723,NA,NA,NA,NA,NA,0.06389677568992408,0.036200028253296136,0.04134507050213972,NA,0.03878620792534206,NA,0.04258044710877226,NA,NA,NA,0.022239543384275348,0.02552117321027006,NA,0.060998690250229214,0.033583920343151184,0.14814143456566087,0.12241773343624714,0.024139280578949953,0.010956528959540718,0.01991548788991701,NA,0.014040503295997524,NA,0.07161371423680087,0.03964208077390885,0.014040503295997524,0.03048924478081487,0.17188648150222421,0.018954011537226204,NA,0.01991548788991701,0.13576746931453318,NA,0.11955505522880952,0.17567998183462893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025978247613739312,0.04049357563802429,NA,NA,0.01846714126845225,0.03706527527714723,0.0353314600390675,0.011477425626505604,0.0286940849725738,0.03878014151538372,0.05664682743998761,0.011998322293470488,0.03706527527714723,0.04116958602623981,0.0322593403950324,NA,0.05519493832205663,0.024601755102384423,NA,0.05131971523742039,0.08171967728951497,NA,NA,0.06775722564578099,NA,NA,0,NA,NA,0.03749628918143259,0.036629381562392725,0,NA,NA,NA,NA,0.05809812069851281,0.03445769019110934,0.03619836765810737,NA,0.03576574414618182,NA,0.044392138763450384,NA,NA,NA,0.020865750159519608,0.03531600719763475,NA,0.05035009999851344,0.04049500775362021,0.13957692603416802,0.14243227095966637,0.028698599549893455,0.009445684673078283,0.016036053745501863,NA,0.010956528959540718,NA,0.052773160630900706,0.03180395609924287,0.011743093984537904,0.026435322017208565,0.23336385877894048,0.014040503295997524,NA,0.01991548788991701,0.09755603783263532,NA,0.0850832195585314,0.11000010722079272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016036053745501863,0.030043729114716124,NA,NA,0.011998322293470488,0.03226320795312618,0.02552117321027006,0,0.017992535184535398,0.031821704596700785,0.05131971523742039,0.006545666652537392,0.030041605114840116,0.036200028253296136,0.02552117321027006,NA,0.04938014816591583,0.016527424196244676,NA,0.0353314600390675,0.07064995095367237,NA,NA,0.05761440549448586,NA,NA,0,NA,NA,0.023673897002056243,0.030024576069991524,0,NA,NA,NA,NA,0.04743920702476104,0.024601755102384423,0.029148449782766615,NA,0.03964208077390885,NA,0.0353314600390675,NA,NA,NA,0.0051324174192422115,0.022746038901728063,NA,0.04452508997313637,0.03226320795312618,0.1424327867060389,0.10713076054521416,NA,0.0037509281688004777,0.01601651924026646,NA,0.0024110114619201625,NA,NA,0.036200028253296136,0.0051324174192422115,0.025978247613739312,0.1823150763619075,0.011998322293470488,NA,0.016518055647300845,0.10376225507646464,NA,0.07401733152897493,0.07402207897066893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016036053745501863,0.024601755102384423,NA,NA,0.010956528959540718,0.025978247613739312,0.0313782325218072,0,0.021809137110604546,0.033583920343151184,0.04452508997313637,0.007984752198791224,0.03181973587823259,0.03270471130955156,0.021809137110604546,NA,0.05616296458951632,0.016518055647300845,NA,0.02959608944874137,0.054226606024381015,NA,NA,0.04743902801586247,NA,NA,0,NA,NA,0.01895791355828064,0.023676806055515483,0,NA,NA,NA,NA,0.05519493832205663,0.02552117321027006,0.028248749317020292,NA,0.03093476044691362,NA,0.0353314600390675,NA,NA,NA,0.0051324174192422115,0.029148449782766615,NA,0.04743920702476104,0.026889881423820025,0.20503190077770506,0.1695146719043819,NA,0.006545666652537392,0.01847522437140802,NA,0.004441672794021344,NA,NA,0.03792730308571795,0.009445684673078283,0.028248749317020292,0.20692285057020068,0.012512072420880418,NA,0.017018794646987488,0.12146266809405032,NA,0.12623208517264345,0.13098884174313868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015539814927784078,0.02552117321027006,NA,NA,0.011477425626505604,0.025978247613739312,0.028248749317020292,0,0.02039061902471831,0.028248749317020292,0.044039027050136965,0.006545666652537392,0.033583920343151184,0.031813824728933654,0.020862312500260778,NA,0.06679136319925799,0.017018794646987488,NA,0.026435322017208565,0.04258044710877226,NA,NA,0.05131971523742039,NA,NA,0,NA,NA,0.023211422478621773,0.022271278107517545,0,NA,NA,NA,NA,0.04306670561795491,0.026889881423820025,0.025978247613739312,NA,0.025056064036362024,NA,0.03576574414618182,NA,NA,NA,0.006545666652537392,0.02038352533444259,NA,0.04743759498582491,0.024139280578949953,0.1248043258149894,0.18041978607848838,NA,0.009445684673078283,0.017018794646987488,NA,0.004441672794021344,NA,NA,0.03402169137943516,0.006545666652537392,0.026435322017208565,0.1861044220790525,0.010956528959540718,NA,0.016036053745501863,0.14814143456566087,NA,0.14909248641194084,0.16239604974039876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017992535184535398,0.028248749317020292,NA,NA,0.010956528959540718,0.031821704596700785,0.03226320795312618,0,0.022746038901728063,0.033583920343151184,0.04743920702476104,0.007984752198791224,0.03402169137943516,0.036200028253296136,0.02734444083043148,NA,0.060032115837797266,0.022277588006166305,NA,0.02914623921586821,0.060032115837797266,NA,NA,0.056642351992996755,NA,NA,0,NA,NA,0.028248749317020292,0.02734444083043148,0,NA,NA,NA,NA,0.04938014816591583,0.026435322017208565,0.03270471130955156,NA,0.030043729114716124,NA,0.04049500775362021,NA,NA,NA,0.007995675662807837,0.022746038901728063,NA,0.04258044710877226,0.030043729114716124,0.14814143456566087,0.19509909320163693,NA,0.008715218435934754,0.014040503295997524,NA,0.0024110114619201625,NA,NA,0.05228900046986248,0.0051324174192422115,0.028698599549893455,0.18705175735404872,0.007984752198791224,NA,0.016036053745501863,0.15099339979831944,NA,0.14671463636626494,0.2654006795934001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015043576110066292,0.028248749317020292,NA,NA,0.010185634401484777,0.034459462415719136,0.028248749317020292,0,0.01991548788991701,0.03270471130955156,0.04938014816591583,0.006545666652537392,0.043552768540954315,0.0353314600390675,0.022746038901728063,0.023676806055515483,0.05131971523742039,0.019436700724098824,NA,0.03226320795312618,0.08940030996266463,NA,NA,0.05519493832205663,NA,NA,0,NA,NA,0.03270471130955156,0.025518538559796494,0,NA,0,NA,0.05277251916028504,0.043552768540954315,0.022277588006166305,0.026435322017208565,0,0.03003522695686054,0,0.036622835170530596,NA,0.026435322017208565,NA,0.007984752198791224,0.021809137110604546,NA,0.04006854426376453,0.03878620792534206,0.1033028027969665,0.03792730308571795,NA,0.010956528959540718,0.016036053745501863,NA,0.005867840183795851,NA,NA,0.0387846919298134,0.0030809698153603203,0.034459462415719136,0.12146435804936817,0.011998322293470488,NA,0.015539814927784078,0.05761411274823719,NA,0.04159752245052321,0.03792730308571795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017018794646987488,0.021809137110604546,NA,NA,0.01092558412989127,0.036200028253296136,0.02552117321027006,0,0.02552117321027006,0.036200028253296136,0.0484098528864817,0.0065585848090167174,0.03576236884643318,0.0484098528864817,0.024601755102384423,0.016518055647300845,0.06293101578968766,0.022277588006166305,NA,0.03226320795312618,0.06623863799728028,NA,NA,0.05519493832205663,NA,NA,0,NA,NA,0.033583920343151184,0.03003522695686054,0,NA,0.018532637638573615,NA,0.02687510244257552,0.043552768540954315,0.024590680459468314,0.02914623921586821,0,0.03226320795312618,0.018963651542858975,0.03532974533450764,NA,0.027342035667114427,NA,0.010956528959540718,0.01895791355828064,NA,0.043420951997610924,0.030043729114716124,0.12289115242586346,0.028248749317020292,NA,0.009445684673078283,0.015043576110066292,NA,0.008715218435934754,NA,NA,0.04741850954798274,0.0051324174192422115,0.028698599549893455,0.09276241591345219,0.01092558412989127,NA,0.015539814927784078,0.04549514999762698,NA,0.02914623921586821,0.021809137110604546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016527424196244676,0.022746038901728063,NA,NA,0.011991175753915534,0.03445236978142385,0.03093476044691362,0,0.026435322017208565,0.028248749317020292,0.05519493832205663,0.007984752198791224,0.03396732885405434,0.035731892685304814,0.023676806055515483,NA,0.05713069029045891,0.017992535184535398,NA,0.030476730313285925,0.05906397666904472,NA,NA,0.04743920702476104,NA,NA,0,NA,NA,0.03226320795312618,0.028239525565962344,0,NA,0.054709845380160695,NA,NA,0.04116958602623981,0.025045239866079774,0.028698599549893455,0.05034993170166811,0.03269711143131638,0.05954868837237766,0.034884993293349396,NA,NA,NA,0.01092558412989127,0.021809137110604546,NA,0.0484098528864817,0.030043729114716124,0.12998857859162594,0.02914623921586821,NA,0.013025822548290348,0.016036053745501863,NA,0.011998322293470488,NA,NA,0.04251004886337829,0.007984752198791224,0.0304850771897337,0.12860953156726893,0.016527424196244676,NA,0.021809137110604546,0.048405463079712586,NA,0.02959608944874137,0.034895461227393315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014040503295997524,0.018942272403253548,NA,NA,0.010956528959540718,0.032702812469925985,0.021809137110604546,NA,0.017992535184535398,0.029148449782766615,0.04549683349308213,0.010956528959540718,0.02596277768626789,0.023205446106494484,0.01895791355828064,NA,0.03792730308571795,0.013025822548290348,NA,0.022271278107517545,0.04419249525728381,NA,NA,0.04134507050213972,NA,NA,0,NA,NA,0.022746038901728063,0.01701429446501863,NA,NA,0.04792417565557954,NA,NA,0.028685041232061094,0.015043576110066292,0.02039061902471831,0.044039027050136965,0.019413965878796017,0.041537727431196235,0.026889881423820025,NA,NA,NA,0.007984752198791224,0.010956528959540718,NA,0.028239525565962344,0.017992535184535398,0.05713069029045891,0.01895791355828064,NA,0.010185634401484777,0.013533162922143935,NA,0.010185634401484777,NA,0,0.043552964127137564,0.006545666652537392,0.017992535184535398,0.031821704596700785,0.015038278520749694,NA,0.017992535184535398,0.029148449782766615,NA,0.021809137110604546,0.021809137110604546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016527424196244676,0.017018794646987488,NA,NA,0.01092558412989127,0.02734444083043148,0.021809137110604546,NA,0.021337443635062077,0.01895791355828064,0.04938014816591583,0.009445684673078283,0.03003522695686054,0.024139280578949953,0.017992535184535398,NA,0.05035009999851344,0.013520949201768391,NA,0.023665155160437303,0.03576236884643318,NA,NA,0.04452508997313637,NA,NA,0,NA,NA,0.024601755102384423,0.021337443635062077,NA,NA,0.05325796203228761,NA,NA,0.03048924478081487,0.021809137110604546,0.023193461684894834,0.05083490761796691,0.022733752630952016,0,0.031821704596700785,NA,NA,NA,0.006545666652537392,0.011998322293470488,NA,0.03576574414618182,0.019429142672027503,0.04840967759533843,0.02039061902471831,NA,0.01092558412989127,0.013025822548290348,NA,0.008715218435934754,NA,NA,0.04501058363619041,0.006545666652537392,0.020865750159519608,0.04049500775362021,0.009445684673078283,NA,0.017992535184535398,0.031821704596700785,NA,0.023211422478621773,0.019911831858900123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013025822548290348,0.02413360605599906,NA,NA,0.010956528959540718,0.030043729114716124,0.026435322017208565,NA,0.020865750159519608,0.023676806055515483,0.049865124082214635,0.0072652094256643075,0.0286940849725738,0.02552117321027006,0.017992535184535398,NA,0.043552964127137564,0.014040503295997524,NA,0.027342035667114427,0.04258044710877226,NA,NA,0.045982518319162696,NA,NA,0,NA,NA,0.0313782325218072,0.027796595073725887,NA,NA,0.054710463310901965,NA,NA,0.033583920343151184,0.020862312500260778,0.025978247613739312,0.05519493832205663,0.028248749317020292,0,0.031821704596700785,NA,NA,NA,0.006545666652537392,0.010956528959540718,NA,0.03093476044691362,0.022746038901728063,0.04251004886337829,0.020865750159519608,NA,0.006545666652537392,0.014040503295997524,NA,0.006545666652537392,NA,0.030043729114716124,0.04134507050213972,0.006545666652537392,0.019436700724098824,0.03964208077390885,0.006545666652537392,NA,0.016036053745501863,0.03663265176522168,0.028248749317020292,0.021809137110604546,0.02459898963289277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016036053745501863,0.022746038901728063,NA,NA,0.013025822548290348,0.030041605114840116,0.027796595073725887,NA,0.01991548788991701,0.03357658231788414,0.05035009999851344,0.010956528959540718,0.027342035667114427,0.02459898963289277,0.02552117321027006,NA,0.041962758805455996,0.01895791355828064,NA,0.02413360605599906,0.07498503869381112,NA,NA,0.04165564894923922,NA,NA,0,NA,NA,0.031821704596700785,0.024601755102384423,NA,NA,0.05616296458951632,NA,NA,0.036185064134246624,0.025045239866079774,0.030043729114716124,0.05131971523742039,0.02596277768626789,0,0.03792574160124465,NA,NA,NA,0.010185634401484777,0.016036053745501863,NA,0.03619338275071854,0.020865750159519608,0.05228900046986248,0.020865750159519608,0.025978247613739312,0.01092558412989127,0.01895791355828064,NA,0.006545666652537392,NA,0.03445769019110934,0.05471077217321882,0.006545666652537392,0.019436700724098824,0.048893959191331826,0.014034699329178321,NA,0.018954011537226204,0.04244901731463864,0.0322593403950324,0.022258621496150717,0.02914623921586821,0.017992535184535398,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017214063915815092,0.025655741091238166,NA,NA,0.013572632444463995,0.029148449782766615,0.02561282109550889,NA,0.017505664915761443,0.027796595073725887,0.0494286534274828,0.009313387037961304,0.025750032020149718,0.02413998925449371,0.024462529472723888,NA,0.04714794379926538,0.017018794646987488,NA,0.024601755102384423,0.07926735316498981,NA,NA,0.043552964127137564,NA,NA,0,NA,NA,0.02625084628074034,0.023025626645452824,NA,NA,0.05325796203228761,NA,NA,0.03706527527714723,0.02251015537164066,0.029148449782766615,0.0485068980706021,0.02734444083043148,0,0.03226369117552083,NA,NA,NA,0.00301293121668047,0.017018794646987488,NA,0.03929716933018393,0.021338277661775564,0.0841224634465791,0.012821390958371004,0.02413998925449371,0.009690944868519163,0.01603118537852689,0.004437217816129581,0.004992717592860235,0.04821575199421853,0.041470575562056994,0.05983876744311745,0.005694295453039027,0.017991030759057138,0.038614672355587625,0.012308000210331524,NA,0.016036053745501863,0.035629393661487055,0.036498764511340515,0.023486894128299338,0.027297745193321406,0.016323826156306745,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03279278196630299,0.011552254805677179,0.02222392309656136,NA,NA,0.011508112151276523,0.029775598982584767,0.024693941299748064,NA,0.021854767457255952,0.02689049601203827,0.049574158944286774,0.0073918892321601015,0.025767574587557233,0.024691712468954578,0.021997024533312384,0.017895547278843654,0.03818453995548689,0.02010091036284776,NA,0.02561187731211935,0.0841224634465791,NA,NA,0.03506729921231834,NA,NA,0,NA,0.027342035667114427,0.030534056852909164,0.02437098414227117,NA,NA,0.052192072022057175,NA,0.04299592062335117,0.04092039222022271,0.024509485835019877,0.031644635403292536,0.04962220284581581,0.02552117321027006,0,0.028248749317020292,NA,NA,NA,0.004024297289127864,0.01578787294643883,NA,0.03628628688770032,0.020199017768656742,0.04520512236545547,0.021761726685918442,0.027022990109691614,0.011441737082270198,0.015441582965160103,0.003424114639024872,0.006047874373028744,0.021809137110604546,0.04501100898643205,0.05771118364053673,0.004992717592860235,0.02385876755957798,0.03654651976102741,0.00877114570313544,NA,0.017018794646987488,0.03288085262305441,0.03528639251801935,0.022837434031515336,0.021289218411063474,0.016724948835689004,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027768257774649023,0.014090909066156515,0.029148449782766615,NA,0.031821704596700785,0.01363512274018763,0.028248749317020292,0.03270471130955156,NA,0.016036053745501863,0.034459462415719136,0.05228900046986248,0.0102011068163095,0.02734444083043148,0.02441721656765533,0.026432807020350772,0.016036053745501863,0.043552964127137564,0.024693941299748064,0.01092558412989127,0.02779188589998759,0.07064995095367237,NA,NA,0.042023985940378886,NA,NA,0,NA,0.0313782325218072,0.031821704596700785,0.029596544327026506,NA,NA,0.06486227263164969,NA,0.04879801266202081,0.03878620792534206,0.020862312500260778,0.029148449782766615,0.05882277746354608,0.028248749317020292,0.05548512088039577,0.03093476044691362,NA,NA,NA,0.006545666652537392,0.01322949140297896,NA,0.054226606024381015,0.02552117321027006,0.07498370154602418,0,0.01895791355828064,0.008729726242744339,0.01701429446501863,NA,0.008086344751513114,NA,0.04049500775362021,0.0667923681575775,0.010956528959540718,0.02734444083043148,0.04138749638198383,0.013636086769869092,NA,0.017018794646987488,0.03835367802552804,0.033583920343151184,0.028248749317020292,0.02734444083043148,0.017505664915761443,NA,NA,NA,NA,NA,NA,NA,NA,NA
