CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,"Conductivity, Field",78,umhos/cm,,0.5,10,,78,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Nitrite + Nitrate Nitrogen,0.539,mg/L,,0.01,0.04,,0.539,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,"Conductivity, Field",85.9,umhos/cm,,0.5,10,,85.9,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Nitrite + Nitrate Nitrogen,0.415,mg/L,,0.01,0.04,,0.415,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Orthophosphate Phosphorus,0.0165,mg/L,,5e-4,0.002,,0.0165,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Fecal Coliform,190,CFU/100ml,,NA,NA,,190,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,"pH, Field",7.02,pH,,NA,NA,,7.02,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,"Dissolved Oxygen, Field",11.2,mg/L,,0.5,1,,11.2,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,"Dissolved Oxygen, Field",11.4,mg/L,,0.5,1,,11.4,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,Fecal Coliform,87,CFU/100ml,,NA,NA,,87,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,Nitrite + Nitrate Nitrogen,1.85,mg/L,,0.01,0.04,,1.85,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,Temperature,8.7,deg C,,NA,NA,,8.7,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,"pH, Field",7.4,pH,,NA,NA,,7.4,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,Total Alkalinity,25.9,mg CaCO3/L,,1,5,,25.9,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Total Suspended Solids,72.5,mg/L,,1.3,2.5,,72.5,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Total Alkalinity,24.3,mg CaCO3/L,,1,5,,24.3,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,Ammonia Nitrogen,0.0197,mg/L,,0.002,0.01,,0.0197,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,Total Nitrogen,2.18,mg/L,,0.05,0.1,,2.18,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Total Suspended Solids,42.5,mg/L,,0.83,1.67,,42.5,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Turbidity,26.5,NTU,,0.2,0.5,,26.5,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,"pH, Field",7.51,pH,,NA,NA,,7.51,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,Nitrite + Nitrate Nitrogen,0.512,mg/L,,0.01,0.04,,0.512,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Temperature,8.7,deg C,,NA,NA,,8.7,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,Turbidity,11.9,NTU,,0.2,0.5,,11.9,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,Ammonia Nitrogen,0.0183,mg/L,,0.002,0.01,,0.0183,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Orthophosphate Phosphorus,0.0112,mg/L,,5e-4,0.002,,0.0112,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Total Nitrogen,0.982,mg/L,,0.05,0.1,,0.982,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,"Dissolved Oxygen, Field",11.2,mg/L,,0.5,1,,11.2,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,"Conductivity, Field",74.6,umhos/cm,,0.5,10,,74.6,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Ammonia Nitrogen,0.0112,mg/L,,0.002,0.01,,0.0112,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Total Phosphorus,0.0846,mg/L,,0.005,0.01,,0.0846,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Total Alkalinity,25.6,mg CaCO3/L,,1,5,,25.6,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Fecal Coliform,180,CFU/100ml,,NA,NA,,180,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Total Alkalinity,19.8,mg CaCO3/L,,1,5,,19.8,FALSE
2019-12-18T17:50:00Z,2019,12,L73757-6,VA65A,NA,Ammonia Nitrogen,0.0102,mg/L,,0.002,0.01,,0.0102,FALSE
2019-11-13T17:17:00Z,2019,11,L73654-1,VA12A,NA,"pH, Field",7.77,pH,,NA,NA,,7.77,FALSE
2011-01-04T16:06:00Z,2011,1,L52397-4,VA45A,NA,Total Suspended Solids,0.52,mg/L,<RDL,0.5,1,,0.52,FALSE
2015-09-15T18:23:00Z,2015,9,L63637-1,VA12A,NA,Orthophosphate Phosphorus,0.0416,mg/L,,5e-4,0.002,,0.0416,FALSE
2009-08-04T18:49:00Z,2009,8,L48676-5,VA65A,NA,"Dissolved Oxygen, Field",8.2,mg/L,,0.5,1,,8.2,FALSE
2021-01-13T18:47:00Z,2021,1,L76198-2,VA41A,NA,"pH, Field",6.59,pH,,NA,NA,,6.59,FALSE
2016-02-10T17:00:00Z,2016,2,L64769-5,VA65A,NA,"Conductivity, Field",127,umhos/cm,,0.5,10,,127,FALSE
2011-09-07T16:45:00Z,2011,9,L54040-1,VA12A,NA,Silica,31.3,mg/L,,0.5,1,,31.3,FALSE
2007-07-05T18:47:00Z,2007,7,L43108-6,VA45A,NA,Total Alkalinity,38.5,mg CaCO3/L,,1,10,,38.5,FALSE
2021-05-12T15:10:00Z,2021,5,L76868-4,VA45A,NA,"Dissolved Oxygen, Field",9.54,mg/L,,0.5,1,,9.54,FALSE
2019-12-18T16:54:00Z,2019,12,L73758-4,VA45A,NA,"Dissolved Oxygen, Field",10.6,mg/L,,0.5,1,,10.6,FALSE
2018-06-13T14:39:00Z,2018,6,L70256-3,VA37A,NA,"pH, Field",7.55,pH,,NA,NA,,7.55,FALSE
2021-09-15T15:57:00Z,2021,9,L77712-3,VA37A,NA,Ammonia Nitrogen,0.0225,mg/L,,0.002,0.01,,0.0225,FALSE
2018-08-13T18:04:00Z,2018,8,L70514-1,VA12A,NA,"Dissolved Oxygen, Field",10.5,mg/L,,0.5,1,,10.5,FALSE
2021-10-13T17:22:00Z,2021,10,L77817-7,VA42A,NA,E. coli,160,CFU/100ml,,NA,NA,,160,FALSE
2012-06-05T14:32:00Z,2012,6,L55756-2,VA41A,NA,Ammonia Nitrogen,0.0199,mg/L,,0.005,0.01,,0.0199,FALSE
2012-08-07T15:27:00Z,2012,8,L56073-4,VA45A,NA,Turbidity,24.5,NTU,,0.2,0.5,,24.5,FALSE
2014-11-13T17:21:00Z,2014,11,L61586-5,VA65A,NA,Nitrite + Nitrate Nitrogen,1.24,mg/L,,0.01,0.04,,1.24,FALSE
2017-09-13T16:16:00Z,2017,9,L68504-4,VA45A,NA,Ammonia Nitrogen,0.0066,mg/L,<RDL,0.002,0.01,,0.0066,FALSE
2012-04-03T16:15:00Z,2012,4,L55381-1,VA12A,NA,Silica,18.9,mg/L,,0.5,1,,18.9,FALSE
2010-02-02T16:13:00Z,2010,2,L50061-3,VA42A,NA,"Dissolved Oxygen, Field",12.1,mg/L,,0.5,1,,12.1,FALSE
2020-09-30T15:00:00Z,2020,9,L75442-3,VA37A,NA,Turbidity,2.44,NTU,,0.2,0.5,,2.44,FALSE
2007-12-11T16:07:00Z,2007,12,L44655-4,VA41A,NA,Total Phosphorus,0.067,mg/L,,0.005,0.01,,0.067,FALSE
2009-07-08T15:34:00Z,2009,7,L48473-4,VA45A,NA,Silica,32.3,mg/L,,0.5,1,,32.3,FALSE
2007-01-09T20:04:00Z,2007,1,L41462-7,VA65A,NA,Turbidity,11.3,NTU,,0.5,2,,11.3,FALSE
2008-03-04T16:16:00Z,2008,3,L45211-5,VA65A,NA,Temperature,4.68,deg C,,NA,NA,,4.68,FALSE
2010-03-02T15:46:00Z,2010,3,L50304-4,VA45A,NA,Total Alkalinity,11.4,mg CaCO3/L,,1,5,,11.4,FALSE
2006-12-12T16:19:00Z,2006,12,L41351-2,VA23A,NA,Temperature,7.5,deg C,,NA,NA,,7.5,FALSE
2017-05-10T15:28:00Z,2017,5,L67696-1,VA12A,NA,Nitrite + Nitrate Nitrogen,0.863,mg/L,,0.01,0.04,,0.863,FALSE
2017-10-11T14:58:00Z,2017,10,L68755-3,VA37A,NA,Total Alkalinity,53.3,mg CaCO3/L,,1,5,,53.3,FALSE
2018-09-12T16:17:00Z,2018,9,L70842-2,VA41A,NA,"pH, Field",7.77,pH,,NA,NA,,7.77,FALSE
2016-07-13T16:04:00Z,2016,7,L65746-5,VA65A,NA,Fecal Coliform,260,CFU/100ml,,NA,NA,,260,FALSE
2008-12-02T18:40:00Z,2008,12,L47017-3,VA42A,NA,E. coli,29,CFU/100ml,,NA,NA,,29,FALSE
2011-06-07T16:09:00Z,2011,6,L53307-3,VA42A,NA,"Dissolved Oxygen, Field",12.3,mg/L,J,0.5,1,Instrument failed end check high at 105.7% saturation.  See Data Anomaly Form ESS_DAF_WG115723,12.3,FALSE
