"","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0470","0474","0478","0484","0486","0631","3106","A315","A319","A320","A432","A438","A499","A617","A620","A631","A680","A685","A690","B319","B484","BB470","C320","C370","C484","D320","D474","G320","KSHZ06","KTHA02","KTHA03","N484","S478","S484","X630","Year"
"10",NA,231.005909114546,37.7017702738754,50.9402839501257,30.0352269568605,55.1947853069487,31.8217045967008,23.6768060555155,57.1306902904589,43.9066368236915,40.4950077536202,70.6499509536724,36.2000282532961,35.3314600390675,NA,23.6768060555155,NA,154.78468160489,NA,21.3374436350621,38.0821837259617,NA,59.0648377110279,NA,NA,19.915487889917,NA,NA,NA,NA,37.0652752771472,NA,11.7430939845379,64.8622726316497,28.2487493170203,15.4920231145833,64.8622726316497,13.4782798746229,NA,NA,NA,35.3314600390675,NA,NA,NA,1979
"11",56.4717480878881,221.566638394956,28.2279668285918,49.864784061951,33.1331102429906,44.5243251270078,34.4594624157191,26.4353220172086,58.0979755987085,41.5377274311962,48.8897850757593,71.1294781110975,39.6406078394811,37.4931180893191,5.13241741924221,27.3420356671144,446.660739146925,119.521620901511,5.13241741924221,30.4850771897337,31.3782325218072,16.0360537455019,55.1947853069487,NA,NA,18.4671412684522,NA,NA,NA,6.54566665253739,40.4950077536202,NA,18.4671412684522,79.3147221653244,37.4962891814326,20.3835253344426,69.684868798401,23.6505360883641,NA,NA,NA,35.7556117144346,NA,NA,NA,1980
"12",30.2297616531213,203.612285187172,25.5211732102701,49.8579643583269,37.927303085718,44.5243251270078,37.927303085718,32.2593403950324,64.862143179649,51.8033770951484,42.0239859403789,67.756111792661,41.3450705021397,44.5248988101098,22.2395433842754,29.591754881967,123.54090434501,154.794634060166,18.9540115372262,21.8058945306238,37.063665669507,15.0435761100663,56.6465295102847,NA,NA,21.7961469727162,NA,NA,NA,14.0405032959975,49.8651240822146,NA,13.0000525348035,79.3155631337082,37.927303085718,20.3906190247183,NA,15.5296489714925,NA,NA,NA,37.063665669507,NA,51.8010858071387,NA,1981
"13",28.0690820815426,238.080617084738,28.6985995498935,34.4594624157191,37.927303085718,47.439207024761,35.3314600390675,30.0437291147161,55.1949383220566,43.5529641271376,36.2000282532961,58.0981206985128,37.0652752771472,42.2522411509541,20.8657501595196,26.4353220172086,142.40428439506,139.576926034168,14.0405032959975,22.7460389017281,37.927303085718,11.9983222934705,57.1306902904589,NA,NA,19.915487889917,NA,NA,NA,10.9565289595407,40.4950077536202,NA,9.44568467307828,52.7731606309007,33.5839203431512,16.0360537455019,NA,14.0405032959975,NA,NA,NA,36.2000282532961,NA,37.0652752771472,NA,1982
"14",26.3216846627436,198.411081337628,NA,41.3450705021397,32.7047113095516,38.7862079253421,25.5211732102701,18.9579135582806,53.2579620322876,37.927303085718,39.6420807739089,59.0652609069581,30.0437291147161,33.5820868626354,9.44568467307828,16.0360537455019,106.126949243448,149.092486411941,11.9983222934705,18.9579135582806,24.6017551023844,10.9255841298913,52.2890004698625,NA,NA,11.9983222934705,NA,NA,NA,5.13241741924221,31.8217045967008,NA,7.28905104616025,NA,25.5211732102701,18.9579135582806,NA,7.98475219879122,NA,NA,NA,27.3444408304315,NA,30.9347604469136,NA,1983
"15",28.3222019663537,216.369270417943,NA,53.8066268971549,24.5989896328928,36.1983676581074,27.7824511624931,22.74297158306,58.5808274198728,32.7047113095516,31.3782325218072,55.6789514557865,28.6985995498935,26.4353220172086,5.8390420358898,16.5274241962447,111.379107471424,208.812872197844,15.0382785207497,17.5056649157614,21.3173598068981,8.71521843593475,44.5250899731364,NA,NA,11.4774256265056,NA,NA,NA,5.8390420358898,34.0216913794352,NA,7.99567566280784,NA,21.8091371106045,19.9118318589001,NA,10.1856344014848,NA,NA,NA,33.5765823178841,NA,31.8197358782326,NA,1984
"16",27.466966582355,187.998832477097,NA,34.4594624157191,23.6768060555155,36.2000282532961,27.3444408304315,22.733752630952,69.6859507085919,33.5839203431512,26.4353220172086,43.5529641271376,26.4353220172086,26.4353220172086,6.54566665253739,16.0360537455019,112.006833165225,125.281350371241,13.0258225482903,16.0360537455019,23.6768060555155,6.54566665253739,44.5250899731364,NA,NA,11.9983222934705,NA,NA,NA,5.13241741924221,28.2487493170203,NA,9.44568467307828,NA,21.8091371106045,17.9925351845354,NA,6.54566665253739,NA,NA,NA,30.0437291147161,NA,33.5839203431512,NA,1985
"17",29.7253045220254,195.096197018976,NA,52.773481251075,30.4641805867913,44.452430320051,27.7918858999876,23.2114224786218,60.9985522931852,37.063665669507,30.4892447808149,50.3499317016681,34.4523697814239,33.5765823178841,7.99567566280784,18.475224371408,194.077385322643,148.141434565661,11.4619532116809,16.0360537455019,28.6985995498935,7.98475219879122,47.439207024761,NA,NA,11.4774256265056,NA,NA,NA,4.47833905722878,34.0216913794352,NA,9.44568467307828,NA,27.7965950737259,14.0405032959975,NA,5.13241741924221,NA,NA,NA,32.7047113095516,NA,34.0216913794352,NA,1986
"18",35.323239907268,131.948572377704,NA,46.9343433991449,29.1285133069547,42.6272055352927,22.7460389017281,22.2775880061663,52.773481251075,36.6293815623927,31.8217045967008,46.467471429809,29.1484497827666,40.4950077536202,8.71521843593475,16.5180556473008,37.3374834538128,105.695082150533,11.9983222934705,16.5274241962447,33.1443158263514,7.26520942566431,50.3499317016681,NA,NA,10.941056544716,52.772519160285,NA,23.6768060555155,5.86784018379585,33.1443158263514,NA,10.9565289595407,NA,25.4973941093742,16.5274241962447,NA,3.08096981536032,NA,NA,NA,28.6985995498935,NA,43.5527685409543,NA,1987
"19",29.2707341612226,107.680411270825,NA,56.6465295102847,33.5839203431512,39.6420807739089,26.4353220172086,24.1336060559991,62.4480022691304,48.4098528864817,32.7047113095516,46.4682031452433,31.8217045967008,38.7862079253421,14.0405032959975,16.0165192402665,28.1110910498873,132.432476648899,11.9757033390908,15.5398149277841,36.5998595315859,6.55858480901672,49.3801481659158,NA,NA,10.941056544716,NA,NA,NA,9.44568467307828,37.927303085718,NA,10.2011068163095,NA,26.4353220172086,15.0435761100663,NA,5.8390420358898,61.9649887485731,66.7924937355077,60.0321158377973,29.1484497827666,NA,37.0652752771472,NA,1988
