site_no	datetime	149446_00060_00003_cd
15s	20d	10s
12201500	8/21/2006	26.6
12201500	8/22/2006	26.2
12201500	8/23/2006	26.1
12201500	8/24/2006	26.4
12201500	8/25/2006	26.3
12201500	8/26/2006	26.9
12201500	8/27/2006	25.6
12201500	8/28/2006	25.3
12201500	8/29/2006	25
12201500	8/30/2006	25.3
12201500	8/31/2006	25.2
12201500	9/1/2006	24.7
12201500	9/2/2006	24.6
12201500	9/3/2006	24.1
12201500	9/4/2006	24
12201500	9/5/2006	24.2
12201500	9/6/2006	23.7
12201500	9/7/2006	23.7
12201500	9/8/2006	25.7
12201500	9/9/2006	26.6
12201500	9/10/2006	25.9
12201500	9/11/2006	27.9
12201500	9/12/2006	28.8
12201500	9/13/2006	27
12201500	9/14/2006	29.3
12201500	9/15/2006	27.3
12201500	9/16/2006	25.9
12201500	9/17/2006	25.7
12201500	9/18/2006	29.9
12201500	9/19/2006	33
12201500	9/20/2006	34.9
12201500	9/21/2006	43.6
12201500	9/22/2006	31.9
12201500	9/23/2006	29.1
12201500	9/24/2006	28.1
12201500	9/25/2006	27.4
12201500	9/26/2006	31.5
12201500	9/27/2006	31.3
12201500	9/28/2006	29.3
12201500	9/29/2006	27.6
12201500	9/30/2006	28.7
12201500	10/1/2006	28.5
12201500	10/2/2006	27.3
12201500	10/3/2006	25.7
12201500	10/4/2006	26.4
12201500	10/5/2006	27.3
12201500	10/6/2006	27.8
12201500	10/7/2006	27.8
12201500	10/8/2006	27.7
12201500	10/9/2006	27
12201500	10/10/2006	26.7
12201500	10/11/2006	26.1
12201500	10/12/2006	33.6
12201500	10/13/2006	34.4
12201500	10/14/2006	33.2
12201500	10/15/2006	36
12201500	10/16/2006	36.5
12201500	10/17/2006	33
12201500	10/18/2006	32.7
12201500	10/19/2006	36.1
12201500	10/20/2006	35.4
12201500	10/21/2006	32.5
12201500	10/22/2006	32.4
12201500	10/23/2006	30.5
12201500	10/24/2006	31.3
12201500	10/25/2006	31
12201500	10/26/2006	30.6
12201500	10/27/2006	29.9
12201500	10/28/2006	29.4
12201500	10/29/2006	33.1
12201500	10/30/2006	32
12201500	10/31/2006	29.3
12201500	11/1/2006	25.9
12201500	11/2/2006	26.9
12201500	11/3/2006	34.8
12201500	11/4/2006	80.1
12201500	11/5/2006	114
12201500	11/6/2006	1080
12201500	11/7/2006	1150
12201500	11/8/2006	639
12201500	11/9/2006	401
12201500	11/10/2006	331
12201500	11/11/2006	527
12201500	11/12/2006	776
12201500	11/13/2006	1510
12201500	11/14/2006	959
12201500	11/15/2006	656
12201500	11/16/2006	605
12201500	11/17/2006	484
12201500	11/18/2006	402
12201500	11/19/2006	345
12201500	11/20/2006	320
12201500	11/21/2006	303
12201500	11/22/2006	297
12201500	11/23/2006	359
12201500	11/24/2006	437
12201500	11/25/2006	520
12201500	11/26/2006	520
12201500	11/27/2006	483
12201500	11/28/2006	361
12201500	11/29/2006	296
12201500	11/30/2006	345
12201500	12/1/2006	362
12201500	12/2/2006	317
12201500	12/3/2006	277
12201500	12/4/2006	282
12201500	12/5/2006	299
12201500	12/6/2006	288
12201500	12/7/2006	290
12201500	12/8/2006	321
12201500	12/9/2006	332
12201500	12/10/2006	330
12201500	12/11/2006	373
12201500	12/12/2006	465
12201500	12/13/2006	706
12201500	12/14/2006	792
12201500	12/15/2006	832
12201500	12/16/2006	614
12201500	12/17/2006	478
12201500	12/18/2006	379
12201500	12/19/2006	328
12201500	12/20/2006	297
12201500	12/21/2006	319
12201500	12/22/2006	353
12201500	12/23/2006	440
12201500	12/24/2006	429
12201500	12/25/2006	595
12201500	12/26/2006	502
12201500	12/27/2006	491
12201500	12/28/2006	388
12201500	12/29/2006	332
12201500	12/30/2006	293
12201500	12/31/2006	262
12201500	1/1/2007	257
12201500	1/2/2007	1040
12201500	1/3/2007	1500
12201500	1/4/2007	1120
12201500	1/5/2007	823
12201500	1/6/2007	1060
12201500	1/7/2007	1460
12201500	1/8/2007	1340
12201500	1/9/2007	912
12201500	1/10/2007	740
12201500	1/11/2007	612
12201500	1/12/2007	507
12201500	1/13/2007	424
12201500	1/14/2007	359
12201500	1/15/2007	314
12201500	1/16/2007	296
12201500	1/17/2007	287
12201500	1/18/2007	393
12201500	1/19/2007	549
12201500	1/20/2007	611
12201500	1/21/2007	461
12201500	1/22/2007	405
12201500	1/23/2007	516
12201500	1/24/2007	486
12201500	1/25/2007	417
12201500	1/26/2007	358
12201500	1/27/2007	312
12201500	1/28/2007	279
12201500	1/29/2007	253
12201500	1/30/2007	232
12201500	1/31/2007	215
12201500	2/1/2007	199
12201500	2/2/2007	185
12201500	2/3/2007	176
12201500	2/4/2007	180
12201500	2/5/2007	185
12201500	2/6/2007	183
12201500	2/7/2007	181
12201500	2/8/2007	184
12201500	2/9/2007	175
12201500	2/10/2007	164
12201500	2/11/2007	158
12201500	2/12/2007	151
12201500	2/13/2007	141
12201500	2/14/2007	155
12201500	2/15/2007	411
12201500	2/16/2007	409
12201500	2/17/2007	300
12201500	2/18/2007	327
12201500	2/19/2007	475
12201500	2/20/2007	801
12201500	2/21/2007	657
12201500	2/22/2007	498
12201500	2/23/2007	499
12201500	2/24/2007	573
12201500	2/25/2007	582
12201500	2/26/2007	525
12201500	2/27/2007	425
12201500	2/28/2007	354
12201500	3/1/2007	309
12201500	3/2/2007	277
12201500	3/3/2007	282
12201500	3/4/2007	277
12201500	3/5/2007	305
12201500	3/6/2007	314
12201500	3/7/2007	326
12201500	3/8/2007	407
12201500	3/9/2007	353
12201500	3/10/2007	321
12201500	3/11/2007	574
12201500	3/12/2007	688
12201500	3/13/2007	582
12201500	3/14/2007	571
12201500	3/15/2007	456
12201500	3/16/2007	439
12201500	3/17/2007	506
12201500	3/18/2007	660
12201500	3/19/2007	532
12201500	3/20/2007	489
12201500	3/21/2007	418
12201500	3/22/2007	399
12201500	3/23/2007	500
12201500	3/24/2007	1360
12201500	3/25/2007	1530
12201500	3/26/2007	856
12201500	3/27/2007	627
12201500	3/28/2007	507
12201500	3/29/2007	421
12201500	3/30/2007	363
12201500	3/31/2007	326
12201500	4/1/2007	292
12201500	4/2/2007	270
12201500	4/3/2007	245
12201500	4/4/2007	226
12201500	4/5/2007	210
