site_no	datetime	149551_00060_00003_cd
15s	20d	10s
12213100	7/17/2006	2520
12213100	7/18/2006	2350
12213100	7/19/2006	2180
12213100	7/20/2006	2090
12213100	7/21/2006	2320
12213100	7/22/2006	2920
12213100	7/23/2006	3030
12213100	7/24/2006	3070
12213100	7/25/2006	2890
12213100	7/26/2006	2550
12213100	7/27/2006	2450
12213100	7/28/2006	2390
12213100	7/29/2006	2070
12213100	7/30/2006	1830
12213100	7/31/2006	1860
12213100	8/1/2006	1580
12213100	8/2/2006	1480
12213100	8/3/2006	1450
12213100	8/4/2006	1450
12213100	8/5/2006	1430
12213100	8/6/2006	1480
12213100	8/7/2006	1570
12213100	8/8/2006	1640
12213100	8/9/2006	1640
12213100	8/10/2006	1700
12213100	8/11/2006	1730
12213100	8/12/2006	1510
12213100	8/13/2006	1410
12213100	8/14/2006	1390
12213100	8/15/2006	1410
12213100	8/16/2006	1370
12213100	8/17/2006	1360
12213100	8/18/2006	1370
12213100	8/19/2006	1330
12213100	8/20/2006	1330
12213100	8/21/2006	1330
12213100	8/22/2006	1320
12213100	8/23/2006	1290
12213100	8/24/2006	1200
12213100	8/25/2006	1180
12213100	8/26/2006	1230
12213100	8/27/2006	1240
12213100	8/28/2006	1240
12213100	8/29/2006	1250
12213100	8/30/2006	1150
12213100	8/31/2006	1110
12213100	9/1/2006	1000
12213100	9/2/2006	988
12213100	9/3/2006	1040
12213100	9/4/2006	1140
12213100	9/5/2006	1230
12213100	9/6/2006	1200
12213100	9/7/2006	1150
12213100	9/8/2006	1120
12213100	9/9/2006	1140
12213100	9/10/2006	1200
12213100	9/11/2006	1070
12213100	9/12/2006	1040
12213100	9/13/2006	1060
12213100	9/14/2006	1000
12213100	9/15/2006	983
12213100	9/16/2006	913
12213100	9/17/2006	865
12213100	9/18/2006	851
12213100	9/19/2006	1380
12213100	9/20/2006	1190
12213100	9/21/2006	1530
12213100	9/22/2006	1600
12213100	9/23/2006	1140
12213100	9/24/2006	1040
12213100	9/25/2006	1010
12213100	9/26/2006	976
12213100	9/27/2006	997
12213100	9/28/2006	1040
12213100	9/29/2006	974
12213100	9/30/2006	915
12213100	10/1/2006	851
12213100	10/2/2006	807
12213100	10/3/2006	769
12213100	10/4/2006	747
12213100	10/5/2006	754
12213100	10/6/2006	759
12213100	10/7/2006	746
12213100	10/8/2006	710
12213100	10/9/2006	683
12213100	10/10/2006	669
12213100	10/11/2006	661
12213100	10/12/2006	682
12213100	10/13/2006	697
12213100	10/14/2006	712
12213100	10/15/2006	713
12213100	10/16/2006	1000
12213100	10/17/2006	979
12213100	10/18/2006	797
12213100	10/19/2006	791
12213100	10/20/2006	1240
12213100	10/21/2006	978
12213100	10/22/2006	827
12213100	10/23/2006	754
12213100	10/24/2006	712
12213100	10/25/2006	805
12213100	10/26/2006	895
12213100	10/27/2006	1400
