site_no	datetime	148849_00060_00003_cd
15s	20d	10s
12101500	7/17/2006	2220
12101500	7/18/2006	2120
12101500	7/19/2006	2030
12101500	7/20/2006	2020
12101500	7/21/2006	2350
12101500	7/22/2006	2780
12101500	7/23/2006	2830
12101500	7/24/2006	2770
12101500	7/25/2006	2590
12101500	7/26/2006	2410
12101500	7/27/2006	2420
12101500	7/28/2006	2330
12101500	7/29/2006	2080
12101500	7/30/2006	1810
12101500	7/31/2006	1650
12101500	8/1/2006	1530
12101500	8/2/2006	1490
12101500	8/3/2006	1550
12101500	8/4/2006	1640
12101500	8/5/2006	1630
12101500	8/6/2006	1640
12101500	8/7/2006	1770
12101500	8/8/2006	2030
12101500	8/9/2006	1830
12101500	8/10/2006	1830
12101500	8/11/2006	1640
12101500	8/12/2006	1590
12101500	8/13/2006	1570
12101500	8/14/2006	1630
12101500	8/15/2006	1670
12101500	8/16/2006	1570
12101500	8/17/2006	1530
12101500	8/18/2006	1580
12101500	8/19/2006	1640
12101500	8/20/2006	1650
12101500	8/21/2006	1630
12101500	8/22/2006	1660
12101500	8/23/2006	1560
12101500	8/24/2006	1490
12101500	8/25/2006	1420
12101500	8/26/2006	1490
12101500	8/27/2006	1530
12101500	8/28/2006	1570
12101500	8/29/2006	1600
12101500	8/30/2006	1330
12101500	8/31/2006	1180
12101500	9/1/2006	1130
12101500	9/2/2006	1190
12101500	9/3/2006	1350
12101500	9/4/2006	1540
12101500	9/5/2006	1660
12101500	9/6/2006	1520
12101500	9/7/2006	1400
12101500	9/8/2006	1390
12101500	9/9/2006	1390
12101500	9/10/2006	1240
12101500	9/11/2006	1250
12101500	9/12/2006	1310
12101500	9/13/2006	1300
12101500	9/14/2006	1090
12101500	9/15/2006	1020
12101500	9/16/2006	924
12101500	9/17/2006	881
12101500	9/18/2006	992
12101500	9/19/2006	1290
12101500	9/20/2006	1140
12101500	9/21/2006	1430
12101500	9/22/2006	1300
12101500	9/23/2006	1080
12101500	9/24/2006	1040
12101500	9/25/2006	1080
12101500	9/26/2006	1080
12101500	9/27/2006	1100
12101500	9/28/2006	1170
12101500	9/29/2006	1160
12101500	9/30/2006	1100
12101500	10/1/2006	1010
12101500	10/2/2006	1060
12101500	10/3/2006	1070
12101500	10/4/2006	1050
12101500	10/5/2006	1050
12101500	10/6/2006	1070
12101500	10/7/2006	1110
12101500	10/8/2006	1050
12101500	10/9/2006	1170
12101500	10/10/2006	1080
12101500	10/11/2006	1020
12101500	10/12/2006	1020
12101500	10/13/2006	1070
12101500	10/14/2006	1070
12101500	10/15/2006	1160
12101500	10/16/2006	1710
12101500	10/17/2006	1450
12101500	10/18/2006	1210
12101500	10/19/2006	2370
12101500	10/20/2006	3060
12101500	10/21/2006	2140
12101500	10/22/2006	1790
12101500	10/23/2006	1630
12101500	10/24/2006	1550
12101500	10/25/2006	1570
12101500	10/26/2006	1500
12101500	10/27/2006	1490
12101500	10/28/2006	1500
12101500	10/29/2006	1520
12101500	10/30/2006	1560
12101500	10/31/2006	1460
12101500	11/1/2006	1410
12101500	11/2/2006	1500
12101500	11/3/2006	3070
12101500	11/4/2006	4790
12101500	11/5/2006	5580
12101500	11/6/2006	17800
12101500	11/7/2006	36400
12101500	11/8/2006	19700
12101500	11/9/2006	16600
12101500	11/10/2006	14300
12101500	11/11/2006	13600
12101500	11/12/2006	12000
12101500	11/13/2006	12900
12101500	11/14/2006	9200
12101500	11/15/2006	7000
12101500	11/16/2006	7800
12101500	11/17/2006	5400
12101500	11/18/2006	4700
12101500	11/19/2006	4500
12101500	11/20/2006	5110
12101500	11/21/2006	5250
12101500	11/22/2006	5120
12101500	11/23/2006	4990
12101500	11/24/2006	5250
12101500	11/25/2006	4610
12101500	11/26/2006	4430
12101500	11/27/2006	4320
12101500	11/28/2006	3820
12101500	11/29/2006	3300
12101500	11/30/2006	3690
12101500	12/1/2006	3830
12101500	12/2/2006	3700
12101500	12/3/2006	3550
12101500	12/4/2006	3480
12101500	12/5/2006	3810
12101500	12/6/2006	4230
12101500	12/7/2006	4400
12101500	12/8/2006	4330
12101500	12/9/2006	4110
12101500	12/10/2006	4060
12101500	12/11/2006	4300
12101500	12/12/2006	5490
12101500	12/13/2006	6840
12101500	12/14/2006	9020
12101500	12/15/2006	14100
12101500	12/16/2006	9300
12101500	12/17/2006	7000
12101500	12/18/2006	5700
12101500	12/19/2006	4850
12101500	12/20/2006	4180
12101500	12/21/2006	4470
12101500	12/22/2006	4310
12101500	12/23/2006	4490
12101500	12/24/2006	4380
12101500	12/25/2006	5950
12101500	12/26/2006	5210
12101500	12/27/2006	5860
12101500	12/28/2006	4820
12101500	12/29/2006	4340
12101500	12/30/2006	3960
12101500	12/31/2006	3630
12101500	1/1/2007	3520
12101500	1/2/2007	6200
12101500	1/3/2007	14000
12101500	1/4/2007	10000
12101500	1/5/2007	6500
12101500	1/6/2007	5700
12101500	1/7/2007	7500
12101500	1/8/2007	10000
12101500	1/9/2007	9000
12101500	1/10/2007	6500
12101500	1/11/2007	5000
12101500	1/12/2007	4200
12101500	1/13/2007	3900
12101500	1/14/2007	3570
12101500	1/15/2007	3260
12101500	1/16/2007	3190
12101500	1/17/2007	3070
12101500	1/18/2007	2900
12101500	1/19/2007	3100
12101500	1/20/2007	3780
12101500	1/21/2007	3420
12101500	1/22/2007	3230
12101500	1/23/2007	3230
12101500	1/24/2007	3210
12101500	1/25/2007	3190
12101500	1/26/2007	3090
12101500	1/27/2007	3030
12101500	1/28/2007	2970
12101500	1/29/2007	2890
12101500	1/30/2007	2880
12101500	1/31/2007	2910
12101500	2/1/2007	2870
12101500	2/2/2007	2730
12101500	2/3/2007	2680
12101500	2/4/2007	2910
12101500	2/5/2007	3070
12101500	2/6/2007	3200
12101500	2/7/2007	3230
12101500	2/8/2007	3450
12101500	2/9/2007	3470
12101500	2/10/2007	3400
12101500	2/11/2007	3520
12101500	2/12/2007	3540
12101500	2/13/2007	3400
12101500	2/14/2007	3320
12101500	2/15/2007	6200
12101500	2/16/2007	9850
12101500	2/17/2007	6700
12101500	2/18/2007	5880
12101500	2/19/2007	5220
12101500	2/20/2007	7490
12101500	2/21/2007	6120
12101500	2/22/2007	5060
12101500	2/23/2007	4280
12101500	2/24/2007	3980
12101500	2/25/2007	3870
12101500	2/26/2007	3590
12101500	2/27/2007	3300
12101500	2/28/2007	3200
12101500	3/1/2007	3000
12101500	3/2/2007	2950
12101500	3/3/2007	3930
12101500	3/4/2007	4280
12101500	3/5/2007	4550
12101500	3/6/2007	4650
12101500	3/7/2007	4900
12101500	3/8/2007	4940
12101500	3/9/2007	4310
12101500	3/10/2007	4210
12101500	3/11/2007	8900
12101500	3/12/2007	16000
12101500	3/13/2007	14800
12101500	3/14/2007	9670
12101500	3/15/2007	7000
12101500	3/16/2007	5970
12101500	3/17/2007	5340
12101500	3/18/2007	5980
12101500	3/19/2007	5880
12101500	3/20/2007	6600
12101500	3/21/2007	5250
12101500	3/22/2007	4580
12101500	3/23/2007	4400
12101500	3/24/2007	10700
12101500	3/25/2007	19500
12101500	3/26/2007	12600
12101500	3/27/2007	9830
12101500	3/28/2007	6930
12101500	3/29/2007	5500
12101500	3/30/2007	4800
