site_no	datetime	149429_00060_00003_cd
15s	20d	10s
12200500	7/17/2006	12000
12200500	7/18/2006	11900
12200500	7/19/2006	11700
12200500	7/20/2006	10900
12200500	7/21/2006	10500
12200500	7/22/2006	12600
12200500	7/23/2006	13300
12200500	7/24/2006	12900
12200500	7/25/2006	13000
12200500	7/26/2006	11900
12200500	7/27/2006	11300
12200500	7/28/2006	11400
12200500	7/29/2006	8880
12200500	7/30/2006	7820
12200500	7/31/2006	8710
12200500	8/1/2006	8640
12200500	8/2/2006	8480
12200500	8/3/2006	8240
12200500	8/4/2006	8750
12200500	8/5/2006	7540
12200500	8/6/2006	6360
12200500	8/7/2006	7970
12200500	8/8/2006	8350
12200500	8/9/2006	8250
12200500	8/10/2006	8400
12200500	8/11/2006	8850
12200500	8/12/2006	7460
12200500	8/13/2006	6480
12200500	8/14/2006	7670
12200500	8/15/2006	7760
12200500	8/16/2006	7800
12200500	8/17/2006	7260
12200500	8/18/2006	7720
12200500	8/19/2006	8630
12200500	8/20/2006	7860
12200500	8/21/2006	7450
12200500	8/22/2006	8530
12200500	8/23/2006	8580
12200500	8/24/2006	8420
12200500	8/25/2006	8290
12200500	8/26/2006	7950
12200500	8/27/2006	8340
12200500	8/28/2006	8410
12200500	8/29/2006	7850
12200500	8/30/2006	7190
12200500	8/31/2006	5500
12200500	9/1/2006	5950
12200500	9/2/2006	4880
12200500	9/3/2006	4700
12200500	9/4/2006	4700
12200500	9/5/2006	6170
12200500	9/6/2006	5560
12200500	9/7/2006	5450
12200500	9/8/2006	5450
12200500	9/9/2006	5670
12200500	9/10/2006	6150
12200500	9/11/2006	5370
12200500	9/12/2006	6640
12200500	9/13/2006	7650
12200500	9/14/2006	7670
12200500	9/15/2006	6810
12200500	9/16/2006	5140
12200500	9/17/2006	5650
12200500	9/18/2006	5510
12200500	9/19/2006	6510
12200500	9/20/2006	6550
12200500	9/21/2006	7420
12200500	9/22/2006	7810
12200500	9/23/2006	6660
12200500	9/24/2006	5700
12200500	9/25/2006	5440
12200500	9/26/2006	5360
12200500	9/27/2006	5150
12200500	9/28/2006	5240
12200500	9/29/2006	5240
12200500	9/30/2006	5170
12200500	10/1/2006	5090
12200500	10/2/2006	4410
12200500	10/3/2006	4370
12200500	10/4/2006	4470
12200500	10/5/2006	4300
12200500	10/6/2006	4470
12200500	10/7/2006	4380
12200500	10/8/2006	4250
12200500	10/9/2006	3790
12200500	10/10/2006	3700
12200500	10/11/2006	3640
12200500	10/12/2006	3610
12200500	10/13/2006	3620
12200500	10/14/2006	3600
12200500	10/15/2006	3610
12200500	10/16/2006	3790
12200500	10/17/2006	4080
12200500	10/18/2006	3930
12200500	10/19/2006	3920
12200500	10/20/2006	4600
12200500	10/21/2006	4420
12200500	10/22/2006	4040
12200500	10/23/2006	3840
12200500	10/24/2006	3720
12200500	10/25/2006	5030
12200500	10/26/2006	4280
12200500	10/27/2006	6130
12200500	10/28/2006	6730
12200500	10/29/2006	5560
12200500	10/30/2006	7740
12200500	10/31/2006	7700
12200500	11/1/2006	7160
12200500	11/2/2006	7080
12200500	11/3/2006	11600
12200500	11/4/2006	38100
12200500	11/5/2006	52500
12200500	11/6/2006	60200
12200500	11/7/2006	116000
12200500	11/8/2006	125000
12200500	11/9/2006	86800
12200500	11/10/2006	49500
12200500	11/11/2006	39500
12200500	11/12/2006	32700
12200500	11/13/2006	43700
12200500	11/14/2006	38100
12200500	11/15/2006	28300
12200500	11/16/2006	54000
12200500	11/17/2006	41200
12200500	11/18/2006	28400
12200500	11/19/2006	25500
12200500	11/20/2006	31500
12200500	11/21/2006	30000
12200500	11/22/2006	28100
12200500	11/23/2006	25600
12200500	11/24/2006	24200
12200500	11/25/2006	22800
12200500	11/26/2006	21700
12200500	11/27/2006	20800
12200500	11/28/2006	18200
12200500	11/29/2006	13500
12200500	11/30/2006	12300
12200500	12/1/2006	12300
12200500	12/2/2006	12800
12200500	12/3/2006	12000
12200500	12/4/2006	11600
12200500	12/5/2006	11200
12200500	12/6/2006	9850
12200500	12/7/2006	12400
12200500	12/8/2006	13000
12200500	12/9/2006	12300
12200500	12/10/2006	12200
12200500	12/11/2006	14600
12200500	12/12/2006	25100
12200500	12/13/2006	23900
12200500	12/14/2006	26300
12200500	12/15/2006	34000
12200500	12/16/2006	23000
12200500	12/17/2006	17100
12200500	12/18/2006	15200
12200500	12/19/2006	16000
12200500	12/20/2006	13200
12200500	12/21/2006	14800
12200500	12/22/2006	16900
12200500	12/23/2006	14700
12200500	12/24/2006	14300
12200500	12/25/2006	17000
12200500	12/26/2006	14800
12200500	12/27/2006	15400
12200500	12/28/2006	14500
12200500	12/29/2006	13700
12200500	12/30/2006	13800
12200500	12/31/2006	12200
12200500	1/1/2007	12600
12200500	1/2/2007	23700
12200500	1/3/2007	49900
12200500	1/4/2007	34500
12200500	1/5/2007	25800
12200500	1/6/2007	25200
12200500	1/7/2007	24700
12200500	1/8/2007	28900
12200500	1/9/2007	24100
12200500	1/10/2007	23500
12200500	1/11/2007	19700
12200500	1/12/2007	19200
12200500	1/13/2007	16500
12200500	1/14/2007	17200
12200500	1/15/2007	17500
12200500	1/16/2007	17200
12200500	1/17/2007	13800
12200500	1/18/2007	14300
12200500	1/19/2007	13200
12200500	1/20/2007	12500
12200500	1/21/2007	12400
12200500	1/22/2007	13800
12200500	1/23/2007	17900
12200500	1/24/2007	18300
12200500	1/25/2007	14100
12200500	1/26/2007	15900
12200500	1/27/2007	16500
12200500	1/28/2007	15800
12200500	1/29/2007	16200
12200500	1/30/2007	14500
12200500	1/31/2007	12300
12200500	2/1/2007	13800
12200500	2/2/2007	14200
12200500	2/3/2007	11800
12200500	2/4/2007	11000
12200500	2/5/2007	10900
12200500	2/6/2007	11700
12200500	2/7/2007	13600
12200500	2/8/2007	13300
12200500	2/9/2007	15100
12200500	2/10/2007	14000
12200500	2/11/2007	12200
12200500	2/12/2007	12100
12200500	2/13/2007	15400
12200500	2/14/2007	16200
12200500	2/15/2007	18800
12200500	2/16/2007	23900
12200500	2/17/2007	19600
12200500	2/18/2007	19500
12200500	2/19/2007	20000
12200500	2/20/2007	25600
12200500	2/21/2007	24400
12200500	2/22/2007	21100
12200500	2/23/2007	18900
12200500	2/24/2007	17900
12200500	2/25/2007	17700
12200500	2/26/2007	17200
12200500	2/27/2007	16400
12200500	2/28/2007	16200
12200500	3/1/2007	15900
12200500	3/2/2007	15400
12200500	3/3/2007	14200
12200500	3/4/2007	13100
12200500	3/5/2007	14200
12200500	3/6/2007	16900
12200500	3/7/2007	18100
12200500	3/8/2007	20500
12200500	3/9/2007	19800
12200500	3/10/2007	19900
12200500	3/11/2007	27300
12200500	3/12/2007	60000
12200500	3/13/2007	61100
12200500	3/14/2007	36700
12200500	3/15/2007	28400
12200500	3/16/2007	25800
12200500	3/17/2007	26600
12200500	3/18/2007	34000
12200500	3/19/2007	33400
12200500	3/20/2007	35800
12200500	3/21/2007	31300
12200500	3/22/2007	26700
12200500	3/23/2007	26100
12200500	3/24/2007	42600
12200500	3/25/2007	74200
12200500	3/26/2007	54400
12200500	3/27/2007	37900
12200500	3/28/2007	29500
12200500	3/29/2007	24800
12200500	3/30/2007	22100
12200500	3/31/2007	21400
12200500	4/1/2007	19900
