CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2005-10-12T17:10:00Z,2005,10,L37067-4,321,NA,Orthophosphate Phosphorus,0.03235197196025072,mg/L,,0.002,0.005,,0.0316,FALSE
2003-10-16T17:19:00Z,2003,10,L27769-5,322,NA,Nitrite + Nitrate Nitrogen,1.440531,mg/L,,0.02,0.04,,1.51,FALSE
1998-06-23T16:00:00Z,1998,6,L13538-7,322,NA,Nitrite + Nitrate Nitrogen,1.5343410000000002,mg/L,,0.05,0.1,,1.61,FALSE
1972-10-02T07:00:00Z,1972,10,7215872,321,1,Nitrite + Nitrate Nitrogen,0.27491600000000005,mg/L,,NA,NA,.280||King County Nstream Database/RBC,0.28,FALSE
2016-12-14T17:36:00Z,2016,12,L66681-4,321,NA,Orthophosphate Phosphorus,0.0499,mg/L,,5e-4,0.002,,0.0499,FALSE
2006-01-09T18:51:00Z,2006,1,L37423-5,321,NA,Orthophosphate Phosphorus,0.032087013498257606,mg/L,,0.002,0.005,,0.0313,FALSE
1998-09-15T17:50:00Z,1998,9,L14031-4,321,NA,Total Suspended Solids,9.3,mg/L,,0.5,1,,9.3,FALSE
2008-06-03T19:18:00Z,2008,6,L44956-5,321,NA,Total Suspended Solids,5.8,mg/L,,0.5,1,,5.8,FALSE
1987-01-14T08:00:00Z,1987,1,8700608,322,1,Total Suspended Solids,12.4,mg/L,,NA,NA,12.40||King County Nstream Database/B53311,12.4,FALSE
2014-05-13T17:47:00Z,2014,5,L60167-5,321,NA,Nitrite + Nitrate Nitrogen,0.609,mg/L,,0.01,0.04,,0.609,FALSE
1998-12-29T18:33:00Z,1998,12,L14619-4,321,NA,Orthophosphate Phosphorus,0.029417489671468244,mg/L,,0.002,0.005,,0.0283,FALSE
1996-08-13T17:50:00Z,1996,8,L9251-7,322,NA,Orthophosphate Phosphorus,0.05713069029045891,mg/L,,0.002,0.005,,0.058,FALSE
1982-03-25T08:00:00Z,1982,3,8215211,322,1,Total Suspended Solids,4.33,mg/L,,NA,NA,4.33||King County Nstream Database/RS3,4.33,FALSE
2007-07-05T17:21:00Z,2007,7,L43111-7,322,NA,Total Suspended Solids,2.6,mg/L,,0.5,1,,2.6,FALSE
2006-04-12T17:57:00Z,2006,4,L38672-7,322,NA,Nitrite + Nitrate Nitrogen,1.862676,mg/L,,0.02,0.04,,1.96,FALSE
1998-12-07T19:00:00Z,1998,12,L14564-10,321,NA,Orthophosphate Phosphorus,0.036806043712336096,mg/L,,0.002,0.005,,0.0367,FALSE
2001-12-14T14:00:00Z,2001,12,L22976-25,322,NA,Nitrite + Nitrate Nitrogen,1.7594850000000002,mg/L,,0.02,0.04,,1.85,FALSE
2022-04-13T17:31:00Z,2022,4,L78939-4,321,NA,Total Suspended Solids,3.9,mg/L,,0.51,1.03,,3.9,FALSE
2019-08-14T17:31:00Z,2019,8,L72764-4,321,NA,Orthophosphate Phosphorus,0.0276,mg/L,,5e-4,0.002,,0.0276,FALSE
1994-02-23T19:41:00Z,1994,2,L2970-10,322,NA,Nitrite + Nitrate Nitrogen,1.80639,mg/L,,0.05,0.1,,1.9,FALSE
1989-08-02T07:00:00Z,1989,8,8907533,322,1,Orthophosphate Phosphorus,0.03706527527714723,mg/L,,NA,NA,.037||King County Nstream Database/B53311,0.037,FALSE
1998-03-10T17:35:00Z,1998,3,L12830-12,322,NA,Orthophosphate Phosphorus,0.3442654802608331,mg/L,,0.002,0.005,,0.361,FALSE
2000-06-12T21:17:00Z,2000,6,L18135-7,322,NA,Nitrite + Nitrate Nitrogen,0.9808620000000001,mg/L,,0.02,0.04,,1.02,FALSE
2011-02-07T18:13:00Z,2011,2,L52542-5,322,NA,Total Suspended Solids,4.74,mg/L,,0.5,1,,4.74,FALSE
1997-03-18T19:50:00Z,1997,3,L10305-7,322,NA,Total Suspended Solids,6.7,mg/L,,0.5,1,,6.7,FALSE
2003-01-05T00:05:00Z,2003,1,L26819-11,322,NA,Nitrite + Nitrate Nitrogen,4.05783,mg/L,,0.02,0.04,,4.3,FALSE
2020-01-22T18:15:00Z,2020,1,L73946-7,322,NA,Nitrite + Nitrate Nitrogen,1.76,mg/L,,0.01,0.04,,1.76,FALSE
1991-01-30T08:00:00Z,1991,1,9104108,322,1,Nitrite + Nitrate Nitrogen,2.1816299999999997,mg/L,,NA,NA,2.300||King County Nstream Database/B53311,2.3,FALSE
1999-12-14T18:26:00Z,1999,12,L16886-4,321,NA,Orthophosphate Phosphorus,0.02734444083043148,mg/L,,0.002,0.005,,0.026,FALSE
1998-05-27T20:00:00Z,1998,5,L13078-10,321,NA,Nitrite + Nitrate Nitrogen,0.5712248,mg/L,,0.05,0.1,,0.584,FALSE
2012-11-05T18:47:00Z,2012,11,L56827-5,322,NA,Orthophosphate Phosphorus,0.0861,mg/L,,0.002,0.005,,0.0861,FALSE
2002-01-25T00:00:00Z,2002,1,L23183-25,322,NA,Nitrite + Nitrate Nitrogen,2.0878200000000002,mg/L,H,0.02,0.04,sample was filtered past holding time,2.2,FALSE
2013-02-05T17:51:00Z,2013,2,L57192-8,322,NA,Orthophosphate Phosphorus,0.0603,mg/L,,0.002,0.005,,0.0603,FALSE
1994-08-08T18:30:00Z,1994,8,L4243-10,322,NA,Total Suspended Solids,2,mg/L,,0.5,1,,2,FALSE
1973-06-27T07:00:00Z,1973,6,7315523,322,1,Nitrite + Nitrate Nitrogen,1.252911,mg/L,,NA,NA,1.310||King County Nstream Database/RBC,1.31,FALSE
1998-10-13T16:20:00Z,1998,10,L14335-12,322,NA,Orthophosphate Phosphorus,0.060032115837797266,mg/L,,0.002,0.005,,0.061,FALSE
2018-10-10T16:41:00Z,2018,10,L71065-7,322,NA,Orthophosphate Phosphorus,0.0319,mg/L,,5e-4,0.002,,0.0319,FALSE
2014-07-02T17:44:00Z,2014,7,L60576-5,321,NA,Total Suspended Solids,3.49,mg/L,,0.5,1,,3.49,FALSE
1980-04-16T08:00:00Z,1980,4,8015274,321,1,Total Suspended Solids,5.3,mg/L,,NA,NA,5.30||King County Nstream Database/RS2,5.3,FALSE
1980-10-08T07:00:00Z,1980,10,8015705,321,1,Orthophosphate Phosphorus,0.023676806055515483,mg/L,,NA,NA,.022||King County Nstream Database/RS2,0.022,FALSE
2008-05-07T17:45:00Z,2008,5,L45569-4,321,NA,Orthophosphate Phosphorus,0.0208,mg/L,,0.002,0.005,,0.0208,FALSE
1977-09-29T07:00:00Z,1977,9,7715340,321,1,Total Suspended Solids,5.3,mg/L,,NA,NA,5.30||King County Nstream Database/RS1,5.3,FALSE
2002-07-08T17:37:00Z,2002,7,L24798-4,321,NA,Orthophosphate Phosphorus,0.020486493620006038,mg/L,,0.002,0.005,,0.0186,FALSE
2022-01-12T19:01:00Z,2022,1,L78397-7,322,NA,Orthophosphate Phosphorus,0.127,mg/L,,5e-4,0.002,,0.127,FALSE
1989-09-20T07:00:00Z,1989,9,8908725,322,1,Nitrite + Nitrate Nitrogen,1.4874360000000002,mg/L,,NA,NA,1.560||King County Nstream Database/B53311,1.56,FALSE
2002-02-12T18:28:00Z,2002,2,L23319-4,321,NA,Nitrite + Nitrate Nitrogen,0.6787938,mg/L,,0.02,0.04,,0.698,FALSE
1995-12-01T22:15:00Z,1995,12,L7184-7,322,NA,Orthophosphate Phosphorus,0.40226134031540545,mg/L,,0.002,0.005,,0.423,FALSE
2008-02-06T19:35:00Z,2008,2,L45058-4,321,NA,Total Suspended Solids,8.9,mg/L,,0.5,1,,8.9,FALSE
1998-10-13T16:15:00Z,1998,10,L14335-7,322,NA,Nitrite + Nitrate Nitrogen,1.2622920000000002,mg/L,,0.02,0.04,,1.32,FALSE
2008-01-09T19:50:00Z,2008,1,L44906-7,322,NA,Orthophosphate Phosphorus,0.118,mg/L,,0.002,0.005,,0.118,FALSE
2019-07-10T16:28:00Z,2019,7,L72673-4,321,NA,Orthophosphate Phosphorus,0.0326,mg/L,,5e-4,0.002,,0.0326,FALSE
1994-01-19T19:50:00Z,1994,1,L2787-10,322,NA,Orthophosphate Phosphorus,0.08700414769672385,mg/L,,0.002,0.005,,0.089,FALSE
1981-08-20T07:00:00Z,1981,8,8115533,321,1,Orthophosphate Phosphorus,0.021809137110604546,mg/L,,NA,NA,.020||King County Nstream Database/RS3,0.02,FALSE
1997-10-29T20:30:00Z,1997,10,L12026-7,322,NA,Orthophosphate Phosphorus,0.1955723757623121,mg/L,,0.002,0.005,,0.203,FALSE
2006-10-11T18:23:00Z,2006,10,L40575-7,322,NA,Orthophosphate Phosphorus,0.03809933090674764,mg/L,,0.002,0.005,,0.0382,FALSE
2005-08-10T16:38:00Z,2005,8,L36340-4,321,NA,Nitrite + Nitrate Nitrogen,0.7810467000000001,mg/L,,0.02,0.04,,0.807,FALSE
1980-01-30T08:00:00Z,1980,1,8015044,322,1,Nitrite + Nitrate Nitrogen,2.2285350000000004,mg/L,,NA,NA,2.350||King County Nstream Database/RS2,2.35,FALSE
1998-06-23T16:05:00Z,1998,6,L13538-12,322,NA,Nitrite + Nitrate Nitrogen,1.5437220000000003,mg/L,,0.05,0.1,,1.62,FALSE
2015-12-09T17:49:00Z,2015,12,L64300-4,321,NA,Total Suspended Solids,70.4,mg/L,,3.3,6.6,,70.4,FALSE
2018-07-18T17:00:00Z,2018,7,L70356-4,321,NA,Orthophosphate Phosphorus,0.0215,mg/L,,5e-4,0.002,,0.0215,FALSE
1994-01-19T19:50:00Z,1994,1,L2787-10,322,NA,Total Suspended Solids,2.4,mg/L,,0.5,1,,2.4,FALSE
2001-11-14T18:00:00Z,2001,11,L22698-26,322,NA,Nitrite + Nitrate Nitrogen,2.078439,mg/L,,0.02,0.04,,2.19,FALSE
1989-03-15T08:00:00Z,1989,3,8904417,322,1,Nitrite + Nitrate Nitrogen,1.4874360000000002,mg/L,,NA,NA,1.560||King County Nstream Database/B53311,1.56,FALSE
2005-01-18T21:18:00Z,2005,1,L33446-7,322,NA,Nitrite + Nitrate Nitrogen,2.1722490000000003,mg/L,,0.02,0.04,,2.29,FALSE
1993-04-13T17:45:00Z,1993,4,L814-10,322,NA,Orthophosphate Phosphorus,0.08220035556894759,mg/L,,0.005,0.01,,0.084,FALSE
2021-10-13T17:46:00Z,2021,10,L77812-7,322,NA,Nitrite + Nitrate Nitrogen,0.857,mg/L,,0.01,0.04,,0.857,FALSE
1995-05-16T18:25:00Z,1995,5,L6041-13,322,NA,Orthophosphate Phosphorus,0.04860393975641296,mg/L,,0.002,0.005,,0.0492,FALSE
1994-11-30T19:20:00Z,1994,11,L4912-7,322,NA,Total Suspended Solids,71,mg/L,,0.5,1,,71,FALSE
2004-12-07T19:45:00Z,2004,12,L34113-7,322,NA,Orthophosphate Phosphorus,0.10713076054521416,mg/L,,0.002,0.005,,0.11,FALSE
2020-02-12T19:13:00Z,2020,2,L74057-7,322,NA,Orthophosphate Phosphorus,0.0538,mg/L,,5e-4,0.002,,0.0538,FALSE
2022-04-13T17:31:00Z,2022,4,L78939-4,321,NA,Nitrite + Nitrate Nitrogen,0.646,mg/L,,0.01,0.04,,0.646,FALSE
2015-02-11T17:15:00Z,2015,2,L62058-4,321,NA,Total Suspended Solids,4.96,mg/L,,0.5,1,,4.96,FALSE
1999-08-10T18:05:00Z,1999,8,L15993-4,321,NA,Total Suspended Solids,1.5,mg/L,,0.5,1,,1.5,FALSE
1998-04-14T18:15:00Z,1998,4,L13106-7,322,NA,Total Suspended Solids,6,mg/L,,0.5,1,,6,FALSE
1996-02-13T17:25:00Z,1996,2,L7782-12,322,NA,Orthophosphate Phosphorus,0.10234541748959743,mg/L,,0.002,0.005,,0.105,FALSE
2017-01-11T18:55:00Z,2017,1,L66846-4,321,NA,Total Suspended Solids,9.4,mg/L,,0.5,1,,9.4,FALSE
2012-12-03T19:31:00Z,2012,12,L56985-5,322,NA,Orthophosphate Phosphorus,0.212,mg/L,,0.004,0.01,,0.212,FALSE
2014-07-02T18:26:00Z,2014,7,L60576-8,322,NA,Orthophosphate Phosphorus,0.0306,mg/L,,5e-4,0.002,,0.0306,FALSE
1982-04-22T08:00:00Z,1982,4,8215282,321,1,Orthophosphate Phosphorus,0.03093476044691362,mg/L,,NA,NA,.030||King County Nstream Database/RS3,0.03,FALSE
2021-01-13T17:37:00Z,2021,1,L76194-4,321,NA,Total Suspended Solids,15,mg/L,,0.83,1.67,,15,FALSE
1998-08-11T18:10:00Z,1998,8,L13902-7,322,NA,Total Suspended Solids,2.9,mg/L,,0.5,1,,2.9,FALSE
1982-04-22T08:00:00Z,1982,4,8215283,322,1,Nitrite + Nitrate Nitrogen,1.862676,mg/L,,NA,NA,1.963||King County Nstream Database/RS3,1.96,FALSE
1995-08-08T15:55:00Z,1995,8,L6683-13,322,NA,Orthophosphate Phosphorus,0.04384464254374995,mg/L,,0.002,0.005,,0.0443,FALSE
