CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2020-06-08T20:44:00Z,2020,6,L74759-15,A499,NA,Total Suspended Solids,6.2,mg/L,,0.5,1,,6.2,FALSE
2006-05-08T19:34:00Z,2006,5,L38934-14,A499,NA,Turbidity,3.81,NTU,,0.5,2,,3.81,FALSE
1994-04-11T19:40:00Z,1994,4,L3418-11,A499,NA,"pH, Field",8.13,pH,,NA,NA,,8.13,FALSE
1989-06-13T07:00:00Z,1989,6,8906261,A499,1,Ammonia Nitrogen,0.01,mg/L,,NA,NA,.010||King County Nstream Database/B53311,0.01,FALSE
2019-03-12T20:21:00Z,2019,3,L71870-11,A499,NA,Total Alkalinity,70.6,mg CaCO3/L,,1,5,,70.6,FALSE
1997-10-02T19:20:00Z,1997,10,L11978-10,A499,NA,Ammonia Nitrogen,0.023,mg/L,<RDL,0.02,0.04,,0.023,FALSE
2019-06-11T20:33:00Z,2019,6,L72441-11,A499,NA,E. coli,24,CFU/100ml,,NA,NA,,24,FALSE
1997-12-16T22:47:00Z,1997,12,L12291-10,A499,NA,"Dissolved Oxygen, Field",11.4,mg/L,,NA,10,,11.4,FALSE
1999-02-08T21:15:00Z,1999,2,L14964-9,A499,NA,Enterococcus,130,CFU/100ml,,NA,NA,,130,FALSE
1993-03-22T20:45:00Z,1993,3,L395-11,A499,NA,Total Phosphorus,0.12384050936858582,mg/L,,0.005,0.01,,0.13,FALSE
1981-02-25T08:00:00Z,1981,2,8115069,A499,1,Ammonia Nitrogen,0.027,mg/L,,NA,NA,.027||King County Nstream Database/RS3,0.027,FALSE
2019-02-26T20:40:00Z,2019,2,L71697-11,A499,NA,Total Alkalinity,86.4,mg CaCO3/L,,1,5,,86.4,FALSE
1997-06-09T19:45:00Z,1997,6,L11271-11,A499,NA,Total Alkalinity,80.7,mg CaCO3/L,,0.2,1,,80.7,FALSE
1987-11-09T08:00:00Z,1987,11,8713136,A499,1,Nitrite + Nitrate Nitrogen,1.918962,mg/L,,NA,NA,2.020||King County Nstream Database/B53311,2.02,FALSE
2000-04-10T21:01:00Z,2000,4,L17631-15,A499,NA,Orthophosphate Phosphorus,0.04501100898643205,mg/L,,0.002,0.005,,0.0455,FALSE
2001-01-08T21:58:00Z,2001,1,L19493-17,A499,NA,Ammonia Nitrogen,0.105,mg/L,,0.01,0.02,,0.105,FALSE
2004-05-26T22:46:00Z,2004,5,L32067-10,A499,NA,Total Nitrogen,2.3953756731802853,mg/L,,0.05,0.1,,2.4,FALSE
1992-10-19T07:00:00Z,1992,10,9211434,A499,1,Total Phosphorus,0.057251867852396034,mg/L,,NA,NA,.064||King County Nstream Database/B53311,0.064,FALSE
2006-04-10T20:04:00Z,2006,4,L38669-14,A499,NA,Total Alkalinity,78.8,mg CaCO3/L,,1,10,,78.8,FALSE
1998-09-14T20:00:00Z,1998,9,L14029-9,A499,NA,Orthophosphate Phosphorus,0.050447076558398585,mg/L,,0.002,0.005,,0.0511,FALSE
2004-06-14T19:40:00Z,2004,6,L32186-15,A499,NA,Total Phosphorus,0.0747199732318968,mg/L,,0.005,0.01,,0.0664,FALSE
1989-08-01T07:00:00Z,1989,8,8907492,A499,1,Enterococcus,19,ORG/100g,E,NA,NA,19||King County Nstream Database/B53311,19,FALSE
1999-11-08T21:25:00Z,1999,11,L16754-9,A499,NA,Temperature,10.7,deg C,,NA,NA,,10.7,FALSE
1999-12-06T23:05:00Z,1999,12,L16892-10,A499,NA,Fecal Coliform,1000,CFU/100ml,,NA,NA,,1000,FALSE
1975-09-02T07:00:00Z,1975,9,7515528,A499,1,Turbidity,1.8,NTU,,NA,NA,1.8||King County Nstream Database/RS1,1.8,FALSE
2004-05-26T22:46:00Z,2004,5,L32067-10,A499,NA,Fecal Coliform,190,CFU/100ml,,NA,NA,,190,FALSE
2021-02-09T22:13:00Z,2021,2,L76372-11,A499,NA,Ammonia Nitrogen,0.0102,mg/L,,0.002,0.01,,0.0102,FALSE
