"","Month","Year_mon","variable","value","Wtr_Year"
"11544","June",Jun 1982,"0632",426.9692,1982
"11545","July",Jul 1982,"0632",291.4859,1982
"11546","August",Aug 1982,"0632",465.9572,1982
"11547","September",Sep 1982,"0632",401.627,1982
"11548","October",Oct 1982,"0632",319.7522,1983
"11549","November",Nov 1982,"0632",NA,1983
"11550","December",Dec 1982,"0632",1046.529,1983
"11551","January",Jan 1983,"0632",1187.244,1983
"11552","February",Feb 1983,"0632",660.9699,1983
"11553","March",Mar 1983,"0632",697.5558,1983
"11554","April",Apr 1983,"0632",201.8135,1983
"11555","May",May 1983,"0632",305.1317,1983
"11556","June",Jun 1983,"0632",349.9679,1983
"11557","July",Jul 1983,"0632",210.5858,1983
"11558","August",Aug 1983,"0632",307.0811,1983
"11559","September",Sep 1983,"0632",307.0811,1983
"11560","October",Oct 1983,"0632",310.0052,1984
"11561","November",Nov 1983,"0632",1665.675,1984
"11562","December",Dec 1983,"0632",1299.816,1984
"11563","January",Jan 1984,"0632",1074.672,1984
"11564","February",Feb 1984,"0632",1037.148,1984
"11565","March",Mar 1984,"0632",600.4658,1984
"11566","April",Apr 1984,"0632",706.9368,1984
"11567","May",May 1984,"0632",414.2981,1984
"11568","June",Jun 1984,"0632",325.6004,1984
"11569","July",Jul 1984,"0632",364.5884,1984
"11570","August",Aug 1984,"0632",330.4739,1984
"11571","September",Sep 1984,"0632",506.8946,1984
"11572","October",Oct 1984,"0632",312.9293,1985
"11573","November",Nov 1984,"0632",948.9666,1985
"11574","December",Dec 1984,"0632",1337.34,1985
"11575","January",Jan 1985,"0632",827.0136,1985
"11576","February",Feb 1985,"0632",1309.197,1985
"11577","March",Mar 1985,"0632",497.1476,1985
"11578","April",Apr 1985,"0632",436.7162,1985
"11579","May",May 1985,"0632",417.2222,1985
"11580","June",Jun 1985,"0632",390.9053,1985
"11581","July",Jul 1985,"0632",334.3727,1985
"11582","August",Aug 1985,"0632",274.916,1985
"11583","September",Sep 1985,"0632",202.7882,1985
"11584","October",Oct 1985,"0632",233.9786,1986
"11585","November",Nov 1985,"0632",NA,1986
"11586","December",Dec 1985,"0632",1421.769,1986
"11587","January",Jan 1986,"0632",1055.91,1986
"11588","February",Feb 1986,"0632",1112.196,1986
"11589","March",Mar 1986,"0632",545.8826,1986
"11590","April",Apr 1986,"0632",429.8933,1986
"11591","May",May 1986,"0632",492.2741,1986
"11592","June",Jun 1986,"0632",335.3474,1986
"11593","July",Jul 1986,"0632",227.1557,1986
"11594","August",Aug 1986,"0632",220.3328,1986
"11595","September",Sep 1986,"0632",386.0318,1986
"11596","October",Oct 1986,"0632",502.9958,1987
"11597","November",Nov 1986,"0632",476.6789,1987
"11598","December",Dec 1986,"0632",787.6134,1987
"11599","January",Jan 1987,"0632",905.814,1987
"11600","February",Feb 1987,"0632",703.1844,1987
"11601","March",Mar 1987,"0632",639.4538,1987
"11602","April",Apr 1987,"0632",422.0957,1987
"11603","May",May 1987,"0632",307.0811,1987
"11604","June",Jun 1987,"0632",380.1836,1987
"11605","July",Jul 1987,"0632",403.5764,1987
"11606","August",Aug 1987,"0632",360.6896,1987
"11607","September",Sep 1987,"0632",137.4833,1987
"11608","October",Oct 1987,"0632",461.0837,1988
"11609","November",Nov 1987,"0632",353.8667,1988
"11610","December",Dec 1987,"0632",1168.482,1988
"11611","January",Jan 1988,"0632",678.7938,1988
"11612","February",Feb 1988,"0632",862.6614,1988
"11613","March",Mar 1988,"0632",660.9699,1988
"11614","April",Apr 1988,"0632",NA,1988
"11615","May",May 1988,"0632",314.8787,1988
"11616","June",Jun 1988,"0632",344.1197,1988
"11617","July",Jul 1988,"0632",387.0065,1988
"11618","August",Aug 1988,"0632",356.7908,1988
"11619","September",Sep 1988,"0632",401.627,1988
"11620","October",Oct 1988,"0632",320.7269,1989
"11621","November",Nov 1988,"0632",683.4843,1989
"11622","December",Dec 1988,"0632",874.8567,1989
"11623","January",Jan 1989,"0632",1412.388,1989
"11624","February",Feb 1989,"0632",951.7809,1989
"11625","March",Mar 1989,"0632",971.481,1989
"11626","April",Apr 1989,"0632",793.242,1989
"11627","May",May 1989,"0632",392.8547,1989
"11628","June",Jun 1989,"0632",491.2994,1989
"11629","July",Jul 1989,"0632",393.8294,1989
"11630","August",Aug 1989,"0632",244.7003,1989
"11631","September",Sep 1989,"0632",339.2462,1989
"11632","October",Oct 1989,"0632",261.2702,1990
"11633","November",Nov 1989,"0632",764.1609,1990
"11634","December",Dec 1989,"0632",1112.196,1990
"11635","January",Jan 1990,"0632",NA,1990
"11636","February",Feb 1990,"0632",887.052,1990
"11637","March",Mar 1990,"0632",727.575,1990
"11638","April",Apr 1990,"0632",382.133,1990
"11639","May",May 1990,"0632",216.434,1990
"11640","June",Jun 1990,"0632",294.41,1990
"11641","July",Jul 1990,"0632",187.193,1990
"11642","August",Aug 1990,"0632",87.7736,1990
"11643","September",Sep 1990,"0632",157.952,1990
"11644","October",Oct 1990,"0632",187.193,1991
"11645","November",Nov 1990,"0632",NA,1991
"11646","December",Dec 1990,"0632",NA,1991
"11647","January",Jan 1991,"0632",765.099,1991
"11648","February",Feb 1991,"0632",1055.91,1991
"11649","March",Mar 1991,"0632",952.719,1991
"11650","April",Apr 1991,"0632",812.004,1991
"11651","May",May 1991,"0632",167.699,1991
"11652","June",Jun 1991,"0632",187.193,1991
"11653","July",Jul 1991,"0632",128.711,1991
"11654","August",Aug 1991,"0632",55.6085,1991
"11655","September",Sep 1991,"0632",109.217,1991
"11656","October",Oct 1991,"0632",74.1278,1992
"11657","November",Nov 1991,"0632",157.952,1992
"11658","December",Dec 1991,"0632",962.1,1992
"11659","January",Jan 1992,"0632",821.385,1992
"11660","February",Feb 1992,"0632",962.1,1992
"11661","March",Mar 1992,"0632",518.591,1992
"11662","April",Apr 1992,"0632",255.422,1992
"11663","May",May 1992,"0632",167.699,1992
"11664","June",Jun 1992,"0632",81.9254,1992
"11665","July",Jul 1992,"0632",118.964,1992
"11666","August",Aug 1992,"0632",81.9254,1992
"11667","September",Sep 1992,"0632",50.735,1992
"11668","October",Oct 1992,"0632",128.711,1993
"11669","November",Nov 1992,"0632",157.952,1993
"11670","December",Dec 1992,"0632",1337.34,1993
"11671","January",Jan 1993,"0632",802.623,1993
"11672","February",Feb 1993,"0632",489.35,1993
"11673","March",Mar 1993,"0632",343.145,1993
"11674","April",Apr 1993,"0632",929.2665,1993
"11675","May",May 1993,"0632",430.868,1993
"11676","June",Jun 1993,"0632",NA,1993
"11677","July",Jul 1993,"0632",138.458,1993
"11678","August",Aug 1993,"0632",67.3049,1993
"11679","September",Sep 1993,"0632",36.1145,1993
"11680","October",Oct 1993,"0632",109.217,1994
"11681","November",Nov 1993,"0632",235.928,1994
"11682","December",Dec 1993,"0632",1243.53,1994
"11683","January",Jan 1994,"0632",718.194,1994
"11684","February",Feb 1994,"0632",1900.2,1994
"11685","March",Mar 1994,"0632",1055.91,1994
"11686","April",Apr 1994,"0632",874.8567,1994
"11687","May",May 1994,"0632",195.9653,1994
"11688","June",Jun 1994,"0632",365.07575,1994
"11689","July",Jul 1994,"0632",146.2556,1994
"11690","August",Aug 1994,"0632",122.8628,1994
"11691","September",Sep 1994,"0632",148.205,1994
"11692","October",Oct 1994,"0632",149.1797,1995
"11693","November",Nov 1994,"0632",182.3195,1995
"11694","December",Dec 1994,"0632",806.84445,1995
"11695","January",Jan 1995,"0632",895.4949,1995
"11696","February",Feb 1995,"0632",1367.82825,1995
"11697","March",Mar 1995,"0632",NA,1995
"11698","April",Apr 1995,"0632",277.35275,1995
"11699","May",May 1995,"0632",281.7389,1995
"11700","June",Jun 1995,"0632",131.6351,1995
"11701","July",Jul 1995,"0632",50.735,1995
"11702","August",Aug 1995,"0632",50.735,1995
"11703","September",Sep 1995,"0632",67.3049,1995
"11704","October",Oct 1995,"0632",NA,1996
"11705","November",Nov 1995,"0632",661.908,1996
"11706","December",Dec 1995,"0632",1065.291,1996
"11707","January",Jan 1996,"0632",1037.148,1996
"11708","February",Feb 1996,"0632",999.624,1996
"11709","March",Mar 1996,"0632",495.1982,1996
"11710","April",Apr 1996,"0632",269.0678,1996
"11711","May",May 1996,"0632",229.1051,1996
"11712","June",Jun 1996,"0632",218.3834,1996
"11713","July",Jul 1996,"0632",80.9507,1996
"11714","August",Aug 1996,"0632",58.5326,1996
"11715","September",Sep 1996,"0632",74.1278,1996
"11716","October",Oct 1996,"0632",99.47,1997
"11717","November",Nov 1996,"0632",189.1424,1997
"11718","December",Dec 1996,"0632",1102.815,1997
"11719","January",Jan 1997,"0632",663.7842,1997
"11720","February",Feb 1997,"0632",623.8586,1997
"11721","March",Mar 1997,"0632",683.4843,1997
"11722","April",Apr 1997,"0632",258.3461,1997
"11723","May",May 1997,"0632",273.9413,1997
"11724","June",Jun 1997,"0632",147.71765,1997
"11725","July",Jul 1997,"0632",119.9387,1997
"11726","August",Aug 1997,"0632",63.89345,1997
"11727","September",Sep 1997,"0632",69.2543,1997
"11728","October",Oct 1997,"0632",171.5978,1998
"11729","November",Nov 1997,"0632",355.8161,1998
"11730","December",Dec 1997,"0632",628.7321,1998
"11731","January",Jan 1998,"0632",NA,1998
"11732","February",Feb 1998,"0632",598.5164,1998
"11733","March",Mar 1998,"0632",708.813,1998
"11734","April",Apr 1998,"0632",166.7243,1998
"11735","May",May 1998,"0632",246.6497,1998
"11736","June",Jun 1998,"0632",158.9267,1998
"11737","July",Jul 1998,"0632",104.3435,1998
"11738","August",Aug 1998,"0632",50.05271,1998
"11739","September",Sep 1998,"0632",74.81009,1998
"11740","October",Oct 1998,"0632",97.91048,1999
"11741","November",Nov 1998,"0632",89.23565,1999
"11742","December",Dec 1998,"0632",1337.34,1999
"11743","January",Jan 1999,"0632",1243.53,1999
"11744","February",Feb 1999,"0632",1187.244,1999
"11745","March",Mar 1999,"0632",674.1033,1999
"11746","April",Apr 1999,"0632",226.181,1999
"11747","May",May 1999,"0632",171.5978,1999
"11748","June",Jun 1999,"0632",154.0532,1999
"11749","July",Jul 1999,"0632",138.458,1999
"11750","August",Aug 1999,"0632",114.0905,1999
"11751","September",Sep 1999,"0632",88.212215,1999
"11752","October",Oct 1999,"0632",225.2063,2000
"11753","November",Nov 1999,"0632",NA,2000
"11754","December",Dec 1999,"0632",931.1427,2000
"11755","January",Jan 2000,"0632",788.5515,2000
"11756","February",Feb 2000,"0632",743.05365,2000
"11757","March",Mar 2000,"0632",508.844,2000
"11758","April",Apr 2000,"0632",250.5485,2000
"11759","May",May 2000,"0632",161.8508,2000
"11760","June",Jun 2000,"0632",NA,2000
"11761","July",Jul 2000,"0632",41.08547,2000
"11762","August",Aug 2000,"0632",NA,2000
"11763","September",Sep 2000,"0632",258.3461,2000
"11764","October",Oct 2000,"0632",310.0052,2001
"11765","November",Nov 2000,"0632",154.54055,2001
"11766","December",Dec 2000,"0632",266.1437,2001
"11767","January",Jan 2001,"0632",588.7694,2001
"11768","February",Feb 2001,"0632",474.7295,2001
"11769","March",Mar 2001,"0632",144.3062,2001
"11770","April",Apr 2001,"0632",145.2809,2001
"11771","May",May 2001,"0632",137.4833,2001
"11772","June",Jun 2001,"0632",NA,2001
"11773","July",Jul 2001,"0632",94.88891,2001
"11774","August",Aug 2001,"0632",NA,2001
"11775","September",Sep 2001,"0632",21.494,2001
"11776","October",Oct 2001,"0632",101.4194,2002
"11777","November",Nov 2001,"0632",NA,2002
"11778","December",Dec 2001,"0632",719.1321,2002
"11779","January",Jan 2002,"0632",634.5803,2002
"11780","February",Feb 2002,"0632",610.2128,2002
"11781","March",Mar 2002,"0632",NA,2002
"11782","April",Apr 2002,"0632",248.5991,2002
"11783","May",May 2002,"0632",124.8122,2002
"11784","June",Jun 2002,"0632",127.7363,2002
"11785","July",Jul 2002,"0632",110.1917,2002
"11786","August",Aug 2002,"0632",52.39199,2002
"11787","September",Sep 2002,"0632",75.88226,2002
"11788","October",Oct 2002,"0632",64.18586,2003
"11789","November",Nov 2002,"0632",NA,2003
"11790","December",Dec 2002,"0632",130.6604,2003
"11791","January",Jan 2003,"0632",492.2741,2003
"11792","February",Feb 2003,"0632",509.8187,2003
"11793","March",Mar 2003,"0632",310.9799,2003
"11794","April",Apr 2003,"0632",191.0918,2003
"11795","May",May 2003,"0632",157.952,2003
"11796","June",Jun 2003,"0632",118.964,2003
"11797","July",Jul 2003,"0632",38.0639,2003
"11798","August",Aug 2003,"0632",NA,2003
"11799","September",Sep 2003,"0632",NA,2003
"11800","October",Oct 2003,"0632",213.5099,2004
"11801","November",Nov 2003,"0632",190.1171,2004
"11802","December",Dec 2003,"0632",687.2367,2004
"11803","January",Jan 2004,"0632",783.39195,2004
"11804","February",Feb 2004,"0632",589.7441,2004
"11805","March",Mar 2004,"0632",299.2835,2004
"11806","April",Apr 2004,"0632",102.3941,2004
"11807","May",May 2004,"0632",332.4233,2004
"11808","June",Jun 2004,"0632",58.14272,2004
"11809","July",Jul 2004,"0632",59.01995,2004
"11810","August",Aug 2004,"0632",80.9507,2004
"11811","September",Sep 2004,"0632",NA,2004
"11812","October",Oct 2004,"0632",153.0785,2005
"11813","November",Nov 2004,"0632",249.5738,2005
"11814","December",Dec 2004,"0632",351.9173,2005
"11815","January",Jan 2005,"0632",514.6922,2005
"11816","February",Feb 2005,"0632",394.8041,2005
"11817","March",Mar 2005,"0632",200.8388,2005
"11818","April",Apr 2005,"0632",202.7882,2005
"11819","May",May 2005,"0632",172.5725,2005
"11820","June",Jun 2005,"0632",98.446565,2005
"11821","July",Jul 2005,"0632",114.0905,2005
"11822","August",Aug 2005,"0632",21.98135,2005
"11823","September",Sep 2005,"0632",132.6098,2005
"11824","October",Oct 2005,"0632",139.4327,2006
"11825","November",Nov 2005,"0632",434.7668,2006
"11826","December",Dec 2005,"0632",553.6802,2006
"11827","January",Jan 2006,"0632",NA,2006
"11828","February",Feb 2006,"0632",581.45915,2006
"11829","March",Mar 2006,"0632",293.4353,2006
"11830","April",Apr 2006,"0632",110.1917,2006
"11831","May",May 2006,"0632",135.5339,2006
"11832","June",Jun 2006,"0632",121.8881,2006
"11833","July",Jul 2006,"0632",122.8628,2006
"11834","August",Aug 2006,"0632",NA,2006
"11835","September",Sep 2006,"0632",NA,2006
"11836","October",Oct 2006,"0632",342.1703,2007
"11837","November",Nov 2006,"0632",596.567,2007
"11838","December",Dec 2006,"0632",409.4246,2007
"11839","January",Jan 2007,"0632",644,2007
"11840","February",Feb 2007,"0632",401,2007
"11841","March",Mar 2007,"0632",317,2007
"11842","April",Apr 2007,"0632",314,2007
"11843","May",May 2007,"0632",161,2007
"11844","June",Jun 2007,"0632",126,2007
"11845","July",Jul 2007,"0632",65,2007
"11846","August",Aug 2007,"0632",79.3,2007
"11847","September",Sep 2007,"0632",211.5,2007
"11848","October",Oct 2007,"0632",186,2008
"11849","November",Nov 2007,"0632",112,2008
"11850","December",Dec 2007,"0632",491,2008
"11851","January",Jan 2008,"0632",386,2008
"11852","February",Feb 2008,"0632",393,2008
"11853","March",Mar 2008,"0632",209,2008
"11854","April",Apr 2008,"0632",167,2008
"11855","May",May 2008,"0632",143.5,2008
"11856","June",Jun 2008,"0632",144,2008
"11857","July",Jul 2008,"0632",113,2008
"11858","August",Aug 2008,"0632",43.5,2008
"11859","September",Sep 2008,"0632",53.4,2008
"11860","October",Oct 2008,"0632",74.45,2009
"11861","November",Nov 2008,"0632",256,2009
"11862","December",Dec 2008,"0632",233,2009
"11863","January",Jan 2009,"0632",NA,2009
"11864","February",Feb 2009,"0632",NA,2009
"11865","March",Mar 2009,"0632",NA,2009
"11866","April",Apr 2009,"0632",NA,2009
"11867","May",May 2009,"0632",NA,2009
"11868","June",Jun 2009,"0632",NA,2009
"11869","July",Jul 2009,"0632",NA,2009
"11870","August",Aug 2009,"0632",NA,2009
"11871","September",Sep 2009,"0632",NA,2009
"11872","October",Oct 2009,"0632",NA,2010
"11873","November",Nov 2009,"0632",NA,2010
"11874","December",Dec 2009,"0632",NA,2010
"11875","January",Jan 2010,"0632",NA,2010
"11876","February",Feb 2010,"0632",NA,2010
"11877","March",Mar 2010,"0632",NA,2010
"11878","April",Apr 2010,"0632",NA,2010
"11879","May",May 2010,"0632",NA,2010
"11880","June",Jun 2010,"0632",NA,2010
"11881","July",Jul 2010,"0632",NA,2010
"11882","August",Aug 2010,"0632",NA,2010
"11883","September",Sep 2010,"0632",NA,2010
"11884","October",Oct 2010,"0632",NA,2011
"11885","November",Nov 2010,"0632",NA,2011
"11886","December",Dec 2010,"0632",NA,2011
"11887","January",Jan 2011,"0632",NA,2011
"11888","February",Feb 2011,"0632",NA,2011
"11889","March",Mar 2011,"0632",NA,2011
"11890","April",Apr 2011,"0632",NA,2011
"11891","May",May 2011,"0632",NA,2011
"11892","June",Jun 2011,"0632",NA,2011
"11893","July",Jul 2011,"0632",NA,2011
"11894","August",Aug 2011,"0632",NA,2011
"11895","September",Sep 2011,"0632",NA,2011
"11896","October",Oct 2011,"0632",NA,2012
"11897","November",Nov 2011,"0632",NA,2012
"11898","December",Dec 2011,"0632",NA,2012
"11899","January",Jan 2012,"0632",NA,2012
"11900","February",Feb 2012,"0632",NA,2012
"11901","March",Mar 2012,"0632",NA,2012
"11902","April",Apr 2012,"0632",NA,2012
"11903","May",May 2012,"0632",NA,2012
"11904","June",Jun 2012,"0632",NA,2012
"11905","July",Jul 2012,"0632",NA,2012
"11906","August",Aug 2012,"0632",NA,2012
"11907","September",Sep 2012,"0632",NA,2012
"11908","October",Oct 2012,"0632",NA,2013
"11909","November",Nov 2012,"0632",NA,2013
"11910","December",Dec 2012,"0632",NA,2013
"11911","January",Jan 2013,"0632",NA,2013
"11912","February",Feb 2013,"0632",NA,2013
"11913","March",Mar 2013,"0632",NA,2013
"11914","April",Apr 2013,"0632",NA,2013
"11915","May",May 2013,"0632",NA,2013
"11916","June",Jun 2013,"0632",NA,2013
"11917","July",Jul 2013,"0632",NA,2013
"11918","August",Aug 2013,"0632",NA,2013
"11919","September",Sep 2013,"0632",NA,2013
"11920","October",Oct 2013,"0632",NA,2014
"11921","November",Nov 2013,"0632",NA,2014
"11922","December",Dec 2013,"0632",NA,2014
"11923","January",Jan 2014,"0632",NA,2014
"11924","February",Feb 2014,"0632",NA,2014
"11925","March",Mar 2014,"0632",NA,2014
"11926","April",Apr 2014,"0632",NA,2014
"11927","May",May 2014,"0632",NA,2014
"11928","June",Jun 2014,"0632",NA,2014
"11929","July",Jul 2014,"0632",NA,2014
"11930","August",Aug 2014,"0632",NA,2014
"11931","September",Sep 2014,"0632",NA,2014
"11932","October",Oct 2014,"0632",84.2,2015
"11933","November",Nov 2014,"0632",208,2015
"11934","December",Dec 2014,"0632",361,2015
"11935","January",Jan 2015,"0632",416,2015
"11936","February",Feb 2015,"0632",645,2015
"11937","March",Mar 2015,"0632",190,2015
"11938","April",Apr 2015,"0632",108,2015
"11939","May",May 2015,"0632",159,2015
"11940","June",Jun 2015,"0632",125,2015
"11941","July",Jul 2015,"0632",108,2015
"11942","August",Aug 2015,"0632",72,2015
"11943","September",Sep 2015,"0632",74.3,2015
"11944","October",Oct 2015,"0632",99.1,2016
"11945","November",Nov 2015,"0632",189,2016
"11946","December",Dec 2015,"0632",420,2016
"11947","January",Jan 2016,"0632",378,2016
"11948","February",Feb 2016,"0632",370,2016
"11949","March",Mar 2016,"0632",256,2016
"11950","April",Apr 2016,"0632",130,2016
"11951","May",May 2016,"0632",121,2016
"11952","June",Jun 2016,"0632",45.3,2016
"11953","July",Jul 2016,"0632",47.6,2016
"11954","August",Aug 2016,"0632",121,2016
"11955","September",Sep 2016,"0632",123,2016
"11956","October",Oct 2016,"0632",106,2017
"11957","November",Nov 2016,"0632",207,2017
"11958","December",Dec 2016,"0632",281,2017
"11959","January",Jan 2017,"0632",371,2017
"11960","February",Feb 2017,"0632",602,2017
"11961","March",Mar 2017,"0632",252,2017
"11962","April",Apr 2017,"0632",118,2017
"11963","May",May 2017,"0632",112,2017
"11964","June",Jun 2017,"0632",132,2017
"11965","July",Jul 2017,"0632",46.2,2017
"11966","August",Aug 2017,"0632",15,2017
"11967","September",Sep 2017,"0632",32,2017
"11968","October",Oct 2017,"0632",87.4,2018
"11969","November",Nov 2017,"0632",212,2018
"11970","December",Dec 2017,"0632",233,2018
"11971","January",Jan 2018,"0632",261,2018
"11972","February",Feb 2018,"0632",287,2018
"11973","March",Mar 2018,"0632",168,2018
"11974","April",Apr 2018,"0632",153,2018
"11975","May",May 2018,"0632",182,2018
"11976","June",Jun 2018,"0632",61.5,2018
"11977","July",Jul 2018,"0632",37,2018
"11978","August",Aug 2018,"0632",18,2018
"11979","September",Sep 2018,"0632",39,2018
"11980","October",Oct 2018,"0632",135,2019
"11981","November",Nov 2018,"0632",93.5,2019
"11982","December",Dec 2018,"0632",235,2019
"11983","January",Jan 2019,"0632",269,2019
"11984","February",Feb 2019,"0632",262,2019
"11985","March",Mar 2019,"0632",182,2019
"11986","April",Apr 2019,"0632",124,2019
"11987","May",May 2019,"0632",95.8,2019
"11988","June",Jun 2019,"0632",42.9,2019
"11989","July",Jul 2019,"0632",25,2019
"11990","August",Aug 2019,"0632",37,2019
"11991","September",Sep 2019,"0632",88.9,2019
"11992","October",Oct 2019,"0632",59.1,2020
"11993","November",Nov 2019,"0632",161,2020
"11994","December",Dec 2019,"0632",175,2020
"11995","January",Jan 2020,"0632",404,2020
"11996","February",Feb 2020,"0632",389,2020
"11997","March",Mar 2020,"0632",125,2020
"11998","May",May 2020,"0632",NA,2020
"11999","June",Jun 2020,"0632",67.3,2020
"12000","July",Jul 2020,"0632",27,2020
"12001","August",Aug 2020,"0632",22,2020
"12002","September",Sep 2020,"0632",48.3,2020
"12003","October",Oct 2020,"0632",66,2021
"12004","November",Nov 2020,"0632",126,2021
"12005","December",Dec 2020,"0632",159,2021
"12006","January",Jan 2021,"0632",283,2021
"12007","February",Feb 2021,"0632",224,2021
"12008","March",Mar 2021,"0632",133,2021
"12009","April",Apr 2021,"0632",88.7,2021
"12010","May",May 2021,"0632",108,2021
"12011","June",Jun 2021,"0632",67.4,2021
"12012","July",Jul 2021,"0632",21,2021
"12013","August",Aug 2021,"0632",61.4,2021
"12014","September",Sep 2021,"0632",34,2021
"12015","October",Oct 2021,"0632",37,2022
"12016","November",Nov 2021,"0632",188,2022
"12017","December",Dec 2021,"0632",219,2022
"12018","January",Jan 2022,"0632",326,2022
"12019","February",Feb 2022,"0632",196,2022
"12020","March",Mar 2022,"0632",142,2022
"12021","April",Apr 2022,"0632",56.6,2022
"12022","May",May 2022,"0632",81.2,2022
"12023","June",Jun 2022,"0632",128,2022
"12024","July",Jul 2022,"0632",72.9,2022
"12025","August",Aug 2022,"0632",57.5,2022
"12026","September",Sep 2022,"0632",68.1,2022
"12027","October",Oct 2022,"0632",59.6,2023
"12028","November",Nov 2022,"0632",185,2023
"12029","December",Dec 2022,"0632",220,2023
"12030","January",Jan 2023,"0632",222,2023
"12031","February",Feb 2023,"0632",196,2023
"12032","March",Mar 2023,"0632",142,2023
"12033","April",Apr 2023,"0632",137,2023
"12034","May",May 2023,"0632",152.5,2023
"12035","October",Oct 1977,"A315",NA,1978
"12036","November",Nov 1977,"A315",NA,1978
"12037","December",Dec 1977,"A315",1140.339,1978
"12038","January",Jan 1978,"A315",NA,1978
"12039","February",Feb 1978,"A315",NA,1978
"12040","March",Mar 1978,"A315",631.6562,1978
"12041","April",Apr 1978,"A315",NA,1978
"12042","May",May 1978,"A315",NA,1978
"12043","June",Jun 1978,"A315",454.2608,1978
"12044","July",Jul 1978,"A315",NA,1978
"12045","August",Aug 1978,"A315",NA,1978
"12046","September",Sep 1978,"A315",NA,1978
"12047","October",Oct 1978,"A315",NA,1979
"12048","November",Nov 1978,"A315",NA,1979
"12049","December",Dec 1978,"A315",NA,1979
"12050","January",Jan 1979,"A315",1515.579,1979
"12051","February",Feb 1979,"A315",1084.053,1979
"12052","March",Mar 1979,"A315",1074.672,1979
"12053","April",Apr 1979,"A315",784.7991,1979
"12054","May",May 1979,"A315",758.5323,1979
"12055","June",Jun 1979,"A315",725.6988,1979
"12056","July",Jul 1979,"A315",663.7842,1979
"12057","August",Aug 1979,"A315",715.3797,1979
"12058","September",Sep 1979,"A315",719.15545,1979
"12059","October",Oct 1979,"A315",509.281733333333,1980
"12060","November",Nov 1979,"A315",1130.958,1980
"12061","December",Dec 1979,"A315",1346.721,1980
"12062","January",Jan 1980,"A315",850.4661,1980
"12063","February",Feb 1980,"A315",797.9325,1980
"12064","March",Mar 1980,"A315",601.4405,1980
"12065","April",Apr 1980,"A315",425.9945,1980
"12066","May",May 1980,"A315",618.9851,1980
"12067","June",Jun 1980,"A315",712.5654,1980
"12068","July",Jul 1980,"A315",399.6776,1980
"12069","August",Aug 1980,"A315",765.099,1980
"12070","September",Sep 1980,"A315",503.9705,1980
"12071","October",Oct 1980,"A315",258.3461,1981
"12072","November",Nov 1980,"A315",NA,1981
"12073","December",Dec 1980,"A315",1037.148,1981
"12074","January",Jan 1981,"A315",700.3701,1981
"12075","February",Feb 1981,"A315",704.1225,1981
"12076","March",Mar 1981,"A315",633.6056,1981
"12077","April",Apr 1981,"A315",358.7402,1981
"12078","May",May 1981,"A315",346.0691,1981
"12079","June",Jun 1981,"A315",611.1875,1981
"12080","July",Jul 1981,"A315",507.8693,1981
"12081","August",Aug 1981,"A315",602.4152,1981
"12082","September",Sep 1981,"A315",458.1596,1981
"12083","October",Oct 1981,"A315",521.5151,1982
"12084","November",Nov 1981,"A315",693.8034,1982
"12085","December",Dec 1981,"A315",817.6326,1982
"12086","January",Jan 1982,"A315",886.1139,1982
"12087","February",Feb 1982,"A315",474.7295,1982
"12088","March",Mar 1982,"A315",618.0104,1982
"12089","April",Apr 1982,"A315",462.0584,1982
"12090","May",May 1982,"A315",579.9971,1982
"12091","June",Jun 1982,"A315",356.7908,1982
"12092","July",Jul 1982,"A315",305.1317,1982
"12093","August",Aug 1982,"A315",157.952,1982
"12094","September",Sep 1982,"A315",226.181,1982
"12095","October",Oct 1982,"A315",419.1716,1983
"12096","November",Nov 1982,"A315",NA,1983
"12097","December",Dec 1982,"A315",823.2612,1983
"12098","January",Jan 1983,"A315",817.6326,1983
"12099","February",Feb 1983,"A315",NA,1983
"12100","March",Mar 1983,"A315",603.3899,1983
"12101","April",Apr 1983,"A315",387.9812,1983
"12102","May",May 1983,"A315",389.9306,1983
"12103","June",Jun 1983,"A315",314.8787,1983
"12104","July",Jul 1983,"A315",253.4726,1983
"12105","August",Aug 1983,"A315",123.8375,1983
"12106","September",Sep 1983,"A315",320.7269,1983
"12107","October",Oct 1983,"A315",521.5151,1984
"12108","November",Nov 1983,"A315",809.1897,1984
"12109","December",Dec 1983,"A315",784.7991,1984
"12110","January",Jan 1984,"A315",582.9212,1984
"12111","February",Feb 1984,"A315",599.4911,1984
"12112","March",Mar 1984,"A315",415.2728,1984
"12113","April",Apr 1984,"A315",333.398,1984
"12114","May",May 1984,"A315",341.1956,1984
"12115","June",Jun 1984,"A315",456.2102,1984
"12116","July",Jul 1984,"A315",345.0944,1984
"12117","August",Aug 1984,"A315",208.6364,1984
"12118","September",Sep 1984,"A315",571.2248,1984
"12119","October",Oct 1984,"A315",473.7548,1985
"12120","November",Nov 1984,"A315",582.9212,1985
"12121","December",Dec 1984,"A315",770.7276,1985
"12122","January",Jan 1985,"A315",731.3274,1985
"12123","February",Feb 1985,"A315",775.4181,1985
"12124","March",Mar 1985,"A315",511.7681,1985
"12125","April",Apr 1985,"A315",474.7295,1985
"12126","May",May 1985,"A315",499.097,1985
"12127","June",Jun 1985,"A315",510.7934,1985
"12128","July",Jul 1985,"A315",368.4872,1985
"12129","August",Aug 1985,"A315",333.398,1985
