"","Month","Year_mon","variable","value","Wtr_Year"
"134","November",Nov 1988,"0311",400.45736,1989
"135","December",Dec 1988,"0311",520.5404,1989
"136","January",Jan 1989,"0311",621.9092,1989
"137","February",Feb 1989,"0311",611.1875,1989
"138","March",Mar 1989,"0311",504.9452,1989
"139","April",Apr 1989,"0311",355.8161,1989
"140","May",May 1989,"0311",250.5485,1989
"141","June",Jun 1989,"0311",303.1823,1989
"142","July",Jul 1989,"0311",413.3234,1989
"143","August",Aug 1989,"0311",497.1476,1989
"144","September",Sep 1989,"0311",343.145,1989
"145","October",Oct 1989,"0311",389.9306,1990
"146","November",Nov 1989,"0311",421.121,1990
"147","December",Dec 1989,"0311",511.7681,1990
"148","January",Jan 1990,"0311",NA,1990
"149","February",Feb 1990,"0311",538.085,1990
"150","March",Mar 1990,"0311",411.374,1990
"151","April",Apr 1990,"0311",177.446,1990
"152","May",May 1990,"0311",265.169,1990
"153","June",Jun 1990,"0311",274.916,1990
"154","July",Jul 1990,"0311",323.651,1990
"155","August",Aug 1990,"0311",372.386,1990
"156","September",Sep 1990,"0311",352.892,1990
"157","October",Oct 1990,"0311",313.904,1991
"158","November",Nov 1990,"0311",NA,1991
"159","December",Dec 1990,"0311",NA,1991
"160","January",Jan 1991,"0311",499.097,1991
"161","February",Feb 1991,"0311",479.603,1991
"162","March",Mar 1991,"0311",736.956,1991
"163","April",Apr 1991,"0311",391.88,1991
"164","May",May 1991,"0311",235.928,1991
"165","June",Jun 1991,"0311",274.916,1991
"166","July",Jul 1991,"0311",343.145,1991
"167","August",Aug 1991,"0311",274.916,1991
"168","September",Sep 1991,"0311",294.41,1991
"169","October",Oct 1991,"0311",343.145,1992
"170","November",Nov 1991,"0311",421.121,1992
"171","December",Dec 1991,"0311",362.639,1992
"172","January",Jan 1992,"0311",528.338,1992
"173","February",Feb 1992,"0311",196.94,1992
"174","March",Mar 1992,"0311",401.627,1992
"175","April",Apr 1992,"0311",460.109,1992
"176","May",May 1992,"0311",245.675,1992
"177","June",Jun 1992,"0311",313.904,1992
"178","July",Jul 1992,"0311",206.687,1992
"179","August",Aug 1992,"0311",284.663,1992
"180","September",Sep 1992,"0311",226.181,1992
"181","October",Oct 1992,"0311",196.94,1993
"182","November",Nov 1992,"0311",304.157,1993
"183","December",Dec 1992,"0311",421.121,1993
"184","January",Jan 1993,"0311",577.073,1993
"185","February",Feb 1993,"0311",460.109,1993
"186","March",Mar 1993,"0311",343.145,1993
"187","April",Apr 1993,"0311",333.398,1993
"188","May",May 1993,"0311",235.928,1993
"189","June",Jun 1993,"0311",235.928,1993
"190","July",Jul 1993,"0311",245.675,1993
"191","August",Aug 1993,"0311",284.663,1993
"192","September",Sep 1993,"0311",235.928,1993
"193","October",Oct 1993,"0311",235.928,1994
"194","November",Nov 1993,"0311",362.639,1994
"195","December",Dec 1993,"0311",616.061,1994
"196","January",Jan 1994,"0311",362.639,1994
"197","February",Feb 1994,"0311",635.555,1994
"198","March",Mar 1994,"0311",469.856,1994
"199","April",Apr 1994,"0311",323.651,1994
"200","May",May 1994,"0311",395.7788,1994
"201","June",Jun 1994,"0311",271.0172,1994
"202","July",Jul 1994,"0311",323.651,1994
"203","August",Aug 1994,"0311",224.2316,1994
"204","September",Sep 1994,"0311",296.84675,1994
"205","October",Oct 1994,"0311",215.4593,1995
"206","November",Nov 1994,"0311",357.7655,1995
"207","December",Dec 1994,"0311",624.8333,1995
"208","January",Jan 1995,"0311",697.5558,1995
"209","February",Feb 1995,"0311",465.9572,1995
"210","March",Mar 1995,"0311",NA,1995
"211","April",Apr 1995,"0311",383.1077,1995
"212","May",May 1995,"0311",314.8787,1995
"213","June",Jun 1995,"0311",408.4499,1995
"214","July",Jul 1995,"0311",373.3607,1995
"215","August",Aug 1995,"0311",307.0811,1995
"216","September",Sep 1995,"0311",336.3221,1995
"217","October",Oct 1995,"0311",NA,1996
"218","November",Nov 1995,"0311",372.386,1996
"219","December",Dec 1995,"0311",687.2367,1996
"220","January",Jan 1996,"0311",359.7149,1996
"221","February",Feb 1996,"0311",394.8041,1996
"222","March",Mar 1996,"0311",422.0957,1996
"223","April",Apr 1996,"0311",463.0331,1996
"224","May",May 1996,"0311",468.8813,1996
"225","June",Jun 1996,"0311",354.8414,1996
"226","July",Jul 1996,"0311",527.3633,1996
"227","August",Aug 1996,"0311",334.3727,1996
"228","September",Sep 1996,"0311",300.2582,1996
"229","October",Oct 1996,"0311",384.0824,1997
"230","November",Nov 1996,"0311",NA,1997
