CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2014-03-04T19:23:00Z,2014,3,L59726-8,322,NA,Ammonia Nitrogen,0.0783,mg/L,,0.002,0.01,,0.0783,FALSE
1989-11-15T08:00:00Z,1989,11,8910511,322,1,Conductivity,150,umhos/cm,,NA,NA,150||King County Nstream Database/B53311,150,FALSE
2004-11-10T19:40:00Z,2004,11,L33841-7,322,NA,Total Alkalinity,51.8,mg CaCO3/L,,1,10,,51.8,FALSE
1992-09-17T07:00:00Z,1992,9,9213148,322,1,Total Phosphorus,0.0700207674052664,mg/L,,NA,NA,.077||King County Nstream Database/B53311,0.077,FALSE
1979-12-12T08:00:00Z,1979,12,7916215,322,1,Conductivity,127,umhos/cm,,NA,NA,127||King County Nstream Database/RS2,127,FALSE
2003-10-13T18:20:00Z,2003,10,L29849-7,322,NA,Turbidity,1.7,NTU,<RDL,0.5,2,,1.7,FALSE
1998-01-20T17:40:00Z,1998,1,L12606-7,322,NA,Turbidity,3,NTU,,0.5,1,,3,FALSE
2010-04-05T18:46:00Z,2010,4,L50513-5,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
1987-04-15T07:00:00Z,1987,4,8701807,322,1,Ammonia Nitrogen,0.179,mg/L,,NA,NA,.179||King County Nstream Database/B53311,0.179,FALSE
2000-12-12T20:13:00Z,2000,12,L19299-7,322,NA,E. coli,10,CFU/100ml,,NA,NA,,10,FALSE
2009-06-01T18:56:00Z,2009,6,L48153-5,322,NA,Orthophosphate Phosphorus,0.0318,mg/L,,0.002,0.005,,0.0318,FALSE
1989-11-15T08:00:00Z,1989,11,8910511,322,1,Nitrite + Nitrate Nitrogen,2.4442980000000003,mg/L,,NA,NA,2.580||King County Nstream Database/B53311,2.58,FALSE
2012-10-01T17:36:00Z,2012,10,L56577-5,322,NA,"Dissolved Oxygen, Field",11,mg/L,,0.5,1,,11,FALSE
1996-04-01T19:45:00Z,1996,4,L8203-7,322,NA,Total Phosphorus,0.09104498166119461,mg/L,,0.005,0.01,,0.098,FALSE
1988-02-09T08:00:00Z,1988,2,8803169,322,1,Ammonia Nitrogen,0.419,mg/L,,NA,NA,.419||King County Nstream Database/B53311,0.419,FALSE
2013-06-04T18:29:00Z,2013,6,L58012-8,322,NA,Orthophosphate Phosphorus,0.0338,mg/L,,0.002,0.005,,0.0338,FALSE
2003-03-11T19:19:00Z,2003,3,L27540-7,322,NA,Total Alkalinity,35,mg CaCO3/L,,0.2,10,,35,FALSE
1980-08-13T07:00:00Z,1980,8,8015574,322,1,Turbidity,1,NTU,,NA,NA,1.0||King County Nstream Database/RS2,1,FALSE
1989-09-20T07:00:00Z,1989,9,8908725,322,1,Storm Or Non-Storm,NA,none,,NA,NA,N||King County Nstream Database/B53311,NA,TRUE
1997-04-08T17:45:00Z,1997,4,L10732-7,322,NA,Temperature,9.4,deg C,,NA,NA,,9.4,FALSE
1992-11-17T08:00:00Z,1992,11,L6-8,322,NA,Fecal Coliform,33,CFU/100ml,,NA,NA,,33,FALSE
1997-05-13T16:15:00Z,1997,5,L11079-7,322,NA,Turbidity,2.9,NTU,,0.5,1,,2.9,FALSE
2014-12-10T18:37:00Z,2014,12,L61757-7,322,NA,Fecal Coliform,2600,CFU/100ml,,NA,NA,,2600,FALSE
1998-06-23T16:00:00Z,1998,6,L13538-7,322,NA,"Dissolved Oxygen, Field",10.4,mg/L,,NA,10,,10.4,FALSE
2013-11-05T19:05:00Z,2013,11,L59043-8,322,NA,Ammonia Nitrogen,0.22,mg/L,,0.02,0.1,,0.22,FALSE
2006-11-07T19:01:00Z,2006,11,L40578-7,322,NA,Total Phosphorus,0.5410266573325417,mg/L,,0.02,0.04,,0.453,FALSE
2005-04-13T17:35:00Z,2005,4,L35232-7,322,NA,E. coli,100,CFU/100ml,,NA,NA,,100,FALSE
1999-10-12T18:05:00Z,1999,10,L16620-7,322,NA,Total Phosphorus,0.056347522889397914,mg/L,,0.005,0.01,,0.0505,FALSE
1990-09-12T07:00:00Z,1990,9,9009102,322,1,"pH, Field",7.7,pH,,NA,NA,7.7||King County Nstream Database/B53311,7.7,FALSE
1996-09-10T16:15:00Z,1996,9,L9408-7,322,NA,Fecal Coliform,28,CFU/100ml,,NA,NA,,28,FALSE
2006-04-12T17:57:00Z,2006,4,L38672-7,322,NA,Orthophosphate Phosphorus,0.033934570171340536,mg/L,,0.002,0.005,,0.0334,FALSE
2007-06-06T16:42:00Z,2007,6,L42897-7,322,NA,Total Phosphorus,0.083,mg/L,,0.005,0.01,,0.083,FALSE
1985-01-17T08:00:00Z,1985,1,8515039,322,1,"pH, Field",7.6,pH,,NA,NA,7.6||King County Nstream Database/RS4,7.6,FALSE
2022-02-16T18:16:00Z,2022,2,L78514-7,322,NA,Total Nitrogen,1.73,mg/L,,0.05,0.1,,1.73,FALSE
2005-01-18T21:18:00Z,2005,1,L33446-7,322,NA,Fecal Coliform,3900,CFU/100ml,,NA,NA,,3900,FALSE
2004-05-26T22:30:00Z,2004,5,L32068-7,322,NA,Total Alkalinity,39.9,mg CaCO3/L,,1,10,,39.9,FALSE
2008-01-09T19:50:00Z,2008,1,L44906-7,322,NA,"Dissolved Oxygen, Field",12.3,mg/L,,0.5,1,,12.3,FALSE
1986-07-17T07:00:00Z,1986,7,8606376,322,1,Temperature,11.9,deg C,,NA,NA,11.9||King County Nstream Database/B53311,11.9,FALSE
2019-06-12T17:55:00Z,2019,6,L72455-7,322,NA,Total Phosphorus,0.0417,mg/L,,0.005,0.01,,0.0417,FALSE
2002-08-06T20:30:00Z,2002,8,L25056-4,322,NA,Total Alkalinity,56.1,mg CaCO3/L,,0.2,10,,56.1,FALSE
2007-11-07T19:10:00Z,2007,11,L44459-7,322,NA,"pH, Field",7.69,pH,,NA,NA,,7.69,FALSE
1992-02-20T08:00:00Z,1992,2,9207198,322,1,Orthophosphate Phosphorus,0.19273292752433893,mg/L,,NA,NA,.200||King County Nstream Database/B40176,0.2,FALSE
1979-02-21T08:00:00Z,1979,2,7915109,322,1,Ammonia Nitrogen,0.445,mg/L,,NA,NA,.445||King County Nstream Database/RS2,0.445,FALSE
1992-11-17T08:00:00Z,1992,11,L6-8,322,NA,Dissolved Oxygen,11,mg/L,,0.5,1,,11,FALSE
1985-09-19T07:00:00Z,1985,9,8515483,322,1,Storm Or Non-Storm,NA,none,,NA,NA,N||King County Nstream Database/RS4,NA,TRUE
1998-03-10T19:00:00Z,1998,3,L12825-7,322,NA,Total Suspended Solids,18.9,mg/L,,0.5,1,,18.9,FALSE
2004-11-10T19:40:00Z,2004,11,L33841-7,322,NA,Fecal Coliform,24,CFU/100ml,,NA,NA,,24,FALSE
1997-10-02T18:24:00Z,1997,10,L11980-7,322,NA,Nitrite + Nitrate Nitrogen,1.384245,mg/L,,0.05,0.1,,1.45,FALSE
1994-11-08T19:15:00Z,1994,11,L4867-13,322,NA,Orthophosphate Phosphorus,0.042677716673934905,mg/L,,0.002,0.005,,0.0431,FALSE
2010-10-04T16:32:00Z,2010,10,L51816-5,322,NA,Temperature,11.5,deg C,,NA,NA,,11.5,FALSE
1978-06-28T07:00:00Z,1978,6,7815253,322,1,Dissolved Oxygen,11.3,mg/L,,NA,NA,11.30||King County Nstream Database/BSN,11.3,FALSE
2001-12-15T02:00:00Z,2001,12,L22976-28,322,NA,Enterococcus,590,CFU/100ml,,NA,NA,,590,FALSE
1972-12-27T08:00:00Z,1972,12,7216316,322,1,Temperature,8.8,deg C,,NA,NA,8.8||King County Nstream Database/RBC,8.8,FALSE
1997-06-10T18:49:00Z,1997,6,L11276-7,322,NA,Nitrite + Nitrate Nitrogen,1.80639,mg/L,,0.05,0.1,,1.9,FALSE
1973-06-14T07:00:00Z,1973,6,7315469,322,1,Total Suspended Solids,7,mg/L,,NA,NA,7.00||King County Nstream Database/RBC,7,FALSE
2001-12-15T02:00:00Z,2001,12,L22976-28,322,NA,Fecal Coliform,2000,CFU/100ml,,NA,NA,,2000,FALSE
1998-09-15T16:25:00Z,1998,9,L14180-12,322,NA,Temperature,13,deg C,,NA,NA,,13,FALSE
1998-04-14T18:15:00Z,1998,4,L13106-7,322,NA,"Dissolved Oxygen, Field",12.1,mg/L,,NA,10,,12.1,FALSE
2001-04-30T20:32:00Z,2001,4,L20779-7,322,NA,Temperature,9.63,deg C,,NA,NA,,9.63,FALSE
2013-04-02T18:29:00Z,2013,4,L57620-8,322,NA,Temperature,10.2,deg C,,NA,NA,,10.2,FALSE
2003-01-13T18:59:00Z,2003,1,L26869-7,322,NA,Turbidity,3.68,NTU,,0.5,2,,3.68,FALSE
2002-03-11T20:30:00Z,2002,3,L23636-7,322,NA,Total Nitrogen,2.5240731139685098,mg/L,,0.05,0.1,,2.53,FALSE
1977-07-07T07:00:00Z,1977,7,7715222,322,1,Dissolved Oxygen,10.6,mg/L,,NA,NA,10.60||King County Nstream Database/BSN,10.6,FALSE
1996-12-17T18:00:00Z,1996,12,L9876-12,322,NA,Turbidity,1.4,NTU,,0.5,1,,1.4,FALSE
1998-02-10T18:50:00Z,1998,2,L12588-7,322,NA,Conductivity,167,umhos/cm,,0.5,1,,167,FALSE
2012-06-04T18:38:00Z,2012,6,L55755-5,322,NA,Nitrite + Nitrate Nitrogen,1.35,mg/L,,0.01,0.04,,1.35,FALSE
1992-10-19T07:00:00Z,1992,10,9211443,322,1,Ammonia Nitrogen,0.016,mg/L,,NA,NA,.016||King County Nstream Database/B53311,0.016,FALSE
2002-08-06T19:50:00Z,2002,8,L25054-7,322,NA,"Conductivity, Field",149,umhos/cm,,NA,NA,,149,FALSE
2009-09-08T18:08:00Z,2009,9,L48952-5,322,NA,"Conductivity, Field",145,umhos/cm,,0.5,10,,145,FALSE
1977-12-09T08:00:00Z,1977,12,7715407,322,1,Conductivity,112,umhos/cm,,NA,NA,112||King County Nstream Database/BSN,112,FALSE
2000-11-14T19:15:00Z,2000,11,L19222-7,322,NA,E. coli,27,CFU/100ml,,NA,NA,,27,FALSE
1996-06-18T16:30:00Z,1996,6,L8793-12,322,NA,Ammonia Nitrogen,0.02,mg/L,<MDL,0.02,0.04,,NA,TRUE
2004-12-07T19:45:00Z,2004,12,L34113-7,322,NA,Turbidity,3.3,NTU,,0.5,2,,3.3,FALSE
1994-04-12T17:45:00Z,1994,4,L3420-10,322,NA,Fecal Coliform,200,CFU/100ml,,NA,NA,,200,FALSE
1991-09-24T07:00:00Z,1991,9,9112247,322,1,Dissolved Oxygen,11.1,mg/L,,NA,NA,11.10||King County Nstream Database/B53311,11.1,FALSE
2008-08-06T19:00:00Z,2008,8,L46212-7,322,NA,Turbidity,1.7,NTU,<RDL,0.5,2,,1.7,FALSE
1987-05-13T07:00:00Z,1987,5,8703343,322,1,Conductivity,140,umhos/cm,,NA,NA,140||King County Nstream Database/B53311,140,FALSE
1998-05-12T18:02:00Z,1998,5,L13360-7,322,NA,Temperature,10.8,deg C,,NA,NA,,10.8,FALSE
2001-04-10T17:51:00Z,2001,4,L20497-7,322,NA,"pH, Field",7.5,pH,,NA,NA,,7.5,FALSE
1997-05-13T16:15:00Z,1997,5,L11079-7,322,NA,Fecal Coliform,75,CFU/100ml,,NA,NA,,75,FALSE
2013-02-05T17:51:00Z,2013,2,L57192-8,322,NA,Fecal Coliform,11,CFU/100ml,,NA,NA,,11,FALSE
1995-02-16T19:30:00Z,1995,2,L5358-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
1998-01-20T17:40:00Z,1998,1,L12606-7,322,NA,Temperature,6.8,deg C,,NA,NA,,6.8,FALSE
2004-02-11T18:43:00Z,2004,2,L30931-7,322,NA,"pH, Field",7.5,pH,,NA,NA,,7.5,FALSE
1997-05-13T18:55:00Z,1997,5,L11070-7,322,NA,Nitrite + Nitrate Nitrogen,1.918962,mg/L,,0.05,0.1,,2.02,FALSE
1993-03-09T19:15:00Z,1993,3,L632-10,322,NA,Ammonia Nitrogen,0.01,mg/L,<RDL,0.01,0.02,,0.01,FALSE
1995-03-09T19:25:00Z,1995,3,L5621-7,322,NA,Orthophosphate Phosphorus,0.1794720066208834,mg/L,,0.002,0.005,,0.186,FALSE
1998-06-23T17:40:00Z,1998,6,L13534-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
2016-02-10T18:35:00Z,2016,2,L64766-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
2003-04-14T17:55:00Z,2003,4,L27895-7,322,NA,Storm Or Non-Storm,NA,none,,NA,NA,N,NA,TRUE
2018-01-10T18:44:00Z,2018,1,L69308-7,322,NA,Turbidity,3.78,NTU,,0.2,0.5,,3.78,FALSE
2018-02-14T17:20:00Z,2018,2,L69507-7,322,NA,Ammonia Nitrogen,0.0205,mg/L,,0.002,0.01,,0.0205,FALSE
1977-11-21T08:00:00Z,1977,11,7715378,322,1,Fecal Coliform,84,ORG/100ml,,NA,NA,84||King County Nstream Database/BSN,84,FALSE
2001-02-13T18:45:00Z,2001,2,L19752-7,322,NA,Total Nitrogen,2.9592914210498766,mg/L,,0.05,0.1,,2.97,FALSE
1998-03-10T19:00:00Z,1998,3,L12825-7,322,NA,Total Alkalinity,45.5,mg CaCO3/L,,0.2,1,,45.5,FALSE
1991-08-20T07:00:00Z,1991,8,9111368,322,1,Orthophosphate Phosphorus,0.04049500775362021,mg/L,,NA,NA,.041||King County Nstream Database/B53311,0.041,FALSE
1999-08-10T17:34:00Z,1999,8,L15993-7,322,NA,Total Alkalinity,54,mg CaCO3/L,,0.2,1,,54,FALSE
2004-06-16T17:21:00Z,2004,6,L32191-7,322,NA,Turbidity,2.07,NTU,,0.5,2,,2.07,FALSE
1997-04-08T17:45:00Z,1997,4,L10732-7,322,NA,Fecal Coliform,710,CFU/100ml,,NA,NA,,710,FALSE
2001-12-15T02:00:00Z,2001,12,L22976-28,322,NA,E. coli,1700,CFU/100ml,,NA,NA,,1700,FALSE
