"","Locator","ParcelsPer100Acre_Cume","TIA - Med","Developed, Total","Forest, Total","Phosphorus ug/L"
"1","0311",25.8284512084948,7.72435653812254,21.5041199349867,64.2211746059984,17.7142857142857
"2","0317",95.2679222778994,55.7665921893193,91.2499606633729,4.27825156559776,58.9392857142857
"3","0321",24.1070495868324,7.0511651049009,26.7352185089974,60.2205821378224,29.6071428571429
"4","0322",21.7636769124701,7.29463516190775,25.9779944258515,28.611723620734,44.1857142857143
"5","0430",256.269883219299,38.0230907542349,89.8268193432384,9.69054603955711,22.5071428571429
"6","0434",313.289427973389,49.3024693174795,97.6336933808164,1.78061629926127,33.6071428571429
"7","0438",18.0242131246997,4.31922863889456,14.5847301985249,77.0931113896744,4.12642857142857
"8","0440",84.2480098571691,17.4909130071888,51.8779785143103,43.2433160119544,19.7535714285714
"9","0442",109.031917821934,20.6534422403734,56.9136522753792,41.7911318553092,13.5857142857143
"10","0444",123.397768412467,43.3835973629834,87.3487159303355,9.66742103709535,46.4928571428571
"11","0446",225.261158965613,45.3569110966905,91.3962794722042,7.40320138438244,25.9357142857143
"12","0450CC",65.2747294430925,15.547997365717,45.622220649089,41.4446940005706,9.23071428571428
"13","0470",216.969920014883,44.0133831310302,89.4844806609513,5.68853804147922,25.1071428571429
"14","0474",225.315046407257,40.4565960189205,87.4597210569195,7.32134388793638,40.75
"15","0478",72.9027665391527,23.2023562023562,69.029799029799,26.5950565950566,22.1214285714286
"16","0484",63.633559842788,15.5361110908733,56.0350291788397,34.2765760580517,19.79
"17","0631",23.8794668386247,6.53223553080118,21.1904451440245,70.0296183149228,9.845
"18","A315",87.8179380062185,43.4868175765646,81.2942743009321,8.14380825565912,38.5178571428571
"19","A320",87.1827906240802,18.8554023559613,59.274268678964,27.0537026685713,13.0285714285714
"20","A432",238.580579583615,47.1921464813589,93.1877343922347,4.61945731303772,23.9178571428571
"21","A456",226.200710198941,41.6489576328178,93.0060524546066,5.66240753194351,40.2392857142857
"22","A499",132.003973128488,27.661406025825,66.1406025824964,33.142037302726,41.9357142857143
"23","A617",134.055538152168,26.8287037037037,73.1288580246914,25.0771604938272,30.7714285714286
"24","A620",347.952271342962,43.2941988950276,91.2292817679558,8.7707182320442,18.1071428571429
"25","A670",154.745778348673,26.2876712328767,74.5562835020846,19.7141155449672,22.5357142857143
"26","A680",104.992561017211,17.9607250755287,64.3126888217523,25.6042296072508,39.6535714285714
"27","A685",106.728312840577,22.0585797181542,70.2127659574468,26.1121856866538,28.6214285714286
"28","A687",168.559678314766,18.0944625407166,66.2866449511401,33.7133550488599,53.8125
"29","A690",121.092834860645,24.0104079234514,72.2007722007722,19.4477085781434,21.0642857142857
"30","AMES_1",18.4178037139057,3.92568890586943,19.1460910263145,51.9126987917284,29.0928571428571
"31","B484",83.6514007302164,15.3438274462812,56.5157003186361,33.3070072714399,23.4
"32","B499",92.4935954935097,32.6253071253071,73.4766584766585,24.1523341523341,28.6416666666667
"33","BSE_1MUDMTNRD",20.9978145037945,5.63938177265466,15.3671804170444,59.5432370591029,12.9064285714286
"34","C320",72.9404076668136,15.5603944536217,57.4911147819993,29.64409070431,4.19571428571429
"35","C370",387.827656555131,48.859818231892,93.8859818231892,4.76452767832553,42.0428571428571
"36","CHERRY_1",4.12783388337859,1.07559657129385,6.22926525319547,82.7520587393274,4.38857142857143
"37","D320",106.985659193202,22.5307654573762,67.7245291871947,22.5435621814149,10.5921428571429
"38","G320",79.5152664687714,19.6322290847838,64.018341755568,27.2225341568407,3.11857142857143
"39","GRIFFIN",0.169147497772578,0.0242419176192765,0.135838331487325,79.7266514806378,6.53785714285714
"40","HARRIS_1",11.6614308158382,3.93370589991895,19.3635083827482,64.0842967450194,7.59464285714286
"41","KSHZ06",395.58281817133,48.7332053742802,89.7449958870305,8.41787770770496,53.9571428571429
"42","KTHA03",341.031884849622,47.9815016322089,92.0021762785637,5.38628944504897,51.3892857142857
"43","LSIN1",32.4884246700372,6.84234554123973,21.680024348179,51.5521964086436,11.39
"44","LSIN9",21.207124750149,4.19334588826114,11.5714584641138,60.4519774011299,1.64357142857143
"45","N484",60.2748267528334,15.8712145987311,59.8665707371313,32.8733076067761,18.9357142857143
"46","NFK_SNQ",0.438234766073187,0.257999467208001,1.40684064461088,81.1668144771051,1.06857142857143
"47","PATTER_3",32.0867428431065,6.35351402887497,24.7565377281395,58.6914328520839,23.4857142857143
"48","RAGING_MTH",5.81630281932539,1.81140317842886,6.40850450295355,86.4373406212677,3.08428571428571
"49","SFK_SNQ",7.13684069399093,2.62280239678673,8.41262263778231,79.0914927240403,11.1942857142857
"50","SNQDUVALL",5.73901000885716,1.63704448855131,6.19241913611496,76.1856549597998,3.89571428571429
"51","TOLT_MTH",0.348728838369466,0.402597168365046,2.13039949499504,81.776896023086,1.41857142857143
"52","VA12A",20.6399267161481,5.25055226136496,28.8338565283107,61.1324264620393,36.5357142857143
"53","VA37A",13.4867386887223,3.12836624775584,17.8859964093357,79.5556552962298,16.2714285714286
"54","VA41A",11.2756271250419,2.83351508542348,16.230461650309,60.8142493638677,35.8785714285714
"55","VA42A",13.7146616852146,4.04112121884476,20.4496708823312,60.2396272465054,21.8821428571429
"56","VA45A",12.3716212036658,2.05661948376353,10.7410491257286,73.5220649458784,8.64071428571429
"57","VA65A",69.6465174417191,19.3105590062112,61.2422360248447,33.8509316770186,36.2785714285714
