Locator,Cond.,Temp.,Alk., Turb.,Total-P,pH,DO,NO3-N,PO4-P,TSS,NH4-N,Total-N,F. Coliform
0311,99.6,10.45,34.09285714285714,3.205,46.964285714285715,7.197857142857143,10.352142857142857,323.2857142857143,17.714285714285715,4.7092857142857145,28.65714285714286,514.4642857142857,3.425053759820215
0317,251.60714285714286,11.281428571428572,93.5142857142857,10.053214285714285,179.78571428571428,6.967142857142857,5.606428571428571,364.4642857142857,58.93928571428572,4.966785714285714,139.5,840.5714285714286,5.240054208577404
0321,131.14285714285714,9.691071428571428,51.68571428571428,1.9375,52.35,7.355714285714286,10.42142857142857,784.9642857142857,29.607142857142858,4.585714285714285,94.1,1014.0714285714286,3.761697629559291
0322,137.92857142857142,9.714285714285714,48.364285714285714,2.6167857142857143,71.47142857142858,7.768571428571429,11.164285714285715,1251.2142857142858,44.18571428571428,3.6935714285714285,16.22142857142857,1681.4285714285713,4.196147029178486
0430,214.85714285714286,11.040714285714285,81.13571428571429,2.3578571428571427,45.175,7.690714285714286,10.7,847.5714285714286,22.50714285714286,3.0157142857142856,12.871428571428572,1049.142857142857,5.085756742354102
0434,231.35714285714286,11.598571428571429,79.60714285714286,3.435714285714286,69.3,7.6935714285714285,10.252857142857144,778.4642857142857,33.607142857142854,5.061428571428571,26.900000000000002,1081.357142857143,5.333650491168826
0438,67.79285714285714,9.805357142857142,26.364285714285714,1.407142857142857,12.85,7.472857142857142,11.571428571428571,187.28571428571428,4.126428571428571,2.585714285714286,5.442857142857143,267.89285714285717,3.4071986338615323
0440,163.35714285714286,11.117142857142857,59.667857142857144,2.1285714285714286,43.246428571428574,7.78,10.842857142857143,804.4285714285714,19.75357142857143,3.922142857142857,9.928571428571429,1072.5,4.004460077209798
0442,397.64285714285717,10.197857142857144,135.7642857142857,3.3342857142857145,31.45,8.059642857142856,10.957142857142857,353.75,13.585714285714285,2.5542857142857143,9.814285714285715,542.2142857142857,3.7834019712744626
0444,210.92857142857142,11.133571428571429,76.08571428571429,2.955,91.37857142857143,7.283214285714286,8.251428571428571,211.28571428571428,46.49285714285714,2.2478571428571428,19.232142857142858,531.8571428571429,3.627347633138455
0446,194.57142857142858,11.195,70.52857142857142,2.6032142857142855,56.32142857142858,7.491071428571428,10.435714285714285,906.7857142857143,25.935714285714287,2.624285714285714,17.517857142857142,1098.142857142857,5.350272513331584
0450CC,122.64285714285714,12.07857142857143,46.635714285714286,2.822142857142857,32.57142857142857,7.187857142857143,9.402857142857142,226.71428571428572,9.230714285714285,3.209285714285714,15.507142857142856,497.5357142857143,3.5033723631791673
0470,185.35714285714286,10.644285714285715,67.97142857142858,3.177857142857143,62.65,7.377142857142857,9.625,431.14285714285717,25.107142857142858,3.737142857142857,19.667857142857144,736.7857142857143,4.4692501635764845
0474,174.07142857142858,10.205,63.07857142857143,4.234285714285715,86.64285714285715,7.512142857142857,10.143571428571429,684.3928571428571,40.75,5.402142857142858,23.814285714285713,970,5.885267712109751
0478,158.78571428571428,9.965,55.607142857142854,2.910714285714286,49.02142857142857,7.619285714285715,11.085714285714285,619.1785714285714,22.12142857142857,3.757142857142857,16.992857142857144,924.7857142857143,4.34137989965109
0484,133.2,10.975,51.08,3.0535,45.45,7.433,10.72,456.6,19.79,3.786,11.62,761.9,4.061003647578232
0631,112.24285714285715,10.407142857142857,42.75,2.1835714285714287,26.35,7.519285714285714,11.3,554.4285714285714,9.844999999999999,3.5985714285714288,13.171428571428573,753.8928571428571,3.8267725365222547
A315,205.71428571428572,10.655714285714286,80.97142857142858,10.955,139.64285714285714,7.046428571428572,7.414285714285715,282.42857142857144,38.51785714285714,8.702857142857143,55.34285714285714,836.3928571428571,4.501830806791778
A320,129,9.813571428571429,48.714285714285715,1.9514285714285715,28.607142857142858,7.61,11.02142857142857,784.3571428571429,13.028571428571428,4.2457142857142856,7.021428571428571,975.1428571428571,3.6914813077179343
A432,202.85714285714286,11.735714285714286,70.73214285714286,4.661428571428572,53.550000000000004,7.7996428571428575,10.528571428571428,1044.4285714285713,23.91785714285714,9.052142857142858,14.075,1306.4285714285713,4.783835588680157
