Year,Month,09a,15c,18a,26a,35c,46a
1988,1,1.6759222482061986,NA,2.749956949096015,3.4836051678938387,NA,1.5581814941439
1988,2,2.936064835246179,NA,2.738500943705247,3.7653096358397913,NA,1.356625407673695
1988,3,3.2589153052615365,NA,2.9818048790568707,3.798003067660756,NA,1.669154165457119
1988,4,3.641423120741117,NA,3.1127039957213354,3.9255542737146927,NA,1.976861785865001
1988,5,4.124301605849624,NA,2.358692371345305,3.6863879799304624,NA,1.4108291875577632
1988,6,3.3001185588920245,NA,2.305951410514192,3.456944447345116,NA,1.616349829594242
1988,7,2.113270783267672,NA,1.6845454956009012,2.9864550390752864,NA,0.24508440054965494
1988,8,1.3328448056697955,NA,1.6407339490832724,2.6639891389173114,NA,-0.10269584611837324
1988,9,1.328443717087508,NA,1.8485439327417306,2.571680372466979,NA,-0.13719728370093198
1988,10,1.3468414410684137,NA,1.8155171466547981,2.564262062849717,NA,0.5119649066628302
1988,11,3.4220507125788844,NA,2.843701051308341,3.581041334863239,NA,2.251584722081995
1988,12,3.6512334956021486,NA,2.6241295986253586,3.7836315132714256,NA,1.9269839339712684
1989,1,4.207118387433563,NA,3.3514683273369985,4.201679727258379,NA,2.545284711817685
1989,2,3.76034904604173,NA,3.07828309319464,3.9110101140695788,NA,1.8971454811121533
1989,3,4.31683153173259,NA,3.738404216667032,4.32893623985964,NA,2.623873823203275
1989,4,4.166995808534904,NA,2.924998564544862,4.122695191038105,NA,1.9294809899732925
1989,5,3.1785699239548713,NA,2.1906637444383987,3.455659875869396,NA,1.0619300292510787
1989,6,2.550556922225415,NA,1.766373908697438,3.203144930905948,NA,0.43071189279423366
1989,7,1.8370633242736807,NA,1.6913046559634073,2.8855782446322973,NA,0.4031478033372386
1989,8,1.2996059907054087,NA,1.6432050464642152,2.551403488259016,NA,0.4291295748809274
1989,9,0.6153627022720454,NA,1.6724244881630386,2.396035307506275,NA,0.12039757218455568
1989,10,0.5817295987398974,NA,2.2609131188649325,2.479293012562863,NA,0.8501390307216824
1989,11,1.1901292488362534,NA,2.726351130946111,3.1434423790625163,NA,1.7562587188650443
1989,12,3.570460576710366,NA,3.3859795369397307,3.8342977942694287,NA,2.4012194309631365
1990,1,4.490848136051397,NA,3.848671114324368,4.288224611031055,NA,3.2568579530840704
1990,2,4.573740566706549,NA,3.481359052070736,4.21492411399968,NA,2.5326752015027094
1990,3,4.208073553362682,NA,3.193868439159926,3.906147662255723,NA,2.2847529006092824
1990,4,3.4803149167595904,NA,2.6464165040969663,3.532183785698186,NA,1.5664582340795041
1990,5,3.141877426093801,NA,2.441290825210327,3.324230241623564,NA,1.2752604195815125
1990,6,3.8018304932086964,NA,2.911659587576206,3.748251939839383,NA,1.9381792753956426
1990,7,2.6437750272683553,NA,1.7793409770331536,3.0989576675492567,NA,0.558718152817092
1990,8,1.533767153467585,NA,1.2692624110326873,2.6720662215597963,NA,0.1643940546362678
1990,9,1.2167591917441871,NA,1.5128014965586098,2.5791026615148405,NA,0.3939303079648488
1990,10,1.470750101190129,NA,2.7521537346071545,2.7738329155883266,NA,1.4029301774439695
1990,11,4.320019295753434,NA,3.5123538422999636,4.33126112762374,NA,2.7365539468239284
1990,12,4.522888476344944,NA,3.6292787013391616,4.398067662367263,NA,1.6192887194247545
1991,1,4.404749287043794,NA,3.6866020281895757,4.320825292107865,NA,1.9532886119887864
1991,2,4.541042219441464,NA,3.6551094825121986,4.48870275990808,NA,1.5625791578325057
1991,3,4.381884169492144,NA,3.63999310576615,4.400302788515217,NA,1.9143786290359235
1991,4,4.494417565983129,NA,3.5815454376096123,4.495279877466718,NA,2.8441250487148695
1991,5,3.5467031379555065,NA,2.7820827174649665,3.6620162606868325,NA,1.2308573876346318
