Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1980,211.5509111582975,328.6796449380246,NA,352.90003606719233,58.24313712588278,276.6583913289055,40.45286185924096,61.16845967822141,43.282897519326184,63.610320198890804,21.18972920052466,46.624878510760865,29.67692959290242,85.99926737121645,55.30949474822025,70.52679036928834,NA,78.97590401193023,110.41927782467117,55.30671431468133,84.99296970546494,NA,17.28767173767084,111.96920120878696,46.624878510760865,56.27860611511438,285.0641356806352,286.1180218227666,29.706272953434066,32.457741955021945,58.227145740225836,17.28767173767084,78.97590401193023,71.01195310599647,NA,NA,31.52783669005208,27.835388866169136,NA,NA,NA,NA,NA,NA,17.28767173767084,61.158232216660956,NA,NA,NA,14.650833524062813,97.12998232753971,59.694964896733104,57.25186785239603,NA,26.005038306885503,71.01138928453797,99.16534029655833,NA,30.13908601233038,NA,NA,NA,42.80690406822489,NA,NA,NA,NA,NA,NA,54.33621257349151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,164.29099019622618,197.0592971654875,NA,208.29318260781034,55.83936235747445,301.66061542003024,38.073481675141615,68.53828505107053,52.39946293950118,63.610320198890804,15.197885126431387,44.713399426332124,29.67809997260604,96.64010154642695,60.66895626957728,52.40600961563393,NA,69.03186383451965,114.53695804333717,57.254568971368485,72.50622206264491,NA,18.483769536770474,119.18066613246192,37.132348044405944,50.95238392804385,234.81466194354982,234.31683586552333,27.38435812814045,28.75615922953578,56.27860611511438,12.603916872111299,93.0697398617548,68.04296026377291,NA,NA,38.556291748570075,21.922142098676765,NA,NA,NA,NA,NA,NA,15.709700280888045,64.10148779006052,NA,NA,NA,12.603916872111299,102.73797619001365,72.5028960135235,56.289571630997386,NA,25.093133613684355,93.57929131189732,NA,NA,30.605806805685454,NA,NA,NA,43.75973652949277,NA,NA,NA,NA,NA,NA,68.60119200873982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,114.55964655482492,206.97338815751147,NA,130.62730208068982,41.36325405811698,334.72335375470743,36.674528939777424,55.30671431468133,36.19315472772127,66.06982819024373,12.099735229030662,40.90813057248226,30.13908601233038,71.01138928453797,46.624878510760865,54.33621257349151,NA,55.30671431468133,91.04498166119461,41.856639710112454,48.54360364429076,NA,19.4569859423855,107.88171449752865,34.33736205344998,50.46853135875865,190.8373127001237,207.66499070540914,15.169938224020378,25.093133613684355,50.46853135875865,12.099735229030662,75.98115761811998,70.02590282667605,NA,NA,36.662751386063604,20.119850907686683,NA,NA,NA,NA,NA,NA,9.174429257831397,50.46853135875865,NA,NA,NA,12.61956797779784,65.08505150404679,55.30671431468133,43.75889097042748,NA,18.366121235271482,68.04296026377291,NA,NA,37.132348044405944,NA,NA,NA,38.073481675141615,NA,NA,NA,NA,NA,NA,45.66790788223677,NA,NA,NA,NA,50.46853135875865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,148.92549748878886,171.16413631232066,NA,221.76624962387368,41.6896263605354,262.2906636527085,NA,57.25186785239603,51.43325856626498,58.226480005549405,NA,44.71256899076065,30.601242431758337,74.98502462178058,46.624878510760865,54.33621257349151,NA,65.08505150404679,98.14723128318414,45.66790788223677,61.158232216660956,NA,18.91155358882849,124.8780134454569,26.00373102174361,41.856639710112454,148.44592300837772,220.67887764546592,19.4569859423855,27.835388866169136,55.30671431468133,12.099735229030662,79.97623091558293,62.13806194107018,NA,NA,26.918289950392523,21.471823224548622,NA,NA,NA,NA,NA,NA,7.317641196551458,55.30671431468133,NA,NA,NA,8.235883006875357,NA,43.75889097042748,51.43325856626498,NA,23.276064202183026,71.01138928453797,NA,NA,27.835388866169136,NA,NA,NA,47.5834527939334,NA,NA,NA,NA,NA,NA,46.624878510760865,NA,NA,NA,NA,59.20242362805565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,111.45335310993437,130.615777243705,NA,134.32118514221554,50.95536264416762,247.98988742609646,NA,92.83674486693667,47.5834527939334,61.64814707886556,NA,42.8146592708999,30.605806805685454,75.01144844911573,45.66872375076076,51.433997149129915,NA,56.284772636050064,88.01473529139929,44.713399426332124,61.158232216660956,NA,17.294113919478185,111.96149667943813,28.297609771647473,41.38415736389396,165.31702957245244,312.29765685831296,21.026164154337504,25.097177076287775,55.30949474822025,10.16780911795301,76.97835618278589,66.07222402691671,NA,NA,29.67809997260604,18.37232884002817,NA,NA,NA,NA,NA,NA,11.141263886511666,54.3369179793629,NA,NA,NA,14.650833524062813,NA,43.75973652949277,48.065091713673695,NA,25.09178666337848,73.49627345132897,NA,NA,26.93865331697068,NA,NA,NA,30.13908601233038,NA,NA,NA,NA,NA,NA,48.54360364429076,NA,NA,NA,NA,47.58660639941165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,154.72538283249352,195.81777004109148,NA,194.21141729100498,38.94213466919221,232.12404748194942,NA,54.825665395948604,34.78835151525867,54.3369179793629,NA,41.39302533295113,28.295173189811443,83.48645316996175,36.662751386063604,46.624878510760865,NA,46.1561044924057,77.48062776868176,40.91618632278455,46.624878510760865,NA,16.754889170677863,83.99205216050896,25.55041307800881,34.32179550350975,169.36568866683888,164.25407738577303,14.650833524062813,23.277498589215,47.5834527939334,13.619913669648591,64.10210205588393,60.18227097330979,NA,NA,29.215943553178086,17.28767173767084,NA,NA,NA,NA,NA,NA,7.776762101713407,49.505304916586525,NA,NA,NA,14.650833524062813,NA,33.85420323174073,42.80776534026997,NA,21.922142098676765,79.97674133030412,NA,NA,21.015828852025944,NA,NA,NA,30.60238314147725,NA,NA,NA,NA,NA,NA,46.624878510760865,NA,NA,NA,NA,49.98843110527787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,156.31018496306407,299.9881401828653,NA,217.41938805162974,37.22045780886377,244.69885202405342,NA,96.11360096260005,47.5834527939334,64.10148779006052,NA,38.073481675141615,23.276064202183026,75.98115761811998,42.80690406822489,48.54360364429076,NA,47.5834527939334,79.97623091558293,44.71256899076065,62.13806194107018,NA,16.22210660368489,142.61938487967836,21.023038995492808,29.67692959290242,233.10488552301257,178.63130980938843,18.366121235271482,24.182536205625098,57.25186785239603,9.174429257831397,83.98764218600557,59.20242362805565,NA,NA,23.276064202183026,19.679867335870103,NA,NA,NA,NA,NA,NA,8.235883006875357,58.226480005549405,NA,NA,NA,18.366121235271482,NA,36.19315472772127,50.46853135875865,NA,19.679867335870103,66.06982819024373,NA,NA,29.67692959290242,NA,NA,NA,34.320759243489654,NA,NA,NA,NA,NA,NA,51.43325856626498,NA,NA,NA,NA,53.367121644044474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,91.33395844437135,102.4857933023029,NA,72.99655391815358,47.10893695367359,245.55016221856553,NA,61.64941646510735,41.85751732035357,67.54938148032379,NA,30.605806805685454,24.645375461598714,69.52602695621812,51.433997149129915,51.917826501401564,NA,51.43990810889113,75.98169040228323,46.624878510760865,61.64814707886556,NA,19.679867335870103,116.67119412114198,25.093133613684355,46.1561044924057,80.9467737729056,193.70379005179453,16.754889170677863,22.824262587493966,54.339034527307774,8.475595679772402,77.48377383912931,62.62986000336073,NA,NA,31.071302366722783,15.696022413852633,NA,NA,NA,NA,NA,NA,8.705156132353377,53.367121644044474,NA,NA,NA,16.22210660368489,NA,42.80690406822489,54.33621257349151,NA,20.56704462297013,56.7652369837552,NA,NA,16.754889170677863,NA,NA,NA,39.96962605631542,NA,NA,NA,NA,NA,NA,46.624878510760865,NA,NA,NA,NA,52.40019010515473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,53.38504182492008,52.422602465691696,NA,56.27929108353868,45.19264364220049,183.99314565999202,NA,50.487311098459045,41.382385141297355,53.865892461067965,NA,36.19414591571682,24.182536205625098,71.50726404563224,52.89773574834339,44.23740597523083,NA,45.191884740594176,64.1070174567678,40.43477061602265,58.22914321880399,NA,18.923753108587054,140.5223392551794,27.835388866169136,31.52783669005208,47.99663810343435,170.10387761111468,9.653203806248781,20.127061051153547,54.82146344408642,17.294113919478185,67.06112759766346,59.691051975274625,NA,NA,26.919559943956372,14.650833524062813,36.19315472772127,39.961410659563036,NA,NA,23.276064202183026,NA,7.317641196551458,53.85308862709125,NA,NA,NA,15.709700280888045,NA,36.662751386063604,41.85751732035357,NA,20.119850907686683,53.85166710876799,NA,NA,19.5684266391278,NA,NA,NA,38.550642650101764,NA,NA,NA,NA,NA,NA,41.85751732035357,NA,NA,NA,NA,48.12000838733871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,53.85308862709125,45.680972313349486,NA,47.58660639941165,48.544378855259964,195.72663507504814,NA,62.641141351212035,56.7652369837552,69.03186383451965,NA,41.382385141297355,33.622503806587915,73.79162172363785,45.190653654284446,52.884735569878245,NA,51.4598878673164,63.11977486556535,51.93102945452389,66.10618171948866,NA,15.169938224020378,133.7247867573556,26.023783303260643,31.066792845409786,49.02599207634603,213.38863668934465,19.679867335870103,27.606114137224985,69.52602695621812,14.139018369606156,69.03186383451965,60.1796803224936,NA,NA,32.92215165895448,20.127061051153547,NA,NA,NA,NA,NA,NA,13.619913669648591,54.82986928590719,NA,NA,NA,20.559834479503266,NA,43.28460435043655,48.065091713673695,NA,22.824262587493966,70.0213378958539,NA,NA,19.679867335870103,NA,NA,NA,34.800659182596846,65.08505150404679,NA,72.0036961205077,67.54938148032379,NA,NA,49.02445428043865,NA,NA,NA,NA,51.43990810889113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
