Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1980,3.3,5.074999999999999,NA,5.4,4.25,27.166666666666664,1.75,2.45,2.55,3.3499999999999996,1.5499999999999998,2.9,2,5.2,2.45,6.25,NA,2.4,3.7,2.6,2.5,NA,2.3,5.5,1.8,4.2,4.525,16.5,3.1500000000000004,1.65,3.4000000000000004,1.4500000000000002,3.15,2.3,NA,NA,4.7,1.5,NA,NA,NA,NA,NA,NA,2.075,2.5,NA,NA,NA,1.25,3.3,2.65,2.5,NA,1.2999999999999998,2.1,2.6,NA,2.25,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,2.9,3.75,NA,4.65,5.375,21.5,1.9,2.55,2.6,2.6500000000000004,1.3,3.3499999999999996,2.3,5.7,2.7,3.3499999999999996,NA,3.55,3.1,3,3.2,NA,1.65,9.1,3.25,4.199999999999999,4.824999999999999,12,2.3,1.7000000000000002,3.5,0.95,3.55,3.4000000000000004,NA,NA,6.7,2.2,NA,NA,NA,NA,NA,NA,2,3.3,NA,NA,NA,1.15,5.85,2.45,2.6,NA,1.35,2.8499999999999996,NA,NA,2.5,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,3.55,4.4,NA,4.35,3.25,22,2,1.95,2.9000000000000004,3,1.8,3.45,2.9,4.4,2.6500000000000004,3.7,NA,4.4,2.8,2.1500000000000004,3.5,NA,1.8,5.1,1.7999999999999998,3.25,3.4,10.75,1.95,1.55,3.75,1.4,3.25,2.95,NA,NA,7.25,1.6,NA,NA,NA,NA,NA,NA,1.75,3.1,NA,NA,NA,1.3,5.2,2.8499999999999996,4.05,NA,1.6,2.6,NA,NA,2.3499999999999996,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,2.6,2.8,NA,3,2.5,25,NA,1.55,2.1,2.2,NA,3.1,1.5,4,2.3,2.8,NA,3,3,2,3.3,NA,1,3.9,1,2.5,2.4,12,1,1,2,0.6,4.3,1.6,NA,NA,3.8,0.9,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,0.7,NA,2,2.4,NA,0.8,1.6,NA,NA,2,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,3.95,4.550000000000001,NA,4.85,4.3,24,NA,3.8,2.8,3.3,NA,4.8,3.95,4.8,3.5,3.9,NA,4,3.85,2.3,4.1,NA,1.55,8,2.9,5.65,4.3,15.5,2.45,2.1,3.3499999999999996,1.25,5,2.25,NA,NA,8.2,2.15,NA,NA,NA,NA,NA,NA,1.95,3.95,NA,NA,NA,1,NA,3.65,3.3,NA,1.95,3.45,NA,NA,2.7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1.7999999999999998,NA,NA,NA,NA,1.7999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,2.3,3.05,NA,3.3,2.3,28,NA,2.2,1.95,1.85,NA,2.8,2.5,3.5,2.35,3.25,NA,2.55,3.2,1.85,2.8,NA,1.2,3.9,1.65,2.5,2.8166666666666664,10.15,1.3,1.05,2.75,1,2.6,1.75,NA,NA,6.4,1.45,NA,NA,NA,NA,NA,NA,1.25,2.6500000000000004,NA,NA,NA,0.95,NA,2.1500000000000004,2.5,NA,1.1,2.5,NA,NA,2.05,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,1.5499999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,2.3,3,NA,3.8,2.3,24,NA,2.6,4.2,2.5,NA,2.1,3.4,3.1,3.9,3.7,NA,3.6,3.7,3.5,3.6,NA,1.1,7.1,1.6,2.5,2.8,11,1.2,1,2.9,0.9,2.9,1.8,NA,NA,4.1,1.1,NA,NA,NA,NA,NA,NA,1.2,4.4,NA,NA,NA,1,NA,3.2,2.8,NA,0.9,2,NA,NA,1.7,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,2.5,3.25,NA,3.5,2.5,22,NA,1.7,2.05,1.8,NA,1.4,1.8499999999999999,2.8,2.55,2.95,NA,3.45,2.95,2.1,3.175,NA,1.1,2.8499999999999996,2.125,3.5,2.85,8,1.4,1.3,3.15,0.75,3.3,1.9500000000000002,NA,NA,6.75,1.25,NA,NA,NA,NA,NA,NA,1.1,4.05,NA,NA,NA,1.2,NA,2.0999999999999996,2.55,NA,0.8500000000000001,1.85,NA,NA,1.2,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,1.75,2.75,NA,2.4,2,20.25,NA,1.4500000000000002,1.5,1.8,NA,1.7,2.05,3.15,2.45,2.6,NA,1.9,2.4,1.85,3.05,NA,1.1,2.95,1.35,1.55,2.3499999999999996,9.4,1.4,1.2999999999999998,2.35,1.55,2.2,1.7,NA,NA,6.2,1.15,3.4,1.3,NA,NA,1.1,NA,1.3,3.8,NA,NA,NA,1.35,NA,1.95,2.3,NA,1.15,1.95,NA,NA,1.7,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,2.75,2.9,NA,3.4,2.4,22.5,NA,2.3,2.95,1.95,NA,3.3499999999999996,3.55,3.35,1.75,2.95,NA,2.1,2.5,2.6,3.5,NA,1.2999999999999998,3.3,2.35,1.9500000000000002,2.6,11,1.55,1.35,2.7,1.1,2.15,1.75,NA,NA,7.85,1.05,NA,NA,NA,NA,NA,NA,1.875,2.75,NA,NA,NA,1.25,NA,1.45,3.2,NA,1.15,3.5999999999999996,NA,NA,1.8,NA,NA,NA,1.75,1.7,NA,2,1.3,NA,NA,1.8,NA,NA,NA,NA,1.4500000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.9,2.7,NA,2.6,2.5,21,NA,2.1,1.5,1.6,NA,1.5,2.5,3.5500000000000003,2.6,2.7,NA,2,2.3,2.3,4.55,NA,1.3,4,2.9,2,3.1,8.9,1.7,1.75,3.15,1.1,2.1,1.3,NA,NA,7,1.2,NA,NA,NA,NA,NA,NA,1.45,3.3,NA,NA,NA,1.1,NA,1.8,3.3,NA,1,1.9,NA,NA,1.6,NA,NA,NA,1.7,1.5,NA,1.4,1,NA,NA,1.4,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,2.8499999999999996,3.3,NA,3.1500000000000004,2.8,23,NA,3,2.4,2.2,NA,2.8,17.6,6.35,6.233333333333333,2.8,NA,2.4,2.5,2.8,5.324999999999999,NA,1.6,5.5,5.5,2.1500000000000004,3.3,9.5,2,4,5.183333333333334,1.7,2.8,2.1,NA,NA,6.6,1.65,NA,NA,NA,NA,NA,NA,2.533333333333333,3,NA,NA,NA,1.1,NA,3.7,3.5,NA,1.1,2.25,NA,NA,1.4,NA,NA,NA,1.7000000000000002,1.6,NA,1.7,1.5,NA,NA,1.5,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
