Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1980,NA,NA,NA,NA,NA,226.75952896090848,34.884993293349396,49.86478406195104,32.68759457689181,42.58044710877226,NA,34.45946241571914,29.59608944874137,57.130690290458915,44.0386403009272,NA,NA,57.130690290458915,77.39149661334574,38.78620792534206,38.78620792534206,NA,NA,62.9308822192486,30.043729114716125,44.52508997313637,NA,161.91844729220628,NA,28.68838578006075,31.821704596700787,NA,58.09797559870849,56.64682743998762,NA,NA,33.583920343151185,21.809137110604546,NA,NA,NA,NA,NA,NA,NA,40.49500775362021,NA,NA,NA,16.527424196244674,82.20035556894759,51.31822945543135,37.92730308571795,NA,17.950728245724868,48.409852886481694,72.57724386129429,NA,22.696617787744604,NA,NA,NA,28.24874931702029,NA,NA,NA,NA,NA,NA,38.392711007861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,114.26494261399267,147.14009006006762,NA,114.74759699249833,33.554502195931676,180.87830736403015,24.601755102384423,49.85796435832694,37.92730308571795,46.46820314524325,15.539814927784079,34.452369781423855,27.782451162493093,63.89677568992408,51.80337709514842,41.226196529427156,NA,45.98140850680963,69.20140783602633,41.34507050213972,40.92003912787996,NA,15.478117925875566,64.86214317964904,26.425252209702357,35.76574414618182,128.9591081482341,154.79463406016612,15.956905091693748,21.330763395822537,35.76574414618182,15.539814927784079,62.9308822192486,55.19493832205663,NA,NA,25.978247613739313,19.91548788991701,NA,NA,NA,NA,NA,NA,12.498516127769122,49.865124082214635,NA,NA,NA,12.498516127769122,78.35326308693507,60.99855229318519,37.92730308571795,NA,19.91548788991701,60.99869025022922,NA,NA,17.01429446501863,NA,NA,NA,30.48924478081487,NA,NA,NA,NA,NA,NA,35.76574414618182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,103.78093821218414,134.33804866947273,NA,105.19939219329163,29.557729298312076,237.13753915208832,29.148449782766615,36.20002825329614,37.92730308571795,45.00982706676665,11.998322293470489,36.63265176522168,32.26320795312618,60.51540304401324,43.06670561795491,39.21115541966908,NA,37.92730308571795,60.51456824410023,38.78620792534206,46.468020258921584,NA,24.13360605599906,74.98035455721472,28.24644530659905,40.49357563802428,145.1505759599876,139.57692603416803,13.533162922143937,22.733752630952015,39.21115541966908,11.998322293470489,59.546990189601985,59.54783951951602,NA,NA,32.70471130955156,19.91548788991701,NA,NA,NA,NA,NA,NA,11.477425626505603,42.023985940378886,NA,NA,NA,10.956528959540718,57.130690290458915,54.7089179679666,34.02169137943516,NA,16.036053745501864,53.25653229401488,NA,NA,14.040503295997524,NA,NA,NA,30.476730313285927,NA,NA,NA,NA,NA,NA,38.35675550553,NA,NA,NA,NA,40.7951826251418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,125.75465670099183,122.24639120892277,NA,89.39584184088243,25.49124857451118,214.00092222250598,NA,34.89197429822366,34.01808567430953,38.78620792534206,NA,33.144315826351374,19.436700724098827,48.89500052619876,37.063665669507046,33.144315826351374,NA,39.64208077390885,57.12832614125841,29.59608944874137,32.70471130955156,NA,9.445684673078283,69.20358829972668,16.036053745501864,31.354105866369714,106.1269492434481,139.10012801028603,13.533162922143937,20.862312500260778,24.601755102384423,10.956528959540718,67.27485969064432,51.804357853641434,NA,NA,24.13360605599906,14.542039703031907,NA,NA,NA,NA,NA,NA,10.941056544715995,36.198367658107365,NA,NA,NA,9.445684673078283,NA,36.62938156239272,25.52117321027006,NA,19.436700724098827,46.952619069526094,NA,NA,10.941056544715995,NA,NA,NA,19.436700724098827,NA,NA,NA,NA,NA,NA,26.432807020350772,NA,NA,NA,NA,33.13311024299056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,104.72624175728241,109.51879715332501,NA,82.67891827598568,28.3222019663537,194.61896346605408,NA,59.36828355774273,26.432807020350772,36.198367658107365,NA,27.782451162493093,23.67680605551548,63.413630690111404,36.62938156239272,29.583072713566132,NA,32.70281246992599,59.06526090695805,30.4850771897337,30.934760446913618,NA,4.441672794021345,82.68032848535013,17.018794646987487,32.26320795312618,86.03247467972676,208.81287219784429,15.038278520749694,17.9925351845354,22.74297158306001,5.839042035889802,47.439028015862476,47.92452995562137,NA,NA,31.821704596700787,10.956528959540718,NA,NA,NA,NA,NA,NA,5.148297410668935,32.70281246992599,NA,NA,NA,7.995675662807837,NA,32.70281246992599,23.6651551604373,NA,20.865750159519607,48.89500052619876,NA,NA,10.185634401484776,NA,NA,NA,17.9925351845354,NA,NA,NA,NA,NA,NA,32.70281246992599,NA,NA,NA,NA,36.17339604173021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,135.2911377568763,162.39604974039875,NA,142.43186977275434,27.466966582354992,187.0517141476845,NA,34.02169137943516,21.796146972716244,35.3314600390675,NA,26.88988142382002,20.865750159519607,66.791363199258,29.146239215868206,25.973097966407952,NA,24.59898963289277,43.552964127137564,25.978247613739313,25.52117321027006,NA,6.545666652537392,50.83490761796692,16.036053745501864,25.52117321027006,121.38689113373661,139.5684896610785,11.991175753915533,16.527424196244674,23.21142247862177,7.995675662807837,50.83490761796692,44.039027050136966,NA,NA,27.334811496518338,12.512072420880418,NA,NA,NA,NA,NA,NA,5.132417419242212,30.03522695686054,NA,NA,NA,9.445684673078283,NA,27.796595073725886,21.337443635062076,NA,17.9925351845354,54.22660602438101,NA,NA,6.545666652537392,NA,NA,NA,17.988354102634062,NA,NA,NA,NA,NA,NA,30.043729114716125,NA,NA,NA,NA,32.2593403950324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,154.79652690805764,251.56992230878782,NA,149.09248641194083,29.725304522025418,187.05175735404873,NA,53.25796203228761,37.06527527714723,48.409852886481694,NA,29.148449782766615,23.67680605551548,62.931015789687656,39.64208077390885,30.043729114716125,NA,30.934760446913618,51.31971523742039,36.20002825329614,30.043729114716125,NA,10.92558412989127,61.96498874857312,17.018794646987487,25.52117321027006,177.06555782762365,124.32730125873807,11.998322293470489,16.036053745501864,29.148449782766615,7.984752198791225,61.96498874857312,48.409852886481694,NA,NA,22.746038901728063,11.998322293470489,NA,NA,NA,NA,NA,NA,6.545666652537392,37.92730308571795,NA,NA,NA,10.92558412989127,NA,30.043729114716125,23.67680605551548,NA,16.036053745501864,43.552964127137564,NA,NA,5.132417419242212,NA,NA,NA,22.746038901728063,NA,NA,NA,NA,NA,NA,32.70471130955156,NA,NA,NA,NA,33.583920343151185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,59.06526090695805,72.20118746725504,NA,43.552964127137564,34.00986554251004,164.2461328651909,NA,47.92098229850002,26.88988142382002,38.35675550553,NA,23.21142247862177,22.277588006166305,53.25796203228761,32.69711143131638,33.517478621181176,NA,30.03522695686054,44.039027050136966,27.34444083043148,39.21115541966908,NA,6.59830642093938,86.52281120349889,16.518055647300844,31.819735878232592,40.05709994137226,133.38483236692863,10.722003483274385,16.527424196244674,32.26320795312618,7.265209425664308,46.95334318978191,48.40967759533844,NA,NA,23.21142247862177,10.956528959540718,NA,NA,NA,NA,NA,NA,3.7509281688004776,32.70471130955156,NA,NA,NA,8.715218435934753,NA,28.671438903485424,25.045239866079772,NA,15.038278520749694,42.93508023763805,NA,NA,3.08096981536032,NA,NA,NA,20.862312500260778,NA,NA,NA,NA,NA,NA,29.59608944874137,NA,NA,NA,NA,38.5199547622457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,43.59803040591188,35.31732315923889,NA,30.932716855708456,29.27073416122257,112.94091577361147,NA,39.64208077390885,31.821704596700787,46.46820314524325,NA,24.590680459468317,22.746038901728063,54.22645017717212,38.78620792534206,30.934760446913618,NA,32.70471130955156,44.52508997313637,30.043729114716125,36.20002825329614,NA,10.956528959540718,95.63911035256265,16.977995592957267,22.74297158306001,27.96910579265228,113.82373951652991,11.461953211680878,14.542039703031907,35.3314600390675,6.558584809016718,63.89677568992408,48.409852886481694,NA,NA,19.436700724098827,10.185634401484776,26.435322017208566,32.70471130955156,NA,NA,21.809137110604546,NA,9.445684673078283,33.583920343151185,NA,NA,NA,10.201106816309501,NA,29.148449782766615,26.435322017208566,NA,15.043576110066292,42.99592062335117,NA,NA,5.839042035889802,NA,NA,NA,22.746038901728063,NA,NA,NA,NA,NA,NA,29.148449782766615,NA,NA,NA,NA,41.34507050213972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,50.83390745938465,36.6228351705306,NA,33.121878684006134,34.45769019110934,154.21572435840343,NA,56.162363361446914,42.44901731463864,45.965540621885665,NA,34.02169137943516,30.041605114840117,62.447194234723476,45.01096173310925,33.583920343151185,NA,41.59752245052321,48.894653511637244,36.198367658107365,40.36217669015195,NA,11.998322293470489,97.54915875671855,21.52241249597988,29.59608944874137,30.48924478081487,180.87094096416794,22.733752630952015,22.746038901728063,41.04834651233401,10.672979054835707,61.96485301995844,55.678951455786475,NA,NA,25.962777686267884,13.025822548290348,NA,NA,NA,NA,NA,NA,14.759310610936545,31.819735878232592,NA,NA,NA,17.47953199999165,NA,34.89546122739332,24.601755102384423,NA,17.9925351845354,58.09797559870849,NA,NA,10.185634401484776,NA,NA,NA,25.973097966407952,67.75722564578099,NA,63.41230478665246,60.99869025022922,NA,NA,32.69711143131638,NA,NA,NA,NA,36.6228351705306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
