Year,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1980,88.78230589832114,59.71093174700979,92.52025745656293,92.7723568928509,93.13575873117752,92.0538270650226,98.67262568503119,99.16704444331543,99.83346421255618,86.17097188206448,96.07455715127165,89.87013402675461,NA,97.28960394772471,98.0531281328687,94.16145920179183,91.17712395011765,NA,91.03937681756942,93.3957870185437,95.06157873451693,82.28728213800598,68.34977824398626,94.92429143225392,98.52078601668961,97.67365226977701,95.94131969211449,96.27970723039792,97.90917384931107,NA,NA,93.35461504080247,96.7743999729767,NA,NA,NA,NA,NA,NA,99.01103296729963,89.63773166179922,NA,NA,NA,97.39620436397053,94.77965687695868,96.64051210025207,95.12228796719005,NA,99.39564811966515,97.56786960213927,94.70233900034981,NA,93.70367402028536,NA,NA,NA,94.73994424495315,NA,NA,NA,NA,NA,NA,98.17405489270404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,88.42439643548533,41.219384178705035,98.73298057075417,94.8225124190916,93.41368453423735,91.34011191066752,93.35461504080247,94.84658963138818,95.80801492054822,84.84865517799187,92.04231524687803,89.8812865556957,NA,90.03789023280717,90.07076418190452,91.18866336685151,92.52025745656293,NA,96.58714827917167,83.64606951667724,95.04576591992108,86.28775209829207,61.49537701877048,95.80384509667705,95.8930121983294,91.71663023163089,92.08945578969308,89.42371772030768,95.04576591992108,NA,NA,92.35886857770242,95.38287829838893,NA,NA,NA,NA,NA,NA,100.5149162295605,89.06886199776119,NA,NA,NA,96.59402123951394,89.99596664779142,92.96910416560823,92.56557862927227,NA,97.30363893147697,92.1102377732945,NA,NA,93.94557405781515,NA,NA,NA,89.23783490905863,NA,NA,NA,NA,NA,NA,92.41772847583272,NA,NA,NA,NA,84.73420006597536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,91.75608257109552,48.88360725698126,96.863350972511,99.31737012727592,93.99299183683728,89.78119091102592,100.07895195409569,96.77705529073049,95.03332456477138,88.05840166093495,91.39333816773153,87.76711026950325,NA,92.49764293254609,95.03295437657825,94.16426712952891,95.66615019375855,NA,97.5431073906959,84.96486711094799,98.29094859548486,86.05311132608196,55.84113938849546,101.15888332259757,98.92734563889164,93.99299183683728,96.55643706875104,92.04893377597276,95.24420231608948,NA,NA,96.9992845035895,101.05645306912612,NA,NA,NA,NA,NA,NA,105.39494076847748,89.71996555934376,NA,NA,NA,96.60871457835022,108.07447316089637,96.93517137924704,92.90920418509401,NA,100.60036772906615,95.87721809773011,NA,NA,96.84488230156664,NA,NA,NA,94.579409291503,NA,NA,NA,NA,NA,NA,92.35878807579505,NA,NA,NA,NA,82.31911549445631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,91.25728721044128,57.24940444745978,NA,97.96827451439897,95.294075120846,93.37626184465888,NA,96.27841088159506,96.52911939729984,82.43945469907636,95.4334308874427,89.04732900666083,NA,92.765608339100865,93.00294151977292,94.78847909106352,93.47197243702095,NA,95.74145260742564,89.42801462760681,99.17375280544505,84.30542497974916,52.08573267376734,100.82740772764198,97.19662935595575,96.71265392203179,102.0365804360002,88.29218325086366,96.80449685478727,NA,NA,94.94737294313981,98.082350376373455,NA,NA,NA,NA,NA,NA,103.14070291766284,83.04949110663681,NA,NA,NA,95.2586200242211,NA,94.50637625174964,88.84035805386,NA,96.33087983393823,97.96304235281306,NA,NA,92.58781759363548,NA,NA,NA,91.15301751502415,NA,NA,NA,NA,NA,NA,92.71474321128235,NA,NA,NA,NA,84.41990188373171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,90.8108270812339,52.398559789902436,NA,96.20295773905968,94.62997401455682,92.60665587821514,NA,93.96368905779553,95.85416494604719,81.87131069522027,92.2840283488948,87.05879170117919,NA,92.93045538594599,95.68110232671374,93.09992456916795,92.29828721508922,NA,93.23839558127881,91.1914034804988,95.49974554908538,84.33448676792146,60.84665014599514,100.62824775951115,97.60042162936354,92.82328102700265,97.9764529634634,90.7969543547531,96.6697067396865,NA,NA,93.24421547770075,95.49974554908538,NA,NA,NA,NA,NA,NA,101.45634945186369,87.4160298071691,NA,NA,NA,94.95451660835077,NA,94.63344538382717,90.40745659718726,NA,96.3385525078601,94.31254984076445,NA,NA,96.87424370670432,NA,NA,NA,89.56645700093435,NA,NA,NA,NA,NA,NA,90.69430669152094,NA,NA,NA,NA,78.64475377758195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,91.02497406600006,32.48332817064093,NA,95.26715442316825,95.62536428462562,93.23839558127881,NA,92.82793874906774,97.18301826001043,80.33684675955962,94.19121124079896,97.56089792977826,NA,91.88212635491895,93.70367402028536,95.70434468507736,96.04415504022057,NA,99.52294671979207,86.68241286798053,97.6247592521014,81.45909361616843,62.161911456587205,101.82223091191891,95.69244372568878,93.9000590294245,98.9580856475911,92.19716118367289,96.51078432429807,NA,NA,95.20680269322725,96.33087983393823,NA,NA,NA,NA,NA,NA,101.82330456233282,91.19826408626331,NA,NA,NA,91.19826408626331,NA,97.51159976132546,95.62536428462562,NA,101.37761397889938,94.14851440065766,NA,NA,93.78363373466216,NA,NA,NA,95.62536428462562,NA,NA,NA,NA,NA,NA,97.85143610137243,NA,NA,NA,NA,81.3686907431542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,89.93764394815716,47.39423954553176,NA,97.20260528259165,96.9976466402811,94.28264904153258,NA,97.50702456506242,97.93281943215877,83.30191424186629,94.37040229484096,90.93916064789501,NA,89.84271695732826,91.03980573688145,93.23556818788241,91.97169129280998,NA,91.93866892113668,90.50802956417563,96.55643706875104,86.13956689069846,54.82102797822302,101.79808537291659,99.36123225350332,96.13544533681193,100.48758863473684,90.63860057102372,96.33087983393823,NA,NA,99.0080376209489,99.52325176852284,NA,NA,NA,NA,NA,NA,104.24677276449226,88.33906804972597,NA,NA,NA,94.28264904153258,NA,96.77705529073049,92.0838760590082,NA,98.52078601668961,96.02057805612304,NA,NA,98.9404867585055,NA,NA,NA,93.35570064704588,NA,NA,NA,NA,NA,NA,96.02778880866654,NA,NA,NA,NA,81.4018293578003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,85.89595730268084,49.45955498057233,NA,98.72433442347919,94.88251539290609,89.4222500472142,NA,96.80449685478726,96.05383001171278,82.11740739159768,90.66186690677883,84.64666714104342,NA,89.94297063886171,91.64097410609953,92.82793874906774,90.11346775995463,NA,92.95000899290714,86.59651233676412,97.05962473476197,91.7414427391236,64.01658685439682,94.579409291503,100.48246471570945,93.69777980532109,98.24495417708545,87.33340521592885,96.90975485915091,NA,NA,91.51949662140123,102.46102673246156,94.1777680576387,90.27177767736796,NA,NA,97.19110606987655,NA,102.53068238046217,83.4951097411129,NA,NA,NA,93.53983828828947,NA,95.06231057918498,90.31284404659084,NA,99.35810574162805,97.61651050074238,NA,NA,95.77763346265047,NA,NA,NA,89.56023701286927,NA,NA,NA,NA,NA,NA,95.18265426478938,NA,NA,NA,NA,79.2450935506851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,94.3161680253016,59.66015108889747,NA,99.19149759798536,95.10219913664717,93.94557405781515,NA,93.94557405781515,95.02866550814355,79.73847450603786,93.3457881663349,91.97659025856336,NA,92.56216928508204,94.9122816604554,96.6697067396865,93.09227925341729,NA,92.08368412593578,88.71123336108559,94.27203121720822,87.89586054124935,64.23163320419664,101.02837718313324,99.98350314361623,95.49992848296375,99.45036145057705,89.83062412363,96.67275153239487,NA,NA,93.49607370347152,98.67650701417034,NA,NA,NA,NA,NA,NA,100.27168855441752,87.30241591170447,NA,NA,NA,95.26975419138341,NA,96.64257618387684,93.8545242052807,NA,97.19231109040166,96.43385912748465,NA,NA,100.2216644534302,NA,NA,NA,91.77378711205041,83.05695897335944,NA,81.31891004001864,84.55515038448904,NA,NA,96.84737847523506,NA,NA,NA,NA,81.81446528371487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,87.03953654116737,55.04976128928042,NA,96.66540879949224,93.35692503678251,92.59653387764685,NA,97.50702456506242,98.73141458401072,88.68549965119611,96.82776446445115,88.23249746171416,NA,81.17576567726856,95.27471445279414,96.53215360110248,92.25090373800161,NA,91.64284607198643,87.98343473457736,94.15211695692128,89.76286529980608,66.73031134822831,99.36123225350332,97.75026035680408,95.21401264210465,98.69264142867915,90.45759875211033,97.39620436397053,NA,NA,91.36986174222046,100.33396767901033,NA,NA,NA,NA,NA,NA,100.17504353693415,81.31929337524855,NA,NA,NA,95.06157873451694,NA,97.63643310869764,95.05988020789711,NA,98.29838206390544,97.07644744128913,NA,NA,98.72433442347922,NA,NA,NA,96.45506030977066,98.41150325751869,NA,97.3140457544525,100.67147708926049,NA,NA,98.082350376373455,NA,NA,NA,NA,81.44338022323869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,92.35878807579505,67.27038987479207,NA,93.23839558127881,91.18866336685151,87.6114500994093,NA,93.78363373466216,94.73994424495315,76.1461234118315,90.13043689583536,86.39727920622425,NA,70.49474387762797,94.40108938295762,92.80496266870276,90.30042083521266,NA,94.77300706384055,84.329741185626375,92.44802281721009,82.34406368953873,62.433137709588415,96.9992845035895,93.85452420528068,91.88868677407226,94.9010996095407,82.73533459702898,96.51078432429807,NA,NA,91.68062481570031,96.54382129645359,NA,NA,NA,NA,NA,NA,98.07082663982145,74.08141320947057,NA,NA,NA,92.09428866347403,NA,93.78133525974928,93.9335022842167,NA,95.41605429164662,92.19716118367289,NA,NA,94.10212060575645,NA,NA,NA,88.88713002858844,94.24558485228506,NA,95.20680269322725,95.05461356067516,NA,NA,94.68393640973754,NA,NA,NA,NA,75.33269939624219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,85.35175656978353,57.03649456669439,NA,94.63337342490199,94.73994424495315,96.27841088159505,NA,94.0143979644905,95.38117494027476,82.193860922717107,94.08555241611674,85.78347850323533,NA,82.13720199736157,92.9566737653203,95.98277505457908,94.800740182375,NA,96.20377138933817,87.24653483882098,97.76752277110519,87.93660494030044,65.89438433510905,94.94645515823221,95.34717003916985,97.07439211098044,98.57464926932805,87.65658392757348,96.59402123951394,NA,NA,90.25903158802161,99.50507872630676,NA,NA,NA,NA,NA,NA,100.62824775951115,82.88673038144023,NA,NA,NA,91.10993043136338,NA,95.88147516390954,97.39620436397053,NA,95.7988084807704,97.14487094269538,NA,NA,89.92311501913764,NA,NA,NA,90.99864437073705,94.73994424495315,NA,95.18265426478938,97.71609257880392,NA,NA,96.84737847523506,NA,NA,NA,NA,77.36890267128878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,88.19722252302059,54.75021447566966,NA,96.875694197,97.56786960213927,89.48165067875902,NA,98.32097602918776,96.6692583670242,79.21794917237914,96.16672775595589,89.37182090130062,NA,84.1410985559733,90.860374164254,93.31850808269436,92.38612389268735,NA,95.57034934261284,91.77923257463695,101.24506311172222,86.79256039823719,62.06454568060224,97.80293232329052,97.09207653822047,95.17200287560638,102.4860807903438,86.18487488171445,97.47236374542233,NA,NA,93.55024905933182,101.10501228169184,NA,NA,NA,NA,NA,NA,100.88264422623618,80.55808894973875,NA,NA,NA,94.76603045853638,NA,96.92056723706034,94.51678606783565,NA,100.23857901862574,99.5310891022424,NA,NA,94.45449951039038,NA,NA,NA,88.21029378067787,94.40108938295764,NA,98.46298767188367,96.88442054413665,NA,NA,94.63337342490199,NA,NA,NA,NA,81.45864364986625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,90.93682922211515,56.0470573579277,94.20516811528704,94.93712934775625,86.46158381217187,87.96075054837624,NA,93.28629462228551,95.26715442316825,74.32990065595175,87.76711026950325,86.28525366628786,NA,81.84514195358027,86.36499031425325,95.00148934567858,88.78890865010344,NA,102.2061840884555,87.72319485454287,96.45472278921547,91.74900223109537,53.57623673419874,93.88693222676189,94.41741954255838,87.67031149049774,96.12919619676539,85.85615199836202,97.39620436397053,NA,NA,86.36499031425325,97.60042162936354,NA,NA,NA,NA,NA,NA,97.48966377854201,76.8944018698704,NA,NA,NA,86.02704091212408,96.33087983393823,92.96910416560823,95.7988084807704,NA,95.21401264210465,94.41741954255838,NA,93.46288722958639,96.863350972511,NA,NA,92.35878807579505,90.42975627721962,94.62974500333648,NA,96.31313758394583,95.26715442316825,NA,NA,87.81551502302108,NA,NA,NA,NA,78.20402297491911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,90.5105798149557,59.994583909593835,95.28841235396767,93.14506049229186,98.21394849113913,93.46216426005338,NA,91.65459676870515,97.68054307823508,78.23792430881022,99.28175495539662,86.97453378149746,NA,82.97591694786952,88.70996723891034,89.56450217797406,91.29809449936516,NA,98.68567037203063,85.11759579312286,96.75682560321387,89.35397243172154,55.742749901097596,92.29842056273694,95.95838686695204,94.56499723652794,99.59747962422135,86.80921256927095,98.99688242379861,NA,NA,88.2513158557174,96.9698916319907,NA,NA,NA,NA,NA,NA,99.81975416247421,79.13207201519664,NA,NA,NA,90.73877239266514,96.9698916319907,94.35386394783258,89.12373480981228,NA,96.33087983393823,98.78328610542081,NA,94.31128450501068,93.17265569186618,NA,NA,86.58123444982748,88.59046368308142,94.349643539716,NA,93.4611136088173,94.62974500333648,NA,NA,97.71609257880392,NA,NA,NA,NA,82.88507337312542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,95.51773842768961,58.3827107151604,92.52826837092208,97.07409667104407,93.50952773024304,91.44568623604549,NA,95.94150313115102,96.33114941345295,74.13950537993853,91.81060532306097,88.1702200870981,NA,80.08411596372305,89.67058188196648,93.70367402028536,89.10606384639287,NA,94.39778576738853,82.9541370457018,98.08945637174244,85.41938227675145,44.99363184096266,96.11800233733801,98.56974082271076,95.62844711769307,97.86032795049613,85.9998136783912,98.51636260841646,97.69670419907102,NA,93.74967810517828,98.8900779555949,NA,92.47208790041188,NA,NA,97.02316765168649,NA,99.8631293030585,73.99963041788891,NA,NA,NA,95.41509140801648,101.13540438846684,93.29736846184315,91.51433584224131,NA,97.68687929868352,103.65288506594146,NA,95.90518992775094,90.41715804854893,NA,NA,92.1358978363924,90.85489986587308,97.17295766375624,NA,97.26901889537325,97.50281936825404,NA,NA,97.69670419907102,NA,NA,NA,NA,82.5291793462472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,92.36942855123345,55.3369551543371,95.3462972160819,100.37034325859702,97.3734670839625,95.69711543839266,104.66353514766979,98.20275664757594,100.00464209065072,75.31206299106296,95.30099851876258,94.848112408973,NA,87.23665500161505,93.33704500259233,96.06807430446185,92.25943208365321,NA,97.4434587684225,93.24866849185452,97.92942245480674,86.88213576601167,51.836880247152486,96.24312005994226,97.65913593544437,95.87529178455635,102.4860807903438,86.46645718609327,98.65322800834463,100.04711230266068,99.33957830993853,97.20735627925933,97.99107724690768,NA,91.71663023163089,98.28162440364298,NA,99.75732446976374,NA,102.48093004337635,77.19719574743846,NA,NA,NA,95.294075120846,97.56089792977826,96.69012879685326,95.26549548356044,NA,96.32951944037642,101.38318871455456,NA,100.46354466443196,96.98521646076235,NA,NA,96.93517137924704,95.66438381810303,97.01502614292468,NA,98.03626903942919,98.8033215556975,NA,NA,96.98521646076235,NA,NA,NA,NA,83.47039063347145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
