Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1972,Jan,Temperature,4.35,deg C,
0311,1972,Feb,Ammonia Nitrogen,110,ug/L,
0311,1972,Feb,Fecal Coliform,480,CFU/100ml,
0311,1972,Feb,Nitrite + Nitrate Nitrogen,494.22350000000006,ug/L,
0311,1972,Feb,Temperature,5.25,deg C,
0311,1972,Mar,Ammonia Nitrogen,45,ug/L,
0311,1972,Mar,Fecal Coliform,43.5,CFU/100ml,
0311,1972,Mar,Nitrite + Nitrate Nitrogen,304.15700000000004,ug/L,
0311,1972,Mar,Temperature,6,deg C,
0311,1972,Apr,Ammonia Nitrogen,50,ug/L,
0311,1972,Apr,Fecal Coliform,56.5,CFU/100ml,
0311,1972,Apr,Nitrite + Nitrate Nitrogen,245.67500000000004,ug/L,
0311,1972,Apr,Temperature,6.85,deg C,
0311,1972,May,Ammonia Nitrogen,30,ug/L,
0311,1972,May,Fecal Coliform,44.333333333333336,CFU/100ml,
0311,1972,May,Nitrite + Nitrate Nitrogen,125.462,ug/L,
0311,1972,May,Temperature,9.466666666666667,deg C,
0311,1972,Jun,Ammonia Nitrogen,60,ug/L,
0311,1972,Jun,Fecal Coliform,120,CFU/100ml,
0311,1972,Jun,Nitrite + Nitrate Nitrogen,429.058,ug/L,
0311,1972,Jun,Temperature,13.4,deg C,
0311,1972,Jul,Ammonia Nitrogen,60,ug/L,
0311,1972,Jul,Fecal Coliform,275,CFU/100ml,
0311,1972,Jul,Nitrite + Nitrate Nitrogen,265.169,ug/L,
0311,1972,Jul,Temperature,10.3,deg C,
0311,1972,Aug,Ammonia Nitrogen,50,ug/L,
0311,1972,Aug,Fecal Coliform,100,CFU/100ml,
0311,1972,Aug,Nitrite + Nitrate Nitrogen,333.398,ug/L,
0311,1972,Aug,Temperature,17.25,deg C,
0311,1972,Sep,Ammonia Nitrogen,60,ug/L,
0311,1972,Sep,Fecal Coliform,65,CFU/100ml,
0311,1972,Sep,Nitrite + Nitrate Nitrogen,328.5245,ug/L,
0311,1972,Sep,Temperature,13.75,deg C,
0311,1972,Oct,Ammonia Nitrogen,105,ug/L,
0311,1972,Oct,Fecal Coliform,93.33333333333333,CFU/100ml,
0311,1972,Oct,Nitrite + Nitrate Nitrogen,333.398,ug/L,
0311,1972,Oct,Temperature,9.416666666666666,deg C,
0311,1972,Nov,Ammonia Nitrogen,102,ug/L,
0311,1972,Nov,Fecal Coliform,89.16666666666667,CFU/100ml,
0311,1972,Nov,Nitrite + Nitrate Nitrogen,376.2848,ug/L,
0311,1972,Nov,Temperature,7.633333333333333,deg C,
0311,1972,Dec,Ammonia Nitrogen,145,ug/L,
0311,1972,Dec,Fecal Coliform,95,CFU/100ml,
0311,1972,Dec,Nitrite + Nitrate Nitrogen,421.121,ug/L,
0311,1972,Dec,Temperature,5.15,deg C,
0311,1973,Jan,Ammonia Nitrogen,95,ug/L,
0311,1973,Jan,Fecal Coliform,55,CFU/100ml,
0311,1973,Jan,Nitrite + Nitrate Nitrogen,499.09700000000004,ug/L,
0311,1973,Jan,Temperature,3.3,deg C,
0311,1973,Feb,Ammonia Nitrogen,270,ug/L,
0311,1973,Feb,Fecal Coliform,20,CFU/100ml,
0311,1973,Feb,Nitrite + Nitrate Nitrogen,528.3380000000001,ug/L,
0311,1973,Feb,Temperature,6.2,deg C,
0311,1973,Mar,Ammonia Nitrogen,210,ug/L,
0311,1973,Mar,Fecal Coliform,32,CFU/100ml,
0311,1973,Mar,Nitrite + Nitrate Nitrogen,157.952,ug/L,
0311,1973,Mar,Temperature,6.8,deg C,
0311,1973,Apr,Ammonia Nitrogen,210,ug/L,
0311,1973,Apr,Fecal Coliform,380,CFU/100ml,
0311,1973,Apr,Nitrite + Nitrate Nitrogen,547.8320000000001,ug/L,
0311,1973,Apr,Temperature,10.1,deg C,
0311,1973,May,Ammonia Nitrogen,200,ug/L,
0311,1973,May,Fecal Coliform,185,CFU/100ml,
0311,1973,May,Nitrite + Nitrate Nitrogen,274.91600000000005,ug/L,
0311,1973,May,Temperature,13.2,deg C,
0311,1973,Jun,Ammonia Nitrogen,120,ug/L,
0311,1973,Jun,Fecal Coliform,150,CFU/100ml,
0311,1973,Jun,Nitrite + Nitrate Nitrogen,450.362,ug/L,
0311,1973,Jun,Temperature,17.3,deg C,
0311,1973,Jul,Ammonia Nitrogen,66.66666666666667,ug/L,
0311,1973,Jul,Fecal Coliform,48.5,CFU/100ml,
0311,1973,Jul,Nitrite + Nitrate Nitrogen,326.90000000000003,ug/L,
0311,1973,Jul,Temperature,16.1,deg C,
0311,1973,Aug,Ammonia Nitrogen,50,ug/L,
0311,1973,Aug,Fecal Coliform,38,CFU/100ml,
0311,1973,Aug,Nitrite + Nitrate Nitrogen,430.868,ug/L,
0311,1973,Aug,Temperature,16.6,deg C,
0311,1973,Sep,Ammonia Nitrogen,90,ug/L,
0311,1973,Sep,Fecal Coliform,100,CFU/100ml,
0311,1973,Sep,Nitrite + Nitrate Nitrogen,547.8320000000001,ug/L,
0311,1973,Sep,Temperature,15.8,deg C,
0311,1973,Oct,Ammonia Nitrogen,70,ug/L,
0311,1973,Oct,Fecal Coliform,36.5,CFU/100ml,
