"","Year","Locator","mg/L"
"199",1985,"0322",11.6
"200",1985,"0430",11.5
"201",1985,"0434",11.15
"202",1985,"0438",NA
"203",1985,"0440",11.6
"204",1985,"0442",11.45
"205",1985,"0444",9.72
"206",1985,"0446",11.05
"207",1985,"0470",11.5
"208",1985,"0474",11.1
"209",1985,"0478",11.4
"210",1985,"0484",10.8
"211",1985,"0631",11.2
"212",1985,"A315",7.21
"213",1985,"A320",11.55
"214",1985,"A432",10.8
"215",1985,"A456",10.75
"216",1985,"A499",11.1
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",10.95
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",10.3
"224",1985,"C320",10.85
"225",1985,"C370",NA
"226",1985,"D320",11.5
"227",1985,"G320",11.15
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",10.95
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",10.1133333333333
"236",1986,"0317",5.32
"237",1986,"0321",NA
"238",1986,"0322",11
"239",1986,"0430",11.2
"240",1986,"0434",10.6
"241",1986,"0438",NA
"242",1986,"0440",11.3
"243",1986,"0442",11.4
"244",1986,"0444",9.57
"245",1986,"0446",10.6
"246",1986,"0470",10.5
"247",1986,"0474",10.8
"248",1986,"0478",11.1
"249",1986,"0484",10.3
"250",1986,"0631",11.4
"251",1986,"A315",6.4
"252",1986,"A320",11.4
"253",1986,"A432",11.1
"254",1986,"A456",10.3
"255",1986,"A499",10.8
"256",1986,"A617",NA
"257",1986,"A620",NA
"258",1986,"A630",11.4
"259",1986,"A680",NA
"260",1986,"A685",NA
"261",1986,"A690",NA
"262",1986,"B484",10.3
"263",1986,"C320",10.9
"264",1986,"C370",NA
"265",1986,"D320",11.1
"266",1986,"G320",10.6
"267",1986,"KSHZ06",NA
"268",1986,"KTHA03",NA
"269",1986,"N484",11.1
"270",1986,"VA12A",NA
"271",1986,"VA41A",NA
"272",1986,"VA42A",NA
"273",1986,"VA45A",NA
"274",1987,"0311",10.154
"275",1987,"0317",5.475
"276",1987,"0321",NA
"277",1987,"0322",11.1
"278",1987,"0430",10.95
"279",1987,"0434",10.4
"280",1987,"0438",NA
"281",1987,"0440",11.2
"282",1987,"0442",10.95
"283",1987,"0444",9.51
"284",1987,"0446",10.4
"285",1987,"0470",9.97
"286",1987,"0474",10.45
"287",1987,"0478",11.2
"288",1987,"0484",10.3
"289",1987,"0631",11.1
"290",1987,"A315",6.89
"291",1987,"A320",11.25
"292",1987,"A432",10.3
"293",1987,"A456",10.05
"294",1987,"A499",10.9
"295",1987,"A617",NA
"296",1987,"A620",NA
"297",1987,"A630",11.2
"298",1987,"A680",NA
"299",1987,"A685",NA
"300",1987,"A690",NA
"301",1987,"B484",9.43
"302",1987,"C320",10.7
"303",1987,"C370",NA
"304",1987,"D320",11.3
"305",1987,"G320",11.2
"306",1987,"KSHZ06",NA
"307",1987,"KTHA03",NA
"308",1987,"N484",10.85
"309",1987,"VA12A",NA
"310",1987,"VA41A",NA
"311",1987,"VA42A",NA
"312",1987,"VA45A",NA
"313",1988,"0311",9.83125
"314",1988,"0317",5.935
"315",1988,"0321",NA
"316",1988,"0322",11.6
"317",1988,"0430",11.15
"318",1988,"0434",10.5
"319",1988,"0438",NA
"320",1988,"0440",10.6
"321",1988,"0442",10.6
"322",1988,"0444",8.765
"323",1988,"0446",10.5
"324",1988,"0470",10.75
"325",1988,"0474",10.9
"326",1988,"0478",11.3
"327",1988,"0484",10.45
"328",1988,"0631",10.65
"329",1988,"A315",7.605
"330",1988,"A320",11.45
"331",1988,"A432",10.9
"332",1988,"A456",10.15
"333",1988,"A499",10.85
"334",1988,"A617",NA
"335",1988,"A620",NA
"336",1988,"A630",10.3
"337",1988,"A680",12
"338",1988,"A685",NA
"339",1988,"A690",11.9
"340",1988,"B484",10.105
"341",1988,"C320",9.94
"342",1988,"C370",NA
"343",1988,"D320",11
"344",1988,"G320",10.55
"345",1988,"KSHZ06",NA
"346",1988,"KTHA03",NA
"347",1988,"N484",11.1
"348",1988,"VA12A",NA
"349",1988,"VA41A",NA
"350",1988,"VA42A",NA
"351",1988,"VA45A",NA
"352",1989,"0311",10.05
"353",1989,"0317",6.02
"354",1989,"0321",NA
"355",1989,"0322",10.95
"356",1989,"0430",10.75
"357",1989,"0434",10.35
"358",1989,"0438",NA
"359",1989,"0440",11.05
"360",1989,"0442",10.825
"361",1989,"0444",9.25
"362",1989,"0446",10.5275
"363",1989,"0470",10.3
"364",1989,"0474",10.95
"365",1989,"0478",11.05
"366",1989,"0484",10.6
"367",1989,"0631",11
"368",1989,"A315",7.055
"369",1989,"A320",11.35
"370",1989,"A432",10.625
"371",1989,"A456",9.76
"372",1989,"A499",10.9
"373",1989,"A617",NA
"374",1989,"A620",NA
"375",1989,"A630",10.1
"376",1989,"A680",NA
"377",1989,"A685",NA
"378",1989,"A690",NA
"379",1989,"B484",9.53
"380",1989,"C320",10.8
"381",1989,"C370",NA
"382",1989,"D320",11.05
"383",1989,"G320",10.5
"384",1989,"KSHZ06",10.4
"385",1989,"KTHA03",10.65
"386",1989,"N484",11
"387",1989,"VA12A",NA
"388",1989,"VA41A",NA
"389",1989,"VA42A",NA
"390",1989,"VA45A",NA
"391",1990,"0311",10.6
"392",1990,"0317",6.825
"393",1990,"0321",NA
"394",1990,"0322",11.5
"395",1990,"0430",11.1
"396",1990,"0434",10.5
"397",1990,"0438",NA
"398",1990,"0440",11.2
"399",1990,"0442",11.05
"400",1990,"0444",9.925
"401",1990,"0446",10.8
"402",1990,"0470",9.2
"403",1990,"0474",11.1
"404",1990,"0478",11.3
"405",1990,"0484",10.3
"406",1990,"0631",11.15
"407",1990,"A315",7.2
"408",1990,"A320",11.3
"409",1990,"A432",11
"410",1990,"A456",10.1
"411",1990,"A499",11
"412",1990,"A617",NA
"413",1990,"A620",NA
"414",1990,"A630",10.6
"415",1990,"A680",NA
"416",1990,"A685",NA
"417",1990,"A690",NA
"418",1990,"B484",8.6
"419",1990,"C320",10.8
"420",1990,"C370",NA
"421",1990,"D320",11.15
"422",1990,"G320",11
"423",1990,"KSHZ06",11
"424",1990,"KTHA03",11.1
"425",1990,"N484",11
"426",1990,"VA12A",NA
"427",1990,"VA41A",NA
"428",1990,"VA42A",NA
"429",1990,"VA45A",NA
"430",1991,"0311",10.35
"431",1991,"0317",6.85
"432",1991,"0321",NA
"433",1991,"0322",10.9
"434",1991,"0430",10.8
"435",1991,"0434",11
"436",1991,"0438",NA
"437",1991,"0440",10.65
"438",1991,"0442",10.7
"439",1991,"0444",9.1
"440",1991,"0446",10.2666666666667
"441",1991,"0470",9.4
"442",1991,"0474",10.7
"443",1991,"0478",11
"444",1991,"0484",10.525
"445",1991,"0631",11
"446",1991,"A315",7.45
"447",1991,"A320",10.8
"448",1991,"A432",10.9166666666667
"449",1991,"A456",9.8
"450",1991,"A499",10.8
"451",1991,"A617",NA
"452",1991,"A620",NA
"453",1991,"A630",10.25
"454",1991,"A680",NA
"455",1991,"A685",NA
"456",1991,"A690",NA
"457",1991,"B484",8.5
"458",1991,"C320",10.45
"459",1991,"C370",NA
"460",1991,"D320",11
"461",1991,"G320",10.5
"462",1991,"KSHZ06",10.75
"463",1991,"KTHA03",10.9
"464",1991,"N484",10.9
"465",1991,"VA12A",NA
"466",1991,"VA41A",NA
"467",1991,"VA42A",NA
"468",1991,"VA45A",NA
"469",1992,"0311",9.7
"470",1992,"0317",6.1
"471",1992,"0321",NA
"472",1992,"0322",11.05
"473",1992,"0430",10.95
"474",1992,"0434",10.075
"475",1992,"0438",NA
"476",1992,"0440",10.9
"477",1992,"0442",10.75
"478",1992,"0444",9.05
"479",1992,"0446",10.4
"480",1992,"0470",9.5
"481",1992,"0474",10.8
"482",1992,"0478",10.95
"483",1992,"0484",10.75
"484",1992,"0631",11.1
"485",1992,"A315",7.15
"486",1992,"A320",10.9166666666667
"487",1992,"A432",10.575
"488",1992,"A456",9.525
"489",1992,"A499",10.75
"490",1992,"A617",NA
"491",1992,"A620",NA
"492",1992,"A630",9.925
"493",1992,"A680",NA
"494",1992,"A685",NA
"495",1992,"A690",NA
"496",1992,"B484",9.4
"497",1992,"C320",10.75
"498",1992,"C370",NA
"499",1992,"D320",11.15
"500",1992,"G320",10.4
"501",1992,"KSHZ06",10.85
"502",1992,"KTHA03",11.2
"503",1992,"N484",11.25
"504",1992,"VA12A",NA
"505",1992,"VA41A",NA
"506",1992,"VA42A",NA
"507",1992,"VA45A",NA
"508",1993,"0311",10.5
"509",1993,"0317",6.075
"510",1993,"0321",11
"511",1993,"0322",11
"512",1993,"0430",10
"513",1993,"0434",10
"514",1993,"0438",NA
"515",1993,"0440",11
"516",1993,"0442",11
"517",1993,"0444",8.4
"518",1993,"0446",10
"519",1993,"0470",8.85
"520",1993,"0474",9.95
"521",1993,"0478",10.25
"522",1993,"0484",10
"523",1993,"0631",11.25
"524",1993,"A315",5.9
"525",1993,"A320",11
"526",1993,"A432",10
"527",1993,"A456",9.85
"528",1993,"A499",10.75
"529",1993,"A617",NA
"530",1993,"A620",NA
"531",1993,"A630",10
"532",1993,"A680",NA
"533",1993,"A685",NA
"534",1993,"A690",NA
"535",1993,"B484",8.1
"536",1993,"C320",10
"537",1993,"C370",11
"538",1993,"D320",11
"539",1993,"G320",11
"540",1993,"KSHZ06",10.5
"541",1993,"KTHA03",11
"542",1993,"N484",10
"543",1993,"VA12A",NA
"544",1993,"VA41A",NA
"545",1993,"VA42A",NA
"546",1993,"VA45A",NA
"547",1994,"0311",10.25
"548",1994,"0317",6.45
"549",1994,"0321",11
"550",1994,"0322",11
"551",1994,"0430",11
"552",1994,"0434",10
"553",1994,"0438",NA
"554",1994,"0440",10.5
"555",1994,"0442",11
"556",1994,"0444",8.95
"557",1994,"0446",10.5
"558",1994,"0470",9.75
"559",1994,"0474",10.5
"560",1994,"0478",11
"561",1994,"0484",11
"562",1994,"0631",11
"563",1994,"A315",6.25
"564",1994,"A320",11
"565",1994,"A432",10
"566",1994,"A456",9.45
"567",1994,"A499",11
"568",1994,"A617",NA
"569",1994,"A620",NA
"570",1994,"A630",10
"571",1994,"A680",NA
"572",1994,"A685",NA
"573",1994,"A690",NA
"574",1994,"B484",9.2
"575",1994,"C320",10.5
"576",1994,"C370",10.5
"577",1994,"D320",11
"578",1994,"G320",10.5
"579",1994,"KSHZ06",11
"580",1994,"KTHA03",11
"581",1994,"N484",11
"582",1994,"VA12A",NA
"583",1994,"VA41A",NA
"584",1994,"VA42A",NA
"585",1994,"VA45A",NA
"586",1995,"0311",9.8
"587",1995,"0317",6.7
"588",1995,"0321",10.75
"589",1995,"0322",11
"590",1995,"0430",10.3916666666667
"591",1995,"0434",10.25
"592",1995,"0438",NA
"593",1995,"0440",10.5833333333333
"594",1995,"0442",10.75
"595",1995,"0444",8.46666666666667
"596",1995,"0446",10.475
"597",1995,"0470",9.15
"598",1995,"0474",10.3
"599",1995,"0478",10.5
"600",1995,"0484",10.325
"601",1995,"0631",11
"602",1995,"A315",5.225
"603",1995,"A320",11.025
"604",1995,"A432",10.8333333333333
"605",1995,"A456",9.6
"606",1995,"A499",11
"607",1995,"A617",11
"608",1995,"A620",NA
"609",1995,"A630",10.25
"610",1995,"A680",10
"611",1995,"A685",NA
"612",1995,"A690",11
