"","Year","Locator","NTU"
"202",1985,"0438",NA
"203",1985,"0440",2.8
"204",1985,"0442",2.5
"205",1985,"0444",3.5
"206",1985,"0446",2.35
"207",1985,"0470",2.55
"208",1985,"0474",3.2
"209",1985,"0478",1.85
"210",1985,"0484",2.8
"211",1985,"0631",1.65
"212",1985,"A315",10.15
"213",1985,"A320",1.05
"214",1985,"A432",2.75
"215",1985,"A456",2.6
"216",1985,"A499",1.75
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",6.4
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",2.65
"224",1985,"C320",0.95
"225",1985,"C370",NA
"226",1985,"D320",1.1
"227",1985,"G320",2.05
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",1.6
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",2.3
"236",1986,"0317",24
"237",1986,"0321",NA
"238",1986,"0322",2.6
"239",1986,"0430",4.2
"240",1986,"0434",2.5
"241",1986,"0438",NA
"242",1986,"0440",2.1
"243",1986,"0442",3.4
"244",1986,"0444",3.1
"245",1986,"0446",3.9
"246",1986,"0470",3.6
"247",1986,"0474",3.7
"248",1986,"0478",3.5
"249",1986,"0484",3.6
"250",1986,"0631",1.6
"251",1986,"A315",11
"252",1986,"A320",1
"253",1986,"A432",2.9
"254",1986,"A456",2.9
"255",1986,"A499",1.8
"256",1986,"A617",NA
"257",1986,"A620",NA
"258",1986,"A630",4.1
"259",1986,"A680",NA
"260",1986,"A685",NA
"261",1986,"A690",NA
"262",1986,"B484",4.4
"263",1986,"C320",1
"264",1986,"C370",NA
"265",1986,"D320",0.9
"266",1986,"G320",1.7
"267",1986,"KSHZ06",NA
"268",1986,"KTHA03",NA
"269",1986,"N484",1.3
"270",1986,"VA12A",NA
"271",1986,"VA41A",NA
"272",1986,"VA42A",NA
"273",1986,"VA45A",NA
"274",1987,"0311",2.5
"275",1987,"0317",22
"276",1987,"0321",NA
"277",1987,"0322",1.7
"278",1987,"0430",2.05
"279",1987,"0434",1.8
"280",1987,"0438",NA
"281",1987,"0440",1.4
"282",1987,"0442",1.85
"283",1987,"0444",2.8
"284",1987,"0446",2.55
"285",1987,"0470",3.45
"286",1987,"0474",2.95
"287",1987,"0478",2.1
"288",1987,"0484",3.175
"289",1987,"0631",2.125
"290",1987,"A315",8
"291",1987,"A320",1.3
"292",1987,"A432",3.15
"293",1987,"A456",3.3
"294",1987,"A499",1.95
"295",1987,"A617",NA
"296",1987,"A620",NA
"297",1987,"A630",6.75
"298",1987,"A680",NA
"299",1987,"A685",NA
"300",1987,"A690",NA
"301",1987,"B484",4.05
"302",1987,"C320",1.2
"303",1987,"C370",NA
"304",1987,"D320",0.85
"305",1987,"G320",1.2
"306",1987,"KSHZ06",NA
"307",1987,"KTHA03",NA
"308",1987,"N484",1.5
"309",1987,"VA12A",NA
"310",1987,"VA41A",NA
"311",1987,"VA42A",NA
"312",1987,"VA45A",NA
"313",1988,"0311",2
"314",1988,"0317",20.25
"315",1988,"0321",NA
"316",1988,"0322",1.45
"317",1988,"0430",1.5
"318",1988,"0434",1.8
"319",1988,"0438",NA
"320",1988,"0440",1.7
"321",1988,"0442",2.05
"322",1988,"0444",3.15
"323",1988,"0446",2.45
"324",1988,"0470",1.9
"325",1988,"0474",2.4
"326",1988,"0478",1.85
"327",1988,"0484",3.05
"328",1988,"0631",1.35
"329",1988,"A315",9.4
"330",1988,"A320",1.3
"331",1988,"A432",2.35
"332",1988,"A456",2.2
"333",1988,"A499",1.7
"334",1988,"A617",NA
"335",1988,"A620",NA
"336",1988,"A630",6.2
"337",1988,"A680",1.3
"338",1988,"A685",NA
"339",1988,"A690",1.1
"340",1988,"B484",3.8
"341",1988,"C320",1.35
"342",1988,"C370",NA
"343",1988,"D320",1.15
"344",1988,"G320",1.7
"345",1988,"KSHZ06",NA
"346",1988,"KTHA03",NA
