"","Year","Locator","deg. C"
"988",2005,"0474",10.7
"989",2005,"0478",10.15
"990",2005,"0484",11
"991",2005,"0631",10.15
"992",2005,"A315",10.9
"993",2005,"A320",10.35
"994",2005,"A432",11.2
"995",2005,"A456",11.65
"996",2005,"A499",10.75
"997",2005,"A617",10.4
"998",2005,"A620",12.2
"999",2005,"A630",10.8
"1000",2005,"A680",10.5
"1001",2005,"A685",9.4
"1002",2005,"A690",9.9
"1003",2005,"B484",10.9
"1004",2005,"C320",10.75
"1005",2005,"C370",11.45
"1006",2005,"D320",10.65
"1007",2005,"G320",10.9
"1008",2005,"KSHZ06",11.2
"1009",2005,"KTHA03",10.8
"1010",2005,"N484",10.5
"1011",2005,"VA12A",NA
"1012",2005,"VA41A",NA
"1013",2005,"VA42A",NA
"1014",2005,"VA45A",NA
"1015",2006,"0311",10.8
"1016",2006,"0317",11.975
"1017",2006,"0321",9.4
"1018",2006,"0322",9.25
"1019",2006,"0430",9.35
"1020",2006,"0434",10
"1021",2006,"0438",9.7
"1022",2006,"0440",10.7
"1023",2006,"0442",10.8
"1024",2006,"0444",11.375
"1025",2006,"0446",11.525
"1026",2006,"0470",9.55
"1027",2006,"0474",10
"1028",2006,"0478",9.45
"1029",2006,"0484",10.85
"1030",2006,"0631",8.35
"1031",2006,"A315",11.05
"1032",2006,"A320",9.45
"1033",2006,"A432",9.75
"1034",2006,"A456",11.25
"1035",2006,"A499",10.7
"1036",2006,"A617",8.05
"1037",2006,"A620",11.75
"1038",2006,"A630",8.5
"1039",2006,"A680",9.1
"1040",2006,"A685",9.05
"1041",2006,"A690",10
"1042",2006,"B484",11.2
"1043",2006,"C320",10.3
"1044",2006,"C370",10.4
"1045",2006,"D320",10.1
"1046",2006,"G320",11
"1047",2006,"KSHZ06",9.5
"1048",2006,"KTHA03",9.5
"1049",2006,"N484",10.4
"1050",2006,"VA12A",NA
"1051",2006,"VA41A",NA
"1052",2006,"VA42A",NA
"1053",2006,"VA45A",NA
"1054",2007,"0311",9.8
"1055",2007,"0317",11.25
"1056",2007,"0321",9.825
"1057",2007,"0322",9.925
"1058",2007,"0430",11
"1059",2007,"0434",11.3
"1060",2007,"0438",9.85
"1061",2007,"0440",10.05
"1062",2007,"0442",10.725
"1063",2007,"0444",10.775
"1064",2007,"0446",11.625
"1065",2007,"0470",10.375
"1066",2007,"0474",10.3
"1067",2007,"0478",10.55
"1068",2007,"0484",10.8
"1069",2007,"0631",9.775
"1070",2007,"A315",11.275
"1071",2007,"A320",9.7
"1072",2007,"A432",11.125
"1073",2007,"A456",11.375
"1074",2007,"A499",11.175
"1075",2007,"A617",9.825
"1076",2007,"A620",10.625
"1077",2007,"A630",10.45
"1078",2007,"A680",10.05
"1079",2007,"A685",8.98333333333333
"1080",2007,"A690",9.55
"1081",2007,"B484",10.25
"1082",2007,"C320",9.3
"1083",2007,"C370",9.7
"1084",2007,"D320",9.45
"1085",2007,"G320",9.65
"1086",2007,"KSHZ06",11.025
"1087",2007,"KTHA03",9.75
"1088",2007,"N484",9.75
"1089",2007,"VA12A",7.1
"1090",2007,"VA41A",7.7
"1091",2007,"VA42A",7.5
"1092",2007,"VA45A",8.9
"1093",2008,"0311",8.495
"1094",2008,"0317",11
"1095",2008,"0321",9.9
"1096",2008,"0322",9.015
"1097",2008,"0430",9.325
"1098",2008,"0434",9.79
"1099",2008,"0438",9.27
"1100",2008,"0440",9.445
"1101",2008,"0442",9.85
"1102",2008,"0444",10.165
"1103",2008,"0446",10.855
"1104",2008,"0470",10.6
"1105",2008,"0474",9.505
"1106",2008,"0478",9.48
"1107",2008,"0484",10.18
"1108",2008,"0631",8.81
"1109",2008,"A315",9.72
"1110",2008,"A320",9.4
"1111",2008,"A432",9.575
"1112",2008,"A456",10.38
"1113",2008,"A499",10.4
"1114",2008,"A617",8.505
"1115",2008,"A620",10.2275
"1116",2008,"A630",8.975
"1117",2008,"A680",9.12
"1118",2008,"A685",9.19
"1119",2008,"A690",8.64
"1120",2008,"B484",9.85
"1121",2008,"C320",9.655
"1122",2008,"C370",9.8
"1123",2008,"D320",9.725
"1124",2008,"G320",9.7325
"1125",2008,"KSHZ06",9.34
"1126",2008,"KTHA03",9.44
"1127",2008,"N484",9.19
"1128",2008,"VA12A",8.58
"1129",2008,"VA41A",8.665
"1130",2008,"VA42A",8.525
"1131",2008,"VA45A",9.0325
"1132",2009,"0311",NA
"1133",2009,"0317",11.03
"1134",2009,"0321",NA
"1135",2009,"0322",9.29
"1136",2009,"0430",10.425
"1137",2009,"0434",10.9
"1138",2009,"0438",9.765
"1139",2009,"0440",10.04
"1140",2009,"0442",NA
"1141",2009,"0444",NA
"1142",2009,"0446",11.56
"1143",2009,"0470",10.3425
"1144",2009,"0474",10.6
"1145",2009,"0478",10.375
"1146",2009,"0484",10.755
"1147",2009,"0631",10.275
"1148",2009,"A315",NA
"1149",2009,"A320",9.2475
"1150",2009,"A432",NA
"1151",2009,"A456",NA
"1152",2009,"A499",NA
"1153",2009,"A617",NA
"1154",2009,"A620",13.21
"1155",2009,"A630",NA
"1156",2009,"A680",10.295
"1157",2009,"A685",NA
"1158",2009,"A690",NA
"1159",2009,"B484",NA
"1160",2009,"C320",NA
"1161",2009,"C370",NA
"1162",2009,"D320",9.88
"1163",2009,"G320",NA
"1164",2009,"KSHZ06",10.7
"1165",2009,"KTHA03",NA
"1166",2009,"N484",NA
"1167",2009,"VA12A",9.59
"1168",2009,"VA41A",9.74
"1169",2009,"VA42A",9.69
"1170",2009,"VA45A",9.81
"1171",2010,"0311",NA
"1172",2010,"0317",10.225
"1173",2010,"0321",NA
"1174",2010,"0322",9.125
"1175",2010,"0430",9.23
"1176",2010,"0434",9.69
"1177",2010,"0438",10.03
"1178",2010,"0440",9.815
"1179",2010,"0442",NA
"1180",2010,"0444",NA
"1181",2010,"0446",10.4
"1182",2010,"0470",9.1075
"1183",2010,"0474",9.3025
"1184",2010,"0478",9.02
"1185",2010,"0484",9.415
"1186",2010,"0631",9.8275
"1187",2010,"A315",NA
"1188",2010,"A320",8.935
"1189",2010,"A432",NA
"1190",2010,"A456",NA
"1191",2010,"A499",NA
"1192",2010,"A617",NA
"1193",2010,"A620",NA
"1194",2010,"A630",NA
"1195",2010,"A680",9.9475
"1196",2010,"A685",NA
"1197",2010,"A690",NA
"1198",2010,"B484",NA
"1199",2010,"C320",NA
"1200",2010,"C370",NA
"1201",2010,"D320",9.6575
"1202",2010,"G320",NA
"1203",2010,"KSHZ06",9.7025
"1204",2010,"KTHA03",NA
"1205",2010,"N484",NA
"1206",2010,"VA12A",7.81
"1207",2010,"VA41A",7.95
"1208",2010,"VA42A",7.805
"1209",2010,"VA45A",8.405
"1210",2011,"0311",NA
"1211",2011,"0317",10.4275
"1212",2011,"0321",NA
"1213",2011,"0322",8.8225
"1214",2011,"0430",9.2175
"1215",2011,"0434",9.7775
"1216",2011,"0438",8.62
"1217",2011,"0440",9.2925
"1218",2011,"0442",NA
"1219",2011,"0444",NA
"1220",2011,"0446",9.63
"1221",2011,"0470",9.27
"1222",2011,"0474",9.22
"1223",2011,"0478",8.8525
"1224",2011,"0484",9.145
"1225",2011,"0631",8.69
"1226",2011,"A315",NA
"1227",2011,"A320",9.195
"1228",2011,"A432",NA
"1229",2011,"A456",NA
"1230",2011,"A499",NA
"1231",2011,"A617",NA
"1232",2011,"A620",NA
"1233",2011,"A630",NA
"1234",2011,"A680",8.5825
"1235",2011,"A685",NA
"1236",2011,"A690",NA
"1237",2011,"B484",NA
"1238",2011,"C320",NA
"1239",2011,"C370",NA
"1240",2011,"D320",9.2625
"1241",2011,"G320",NA
"1242",2011,"KSHZ06",9.3425
"1243",2011,"KTHA03",NA
"1244",2011,"N484",NA
"1245",2011,"VA12A",8.96
"1246",2011,"VA41A",9.215
"1247",2011,"VA42A",9.195
"1248",2011,"VA45A",9.165
"1249",2012,"0311",NA
"1250",2012,"0317",10.57
"1251",2012,"0321",NA
"1252",2012,"0322",9.61
"1253",2012,"0430",8.95
"1254",2012,"0434",9.6
"1255",2012,"0438",9.285
"1256",2012,"0440",10.555
"1257",2012,"0442",NA
"1258",2012,"0444",NA
"1259",2012,"0446",10.855
"1260",2012,"0470",9.65
"1261",2012,"0474",10.095
"1262",2012,"0478",9.13
"1263",2012,"0484",10.79
"1264",2012,"0631",9.65
"1265",2012,"A315",NA
"1266",2012,"A320",9.475
"1267",2012,"A432",NA
"1268",2012,"A456",NA
"1269",2012,"A499",NA
"1270",2012,"A617",NA
"1271",2012,"A620",NA
"1272",2012,"A630",NA
"1273",2012,"A680",9.905
"1274",2012,"A685",NA
"1275",2012,"A690",NA
"1276",2012,"B484",NA
"1277",2012,"C320",NA
"1278",2012,"C370",NA
"1279",2012,"D320",9.76
"1280",2012,"G320",NA
"1281",2012,"KSHZ06",9.17
"1282",2012,"KTHA03",NA
"1283",2012,"N484",NA
"1284",2012,"VA12A",8.87
"1285",2012,"VA41A",8.8
"1286",2012,"VA42A",8.9
"1287",2012,"VA45A",8.94
"1288",2013,"0311",NA
"1289",2013,"0317",13
"1290",2013,"0321",11.35
"1291",2013,"0322",11.1
"1292",2013,"0430",11.7
"1293",2013,"0434",12.55
"1294",2013,"0438",10.65
"1295",2013,"0440",11.75
"1296",2013,"0442",13.6
"1297",2013,"0444",14.85
"1298",2013,"0446",12.9
"1299",2013,"0470",11.75
"1300",2013,"0474",12.3
"1301",2013,"0478",11.6
"1302",2013,"0484",12.2
"1303",2013,"0631",12.15
"1304",2013,"A315",14.9
"1305",2013,"A320",11.25
"1306",2013,"A432",12.75
"1307",2013,"A456",13.8
"1308",2013,"A499",NA
"1309",2013,"A617",12.45
"1310",2013,"A620",12.995
"1311",2013,"A630",13.55
"1312",2013,"A680",11.55
"1313",2013,"A685",10.6
"1314",2013,"A690",NA
"1315",2013,"B484",13.8
"1316",2013,"C320",14.4
"1317",2013,"C370",14.5
"1318",2013,"D320",11.2
"1319",2013,"G320",14.95
"1320",2013,"KSHZ06",11.8
"1321",2013,"KTHA03",12.8
"1322",2013,"N484",14.4
"1323",2013,"VA12A",NA
"1324",2013,"VA41A",NA
"1325",2013,"VA42A",13.1
"1326",2013,"VA45A",NA
"1327",2014,"0311",NA
"1328",2014,"0317",12.85
"1329",2014,"0321",10.55
"1330",2014,"0322",11.65
"1331",2014,"0430",11.95
"1332",2014,"0434",12.75
"1333",2014,"0438",10.75
"1334",2014,"0440",12.3
"1335",2014,"0442",12.35
"1336",2014,"0444",12.4
"1337",2014,"0446",11.7
"1338",2014,"0470",11.9
"1339",2014,"0474",11.45
"1340",2014,"0478",11
"1341",2014,"0484",11.2
"1342",2014,"0631",10.95
"1343",2014,"A315",12.5
"1344",2014,"A320",11.6
"1345",2014,"A432",12.75
"1346",2014,"A456",11.5
"1347",2014,"A499",NA
"1348",2014,"A617",11.35
"1349",2014,"A620",11.75
"1350",2014,"A630",11.9
"1351",2014,"A680",10.85
"1352",2014,"A685",10.35
"1353",2014,"A690",NA
"1354",2014,"B484",11.1
"1355",2014,"C320",12.55
"1356",2014,"C370",11.4
"1357",2014,"D320",11.75
"1358",2014,"G320",12.55
"1359",2014,"KSHZ06",11.65
"1360",2014,"KTHA03",11.1
"1361",2014,"N484",11.15
"1362",2014,"VA12A",NA
"1363",2014,"VA41A",NA
"1364",2014,"VA42A",10.215
"1365",2014,"VA45A",NA
"1366",2015,"0311",10.75
"1367",2015,"0317",11.5
"1368",2015,"0321",9.42
"1369",2015,"0322",10.25
"1370",2015,"0430",10.95
"1371",2015,"0434",11.8
"1372",2015,"0438",9.8
"1373",2015,"0440",11.15
"1374",2015,"0442",11
"1375",2015,"0444",12.1
"1376",2015,"0446",11.725
"1377",2015,"0470",11.3
"1378",2015,"0474",11.35
"1379",2015,"0478",10.9
"1380",2015,"0484",11.95
"1381",2015,"0631",10.55
"1382",2015,"A315",11.15
"1383",2015,"A320",10.005
"1384",2015,"A432",11.6
"1385",2015,"A456",11.3
"1386",2015,"A499",11.1
"1387",2015,"A617",10.74
"1388",2015,"A620",11.8375
"1389",2015,"A630",11.15
"1390",2015,"A680",10.2
"1391",2015,"A685",9.95
"1392",2015,"A690",10.105
"1393",2015,"B484",12.8
"1394",2015,"C320",11.15
"1395",2015,"C370",11.35
"1396",2015,"D320",10.95
"1397",2015,"G320",11.1
"1398",2015,"KSHZ06",11.4
"1399",2015,"KTHA03",11.25
"1400",2015,"N484",12.4666666666667
"1401",2015,"VA12A",9.815
"1402",2015,"VA41A",10.04
"1403",2015,"VA42A",9.89
"1404",2015,"VA45A",10.07
"1405",2016,"0311",11.5
"1406",2016,"0317",11.85
"1407",2016,"0321",10.05
"1408",2016,"0322",10.8
"1409",2016,"0430",12.05
"1410",2016,"0434",12.6
"1411",2016,"0438",10.15
"1412",2016,"0440",11.8
"1413",2016,"0442",10.8
"1414",2016,"0444",12.25
"1415",2016,"0446",12
"1416",2016,"0470",11.85
"1417",2016,"0474",11.55
"1418",2016,"0478",11.3
"1419",2016,"0484",12.65
"1420",2016,"0631",11.35
"1421",2016,"A315",11.8
"1422",2016,"A320",11
"1423",2016,"A432",12.25
"1424",2016,"A456",11.4
"1425",2016,"A499",11.35
"1426",2016,"A617",11.8
"1427",2016,"A620",11.5375
"1428",2016,"A630",12.25
"1429",2016,"A680",10.55
"1430",2016,"A685",9.7
"1431",2016,"A690",9.85
"1432",2016,"B484",12.85
"1433",2016,"C320",11.6
"1434",2016,"C370",11.6
"1435",2016,"D320",11.5
"1436",2016,"G320",12.1
"1437",2016,"KSHZ06",11.6
"1438",2016,"KTHA03",11.25
"1439",2016,"N484",11.45
"1440",2016,"VA12A",9.3
"1441",2016,"VA41A",9.6
"1442",2016,"VA42A",9.55
"1443",2016,"VA45A",10.05
"1444",2017,"0311",10.1
"1445",2017,"0317",10.8
"1446",2017,"0321",9.65
"1447",2017,"0322",9.9
"1448",2017,"0430",10.35
"1449",2017,"0434",10.9
"1450",2017,"0438",9.75
"1451",2017,"0440",11.6
"1452",2017,"0442",10
"1453",2017,"0444",11
"1454",2017,"0446",10.5
"1455",2017,"0470",9.75
"1456",2017,"0474",10
"1457",2017,"0478",9.9
"1458",2017,"0484",10.4
"1459",2017,"0631",10.55
"1460",2017,"A315",10.65
"1461",2017,"A320",9.85
"1462",2017,"A432",11.65
"1463",2017,"A456",10.35
"1464",2017,"A499",11
"1465",2017,"A617",11
"1466",2017,"A620",10.2
"1467",2017,"A630",11.6
"1468",2017,"A680",10
"1469",2017,"A685",9.8
"1470",2017,"A690",8.95
"1471",2017,"B484",11.3
"1472",2017,"C320",10.65
"1473",2017,"C370",10.5
"1474",2017,"D320",10.7
"1475",2017,"G320",11.35
"1476",2017,"KSHZ06",11.1
"1477",2017,"KTHA03",10.8
"1478",2017,"N484",9.8
"1479",2017,"VA12A",8.9
"1480",2017,"VA41A",9.05
"1481",2017,"VA42A",9
"1482",2017,"VA45A",10.05
"1483",2018,"0311",9.95
"1484",2018,"0317",11.25
"1485",2018,"0321",9.65
"1486",2018,"0322",9.45
"1487",2018,"0430",10.45
"1488",2018,"0434",11.25
"1489",2018,"0438",9.35
"1490",2018,"0440",10.55
"1491",2018,"0442",9.85
"1492",2018,"0444",11.1
"1493",2018,"0446",10.75
"1494",2018,"0470",10.35
"1495",2018,"0474",10.3
"1496",2018,"0478",10
"1497",2018,"0484",10.775
"1498",2018,"0631",10
"1499",2018,"A315",10.2
"1500",2018,"A320",9.5
"1501",2018,"A432",10.9
"1502",2018,"A456",10.8
"1503",2018,"A499",11.2
"1504",2018,"A617",10.4
"1505",2018,"A620",10.1
"1506",2018,"A630",10.55
"1507",2018,"A680",10.1
"1508",2018,"A685",9.8
"1509",2018,"A690",9.2
"1510",2018,"B484",11.05
"1511",2018,"C320",9.9
"1512",2018,"C370",10.15
"1513",2018,"D320",10.25
"1514",2018,"G320",10.15
"1515",2018,"KSHZ06",11
"1516",2018,"KTHA03",10.5
"1517",2018,"N484",10.3
"1518",2018,"VA12A",8.8
"1519",2018,"VA41A",8.9
"1520",2018,"VA42A",8.75
"1521",2018,"VA45A",9.6
"1522",2019,"0311",10.6
"1523",2019,"0317",11.925
"1524",2019,"0321",9.8
"1525",2019,"0322",9.8
"1526",2019,"0430",11.45
"1527",2019,"0434",12
"1528",2019,"0438",10.4
"1529",2019,"0440",11.15
"1530",2019,"0442",10.4
"1531",2019,"0444",12.3
"1532",2019,"0446",11.8
"1533",2019,"0470",11.1
"1534",2019,"0474",11.45
"1535",2019,"0478",11.15
"1536",2019,"0484",11.65
"1537",2019,"0631",11
"1538",2019,"A315",11.8
"1539",2019,"A320",10.2
"1540",2019,"A432",12.2
"1541",2019,"A456",11.5
"1542",2019,"A499",10.85
"1543",2019,"A617",11.4
"1544",2019,"A620",11.55
"1545",2019,"A630",11.65
"1546",2019,"A680",10.6
"1547",2019,"A685",9.75
"1548",2019,"A690",9.75
"1549",2019,"B484",11.85
"1550",2019,"C320",10.6
"1551",2019,"C370",11.3
"1552",2019,"D320",10.9
"1553",2019,"G320",11.25
"1554",2019,"KSHZ06",11.8
"1555",2019,"KTHA03",11.35
"1556",2019,"N484",11
"1557",2019,"VA12A",9.35
"1558",2019,"VA41A",9.75
"1559",2019,"VA42A",9.55
"1560",2019,"VA45A",10.6
"1561",2020,"0311",11.3
"1562",2020,"0317",11.4
"1563",2020,"0321",9.9
"1564",2020,"0322",9.3
"1565",2020,"0430",11.5
"1566",2020,"0434",11.6
"1567",2020,"0438",10.6
"1568",2020,"0440",10.8
"1569",2020,"0442",10.7
"1570",2020,"0444",9.9
"1571",2020,"0446",12
"1572",2020,"0470",10.5
"1573",2020,"0474",9.5
"1574",2020,"0478",9.4
"1575",2020,"0484",9.4
"1576",2020,"0631",10.2
"1577",2020,"A315",10.4
"1578",2020,"A320",9.7
"1579",2020,"A432",12.1
"1580",2020,"A456",11.9
"1581",2020,"A499",10.8
"1582",2020,"A617",10.8
"1583",2020,"A620",9.7
"1584",2020,"A630",11.3
"1585",2020,"A680",9.3
"1586",2020,"A685",9.4
"1587",2020,"A690",8.9
"1588",2020,"B484",8.9
"1589",2020,"C320",9.5
"1590",2020,"C370",11.2
"1591",2020,"D320",10.4
"1592",2020,"G320",11.1
"1593",2020,"KSHZ06",11.5
"1594",2020,"KTHA03",11.3
"1595",2020,"N484",9.1
"1596",2020,"VA12A",9.7
"1597",2020,"VA41A",10.2
"1598",2020,"VA42A",9.9
"1599",2020,"VA45A",11
"1600",2021,"0311",10.91
"1601",2021,"0317",11.95
"1602",2021,"0321",9.7375
"1603",2021,"0322",10.45
"1604",2021,"0430",11.4
"1605",2021,"0434",12.6
"1606",2021,"0438",9.845
"1607",2021,"0440",12.55
"1608",2021,"0442",10.355
"1609",2021,"0444",11.8
"1610",2021,"0446",11.295
"1611",2021,"0470",11.6
"1612",2021,"0474",9.71
"1613",2021,"0478",9.405
"1614",2021,"0484",NA
"1615",2021,"0631",10.795
"1616",2021,"A315",11.04
"1617",2021,"A320",9.905
"1618",2021,"A432",12
"1619",2021,"A456",11.4
"1620",2021,"A499",11.45
"1621",2021,"A617",10.51
"1622",2021,"A620",9.305
"1623",2021,"A630",12.45
"1624",2021,"A680",9.09
"1625",2021,"A685",9.095
"1626",2021,"A690",8.875
"1627",2021,"B484",11.6
"1628",2021,"C320",11.2
"1629",2021,"C370",10.76
"1630",2021,"D320",11.45
"1631",2021,"G320",12
"1632",2021,"KSHZ06",11.65
"1633",2021,"KTHA03",11.25
"1634",2021,"N484",11.035
"1635",2021,"VA12A",9.085
"1636",2021,"VA41A",9.29
"1637",2021,"VA42A",9.255
"1638",2021,"VA45A",9.53
"1639",2022,"0311",8.79
"1640",2022,"0317",9.795
"1641",2022,"0321",9.05
"1642",2022,"0322",8.3
"1643",2022,"0430",10.085
"1644",2022,"0434",10.24
"1645",2022,"0438",8.5425
"1646",2022,"0440",9.37
"1647",2022,"0442",9.28
"1648",2022,"0444",9.585
"1649",2022,"0446",10.02
"1650",2022,"0470",9.36
"1651",2022,"0474",8.925
"1652",2022,"0478",8.6
"1653",2022,"0484",NA
"1654",2022,"0631",8.955
"1655",2022,"A315",8.7
"1656",2022,"A320",8.54
"1657",2022,"A432",11.05
"1658",2022,"A456",10.385
"1659",2022,"A499",9.985
"1660",2022,"A617",9.29
"1661",2022,"A620",9.095
"1662",2022,"A630",9.695
"1663",2022,"A680",8.78
"1664",2022,"A685",8.995
"1665",2022,"A690",8.77
"1666",2022,"B484",9.105
"1667",2022,"C320",8.705
"1668",2022,"C370",9.03
"1669",2022,"D320",9.405
"1670",2022,"G320",9.425
"1671",2022,"KSHZ06",10.65
"1672",2022,"KTHA03",10.23
"1673",2022,"N484",8.45
"1674",2022,"VA12A",7.965
"1675",2022,"VA41A",8.045
"1676",2022,"VA42A",7.885
"1677",2022,"VA45A",8.805
