"","Year","Locator","Z_scores"
"1",1980,"0311",1.42169451204394
"2",1980,"0317",1.72435234683386
"3",1980,"0321",-0.814801879868876
"4",1980,"0322",-0.717753844043888
"5",1980,"0430",-0.591485421431208
"6",1980,"0434",-0.553523324696007
"7",1980,"0438",0.945121776962602
"8",1980,"0440",0.432774448238839
"9",1980,"0442",-0.277484075745594
"10",1980,"0444",0.360367988320634
"11",1980,"0446",0.455510246534788
"12",1980,"0470",2.60695961462233
"13",1980,"0474",2.34645045166702
"14",1980,"0478",0.239945400204425
"15",1980,"0484",2.42530154575365
"16",1980,"0631",2.64913248273651
"17",1980,"A315",2.3876761605006
"18",1980,"A320",0.836682058372031
"19",1980,"A432",-0.098341333660238
"20",1980,"A456",-0.611440271511574
"21",1980,"A499",0.591061478809917
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",-0.853594791752808
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",0.981426914228021
"29",1980,"C320",-0.348825597228427
"30",1980,"C370",1.34551827941822
"31",1980,"D320",0.662718216241393
"32",1980,"G320",1.76206057124724
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"LSIN1",NA
"36",1980,"LSIN9",NA
"37",1980,"N484",0.956936916058097
"38",1980,"VA12A",NA
"39",1980,"VA41A",NA
"40",1980,"VA42A",NA
"41",1980,"VA45A",NA
"42",1981,"0311",1.16098402136804
"43",1981,"0317",2.17483084037199
"44",1981,"0321",-1.13561513791666
"45",1981,"0322",-0.455561891895859
"46",1981,"0430",0.412631214456596
"47",1981,"0434",-0.553523324696007
"48",1981,"0438",-0.155076686115037
"49",1981,"0440",0.149531284747109
"50",1981,"0442",-0.277284178897595
"51",1981,"0444",1.53300920659032
"52",1981,"0446",1.26110221346197
"53",1981,"0470",1.45062215513403
"54",1981,"0474",2.67157922187978
"55",1981,"0478",0.455245686848037
"56",1981,"0484",1.3705971543839
"57",1981,"0631",1.15076676003147
"58",1981,"A315",1.46615370895794
"59",1981,"A320",0.00509603303859078
"60",1981,"A432",-0.302317393474933
"61",1981,"A456",0.39361327743193
"62",1981,"A499",0.225847581085824
"63",1981,"A617",NA
"64",1981,"A620",NA
"65",1981,"A630",-0.271230491828327
"66",1981,"A680",NA
"67",1981,"A685",NA
"68",1981,"A690",NA
"69",1981,"B484",1.44340795657996
"70",1981,"C320",-1.01051563703462
"71",1981,"C370",1.75936114960308
"72",1981,"D320",0.383613608802703
"73",1981,"G320",1.86686456963943
"74",1981,"KSHZ06",NA
"75",1981,"KTHA03",NA
"76",1981,"LSIN1",NA
"77",1981,"LSIN9",NA
"78",1981,"N484",3.04899039780753
"79",1981,"VA12A",NA
"80",1981,"VA41A",NA
"81",1981,"VA42A",NA
"82",1981,"VA45A",NA
"83",1982,"0311",-0.409077095590056
"84",1982,"0317",2.77053994620861
"85",1982,"0321",-1.3242367747136
"86",1982,"0322",-0.926293718750184
