"","Year","Locator","mg/L"
"229",1985,"A630",6
"230",1985,"A680",NA
"231",1985,"A685",NA
"232",1985,"A690",NA
"233",1985,"B484",5.835
"234",1985,"C320",2.255
"235",1985,"C370",NA
"236",1985,"D320",2.495
"237",1985,"G320",4.67
"238",1985,"KSHZ06",NA
"239",1985,"KTHA03",NA
"240",1985,"LSIN1",NA
"241",1985,"LSIN9",NA
"242",1985,"N484",4.67
"243",1985,"VA12A",NA
"244",1985,"VA41A",NA
"245",1985,"VA42A",NA
"246",1985,"VA45A",NA
"247",1986,"0311",6
"248",1986,"0317",16.9
"249",1986,"0321",NA
"250",1986,"0322",5
"251",1986,"0430",5
"252",1986,"0434",6.35
"253",1986,"0438",NA
"254",1986,"0440",4.67
"255",1986,"0442",4.67
"256",1986,"0444",5.33
"257",1986,"0446",7.4
"258",1986,"0470",4.67
"259",1986,"0474",9.33
"260",1986,"0478",6.33
"261",1986,"0484",8.67
"262",1986,"0631",4.01
"263",1986,"A315",9.33
"264",1986,"A320",3
"265",1986,"A432",7.8
"266",1986,"A456",6.4
"267",1986,"A499",6
"268",1986,"A617",NA
"269",1986,"A620",NA
"270",1986,"A630",5.99
"271",1986,"A680",NA
"272",1986,"A685",NA
"273",1986,"A690",NA
"274",1986,"B484",15.7
"275",1986,"C320",2.34
"276",1986,"C370",NA
"277",1986,"D320",2.33
"278",1986,"G320",5.67
"279",1986,"KSHZ06",NA
"280",1986,"KTHA03",NA
"281",1986,"LSIN1",NA
"282",1986,"LSIN9",NA
"283",1986,"N484",5.01
"284",1986,"VA12A",NA
"285",1986,"VA41A",NA
"286",1986,"VA42A",NA
"287",1986,"VA45A",NA
"288",1987,"0311",7.5
"289",1987,"0317",18.275
"290",1987,"0321",NA
"291",1987,"0322",3.67
"292",1987,"0430",3.835
"293",1987,"0434",4.5
"294",1987,"0438",NA
"295",1987,"0440",3.5
"296",1987,"0442",3.5
"297",1987,"0444",5.835
"298",1987,"0446",3.835
"299",1987,"0470",6
"300",1987,"0474",7.5
"301",1987,"0478",5
"302",1987,"0484",8.8325
"303",1987,"0631",3.83
"304",1987,"A315",7.415
"305",1987,"A320",4.5
"306",1987,"A432",8.5
"307",1987,"A456",4.335
"308",1987,"A499",6.165
"309",1987,"A617",NA
"310",1987,"A620",NA
"311",1987,"A630",5.8
"312",1987,"A680",NA
"313",1987,"A685",NA
"314",1987,"A690",NA
"315",1987,"B484",8.665
"316",1987,"C320",2.335
"317",1987,"C370",NA
"318",1987,"D320",2
"319",1987,"G320",3.265
"320",1987,"KSHZ06",NA
"321",1987,"KTHA03",NA
"322",1987,"LSIN1",NA
"323",1987,"LSIN9",NA
"324",1987,"N484",4
"325",1987,"VA12A",NA
"326",1987,"VA41A",NA
"327",1987,"VA42A",NA
"328",1987,"VA45A",NA
"329",1988,"0311",4.5
"330",1988,"0317",14
"331",1988,"0321",NA
"332",1988,"0322",3.485
"333",1988,"0430",2.535
"334",1988,"0434",2.67
"335",1988,"0438",NA
"336",1988,"0440",4.335
"337",1988,"0442",2.835
"338",1988,"0444",5.25
"339",1988,"0446",4.33
"340",1988,"0470",4.165
"341",1988,"0474",4.5
"342",1988,"0478",4
"343",1988,"0484",7.835
"344",1988,"0631",4.5
"345",1988,"A315",7.335
"346",1988,"A320",4
"347",1988,"A432",7.17
"348",1988,"A456",3
"349",1988,"A499",5.835
"350",1988,"A617",NA
"351",1988,"A620",NA
"352",1988,"A630",3.52
"353",1988,"A680",2.67
"354",1988,"A685",NA
"355",1988,"A690",2.33
"356",1988,"B484",6.83
"357",1988,"C320",2.835
"358",1988,"C370",NA
"359",1988,"D320",2.31
"360",1988,"G320",3.02
"361",1988,"KSHZ06",NA
"362",1988,"KTHA03",NA
"363",1988,"LSIN1",NA
"364",1988,"LSIN9",NA
"365",1988,"N484",4.5
"366",1988,"VA12A",NA
"367",1988,"VA41A",NA
"368",1988,"VA42A",NA
"369",1988,"VA45A",NA
"370",1989,"0311",7.775
"371",1989,"0317",18.35
"372",1989,"0321",NA
"373",1989,"0322",6.29
"374",1989,"0430",5.9
"375",1989,"0434",4.665
"376",1989,"0438",NA
"377",1989,"0440",6.4
"378",1989,"0442",7.4
"379",1989,"0444",4.75
"380",1989,"0446",2.4
"381",1989,"0470",2.9
"382",1989,"0474",4.4
"383",1989,"0478",6.1
"384",1989,"0484",9.2425
"385",1989,"0631",5.75
"386",1989,"A315",17.75
"387",1989,"A320",5.2
"388",1989,"A432",9.0425
"389",1989,"A456",3
"390",1989,"A499",7.1
"391",1989,"A617",NA
"392",1989,"A620",NA
"393",1989,"A630",5.155
"394",1989,"A680",NA
"395",1989,"A685",NA
"396",1989,"A690",NA
"397",1989,"B484",5
"398",1989,"C320",4
"399",1989,"C370",NA
"400",1989,"D320",3.35
"401",1989,"G320",4.015
"402",1989,"KSHZ06",5
"403",1989,"KTHA03",3.8
"404",1989,"LSIN1",NA
"405",1989,"LSIN9",NA
"406",1989,"N484",5.495
"407",1989,"VA12A",NA
"408",1989,"VA41A",NA
"409",1989,"VA42A",NA
"410",1989,"VA45A",NA
"411",1990,"0311",7.4
"412",1990,"0317",21.3
"413",1990,"0321",NA
"414",1990,"0322",5
"415",1990,"0430",2.33
"416",1990,"0434",3.48
"417",1990,"0438",NA
"418",1990,"0440",2.4
"419",1990,"0442",4.4
"420",1990,"0444",5.155
"421",1990,"0446",4.56
"422",1990,"0470",2.5
"423",1990,"0474",6.8
"424",1990,"0478",5.83
"425",1990,"0484",9.75
"426",1990,"0631",7.7
"427",1990,"A315",10.5
"428",1990,"A320",3.74
"429",1990,"A432",10.675
"430",1990,"A456",2.8
"431",1990,"A499",4.89
"432",1990,"A617",NA
"433",1990,"A620",NA
"434",1990,"A630",5.2
"435",1990,"A680",NA
"436",1990,"A685",NA
"437",1990,"A690",NA
"438",1990,"B484",5.18
"439",1990,"C320",3.33
"440",1990,"C370",NA
"441",1990,"D320",2.8
"442",1990,"G320",3.77
"443",1990,"KSHZ06",3.71
"444",1990,"KTHA03",3.4
"445",1990,"LSIN1",NA
"446",1990,"LSIN9",NA
"447",1990,"N484",4
"448",1990,"VA12A",NA
"449",1990,"VA41A",NA
"450",1990,"VA42A",NA
"451",1990,"VA45A",NA
"452",1991,"0311",9
"453",1991,"0317",24
"454",1991,"0321",NA
"455",1991,"0322",7.1
"456",1991,"0430",3.4
"457",1991,"0434",5
"458",1991,"0438",NA
"459",1991,"0440",6.31
"460",1991,"0442",40.5333333333333
"461",1991,"0444",15.7333333333333
"462",1991,"0446",12.715
"463",1991,"0470",3.6
"464",1991,"0474",4.8
"465",1991,"0478",5.2
"466",1991,"0484",9.555
"467",1991,"0631",17
"468",1991,"A315",11.3
"469",1991,"A320",12.9333333333333
"470",1991,"A432",15.5
"471",1991,"A456",3
"472",1991,"A499",6.4
"473",1991,"A617",NA
"474",1991,"A620",NA
"475",1991,"A630",6
"476",1991,"A680",NA
"477",1991,"A685",NA
"478",1991,"A690",NA
"479",1991,"B484",4.8
"480",1991,"C320",3.035
"481",1991,"C370",NA
"482",1991,"D320",2.81
"483",1991,"G320",2.8
"484",1991,"KSHZ06",3.2
"485",1991,"KTHA03",4
"486",1991,"LSIN1",NA
"487",1991,"LSIN9",NA
"488",1991,"N484",3
"489",1991,"VA12A",NA
"490",1991,"VA41A",NA
"491",1991,"VA42A",NA
"492",1991,"VA45A",NA
"493",1992,"0311",6.1
"494",1992,"0317",13.25
"495",1992,"0321",NA
"496",1992,"0322",3.1675
"497",1992,"0430",5.45
"498",1992,"0434",3.605
"499",1992,"0438",NA
"500",1992,"0440",3.825
"501",1992,"0442",2.6
"502",1992,"0444",4.5
"503",1992,"0446",4
"504",1992,"0470",3.7
"505",1992,"0474",4.345
"506",1992,"0478",5.5
"507",1992,"0484",9.25
"508",1992,"0631",3.5
"509",1992,"A315",4.6
"510",1992,"A320",3.4
"511",1992,"A432",6.675
"512",1992,"A456",4.45
"513",1992,"A499",4.35
"514",1992,"A617",NA
"515",1992,"A620",NA
"516",1992,"A630",5
"517",1992,"A680",NA
"518",1992,"A685",NA
"519",1992,"A690",NA
"520",1992,"B484",3.675
"521",1992,"C320",3.2
"522",1992,"C370",NA
"523",1992,"D320",2.35
"524",1992,"G320",4.4
"525",1992,"KSHZ06",2.7
"526",1992,"KTHA03",2.45
"527",1992,"LSIN1",NA
"528",1992,"LSIN9",NA
"529",1992,"N484",2.7
"530",1992,"VA12A",NA
"531",1992,"VA41A",NA
"532",1992,"VA42A",NA
"533",1992,"VA45A",NA
"534",1993,"0311",6.45
"535",1993,"0317",8.7
"536",1993,"0321",4
"537",1993,"0322",5.1
"538",1993,"0430",8.2
"539",1993,"0434",6.1
"540",1993,"0438",NA
"541",1993,"0440",4
"542",1993,"0442",2.9
"543",1993,"0444",3.5
"544",1993,"0446",8.55
"545",1993,"0470",4.95
"546",1993,"0474",6.55
"547",1993,"0478",10.3475
"548",1993,"0484",7.9
"549",1993,"0631",5.05
"550",1993,"A315",4.55
"551",1993,"A320",3.6
"552",1993,"A432",8
"553",1993,"A456",4.3
"554",1993,"A499",8.55
"555",1993,"A617",NA
"556",1993,"A620",NA
"557",1993,"A630",6.2
"558",1993,"A680",NA
"559",1993,"A685",NA
"560",1993,"A690",NA
"561",1993,"B484",5
"562",1993,"C320",1.85
"563",1993,"C370",NA
"564",1993,"D320",2.5
"565",1993,"G320",3.6
"566",1993,"KSHZ06",5.2
"567",1993,"KTHA03",2.55
"568",1993,"LSIN1",NA
"569",1993,"LSIN9",NA
"570",1993,"N484",5.8
"571",1993,"VA12A",NA
"572",1993,"VA41A",NA
"573",1993,"VA42A",NA
"574",1993,"VA45A",NA
"575",1994,"0311",5.05
"576",1994,"0317",9.225
"577",1994,"0321",2.9
"578",1994,"0322",3.6
"579",1994,"0430",4.325
"580",1994,"0434",3.7
"581",1994,"0438",NA
"582",1994,"0440",3.8
"583",1994,"0442",1.8
"584",1994,"0444",3.4
"585",1994,"0446",5.775
"586",1994,"0470",4.65
"587",1994,"0474",4.8
"588",1994,"0478",5.6
"589",1994,"0484",6.6
"590",1994,"0631",5.1
"591",1994,"A315",5.2
"592",1994,"A320",3.8
"593",1994,"A432",6.4
"594",1994,"A456",6.9
"595",1994,"A499",5.55
"596",1994,"A617",NA
"597",1994,"A620",NA
"598",1994,"A630",3.85
"599",1994,"A680",NA
"600",1994,"A685",NA
"601",1994,"A690",NA
"602",1994,"B484",4.3
"603",1994,"C320",2.7
"604",1994,"C370",NA
"605",1994,"D320",4.6
"606",1994,"G320",5.2
"607",1994,"KSHZ06",3.3
"608",1994,"KTHA03",1.9
"609",1994,"LSIN1",NA
"610",1994,"LSIN9",NA
"611",1994,"N484",5
"612",1994,"VA12A",NA
"613",1994,"VA41A",NA
"614",1994,"VA42A",NA
"615",1994,"VA45A",NA
"616",1995,"0311",4.4
