"","Year","Locator","mg/L"
"985",2004,"0311",5.2
"986",2004,"0317",7.5
"987",2004,"0321",4.15
"988",2004,"0322",3.38
"989",2004,"0430",2.6
"990",2004,"0434",5.3
"991",2004,"0438",3.15
"992",2004,"0440",3.35
"993",2004,"0442",2.355
"994",2004,"0444",3.75
"995",2004,"0446",1.595
"996",2004,"0470",1.925
"997",2004,"0474",3.4
"998",2004,"0478",3.8
"999",2004,"0484",4.85
"1000",2004,"0631",5.1
"1001",2004,"A315",5.7025
"1002",2004,"A320",4.8
"1003",2004,"A432",7.325
"1004",2004,"A456",6.175
"1005",2004,"A499",7.85
"1006",2004,"A617",1.1
"1007",2004,"A620",0.675
"1008",2004,"A630",4.3
"1009",2004,"A680",4.45
"1010",2004,"A685",3.75
"1011",2004,"A690",2.6
"1012",2004,"B484",2.7
"1013",2004,"C320",1.6
"1014",2004,"C370",2.3
"1015",2004,"D320",2.4
"1016",2004,"G320",3.23
"1017",2004,"KSHZ06",2.1
"1018",2004,"KTHA03",4.47
"1019",2004,"LSIN1",NA
"1020",2004,"LSIN9",NA
"1021",2004,"N484",3.1
"1022",2004,"VA12A",NA
"1023",2004,"VA41A",NA
"1024",2004,"VA42A",NA
"1025",2004,"VA45A",NA
"1026",2005,"0311",4.5
"1027",2005,"0317",4.775
"1028",2005,"0321",3.15
"1029",2005,"0322",2.4
"1030",2005,"0430",4.355
"1031",2005,"0434",8.4
"1032",2005,"0438",3
"1033",2005,"0440",2.45
"1034",2005,"0442",1.35
"1035",2005,"0444",1.25
"1036",2005,"0446",2.6575
"1037",2005,"0470",2.885
"1038",2005,"0474",4.17
"1039",2005,"0478",4.35
"1040",2005,"0484",5.75
"1041",2005,"0631",3.585
"1042",2005,"A315",7.15
"1043",2005,"A320",3
"1044",2005,"A432",9.445
"1045",2005,"A456",4.35
"1046",2005,"A499",6.15
"1047",2005,"A617",1.675
"1048",2005,"A620",0.615
"1049",2005,"A630",3.365
"1050",2005,"A680",4.75
"1051",2005,"A685",2.475
"1052",2005,"A690",3.075
"1053",2005,"B484",3.7
"1054",2005,"C320",1.45
"1055",2005,"C370",1.35
"1056",2005,"D320",2.6
"1057",2005,"G320",3.2
"1058",2005,"KSHZ06",3.19
"1059",2005,"KTHA03",5.605
"1060",2005,"LSIN1",NA
"1061",2005,"LSIN9",NA
"1062",2005,"N484",2.885
"1063",2005,"VA12A",NA
"1064",2005,"VA41A",NA
"1065",2005,"VA42A",NA
"1066",2005,"VA45A",NA
"1067",2006,"0311",5.3
"1068",2006,"0317",6.2
"1069",2006,"0321",3.335
"1070",2006,"0322",3.4
"1071",2006,"0430",3.475
"1072",2006,"0434",10.9
"1073",2006,"0438",3.25
"1074",2006,"0440",2.75
"1075",2006,"0442",1.5
"1076",2006,"0444",2.265
"1077",2006,"0446",2.29
"1078",2006,"0470",3.65
"1079",2006,"0474",4.45
"1080",2006,"0478",4.055
"1081",2006,"0484",7.175
"1082",2006,"0631",5.765
"1083",2006,"A315",4.3
"1084",2006,"A320",3.3
"1085",2006,"A432",10.7
"1086",2006,"A456",4.15
"1087",2006,"A499",6.2
"1088",2006,"A617",1.77
"1089",2006,"A620",0.5
"1090",2006,"A630",2.625
"1091",2006,"A680",2.05
"1092",2006,"A685",3.025
"1093",2006,"A690",2.2
"1094",2006,"B484",4.05
"1095",2006,"C320",1.9
"1096",2006,"C370",2.2
"1097",2006,"D320",2.4
"1098",2006,"G320",3.1
"1099",2006,"KSHZ06",4.995
"1100",2006,"KTHA03",5.2
"1101",2006,"LSIN1",NA
"1102",2006,"LSIN9",NA
"1103",2006,"N484",3.9
"1104",2006,"VA12A",NA
"1105",2006,"VA41A",NA
"1106",2006,"VA42A",NA
"1107",2006,"VA45A",NA
"1108",2007,"0311",6.3
"1109",2007,"0317",6.42
"1110",2007,"0321",4.8
"1111",2007,"0322",4.15
"1112",2007,"0430",4.725
"1113",2007,"0434",10.85
"1114",2007,"0438",4.925
"1115",2007,"0440",4.7775
"1116",2007,"0442",2.1
"1117",2007,"0444",2.15
"1118",2007,"0446",4.6
"1119",2007,"0470",6.57
"1120",2007,"0474",9.3
"1121",2007,"0478",5.8
"1122",2007,"0484",5.2
"1123",2007,"0631",6.95
"1124",2007,"A315",6.3325
"1125",2007,"A320",4.2
"1126",2007,"A432",9.55
"1127",2007,"A456",6.08
"1128",2007,"A499",7.8675
"1129",2007,"A617",1.725
"1130",2007,"A620",1.6
"1131",2007,"A630",3.15
"1132",2007,"A680",3.75
"1133",2007,"A685",2.875
"1134",2007,"A690",6.15
"1135",2007,"B484",3.185
"1136",2007,"C320",1.85
"1137",2007,"C370",3.65
"1138",2007,"D320",1.85
"1139",2007,"G320",2.75
"1140",2007,"KSHZ06",5.55
"1141",2007,"KTHA03",5.95
"1142",2007,"LSIN1",1.2
"1143",2007,"LSIN9",1.2
"1144",2007,"N484",3.8
"1145",2007,"VA12A",4.42
"1146",2007,"VA41A",13.9
"1147",2007,"VA42A",4.46
"1148",2007,"VA45A",1.7
"1149",2008,"0311",6.35
"1150",2008,"0317",6.275
"1151",2008,"0321",5.4
"1152",2008,"0322",3.95
"1153",2008,"0430",4.855
"1154",2008,"0434",4.7
"1155",2008,"0438",2.6
"1156",2008,"0440",3.75
"1157",2008,"0442",2.15
"1158",2008,"0444",2.6
"1159",2008,"0446",3.95
"1160",2008,"0470",5
"1161",2008,"0474",5.35
"1162",2008,"0478",4.47
"1163",2008,"0484",4.365
"1164",2008,"0631",6.2
"1165",2008,"A315",6.55
"1166",2008,"A320",3.85
"1167",2008,"A432",7.81
"1168",2008,"A456",2.95
"1169",2008,"A499",6.05
"1170",2008,"A617",1.3
"1171",2008,"A620",1.2
"1172",2008,"A630",5.995
"1173",2008,"A680",1.85
"1174",2008,"A685",2.65
"1175",2008,"A690",2.65
"1176",2008,"B484",4.225
"1177",2008,"C320",2.4
"1178",2008,"C370",2.35
"1179",2008,"D320",2.7
"1180",2008,"G320",3.1
"1181",2008,"KSHZ06",2.285
"1182",2008,"KTHA03",1.75
"1183",2008,"LSIN1",1.6
"1184",2008,"LSIN9",1.3
"1185",2008,"N484",3.45
"1186",2008,"VA12A",3.3
"1187",2008,"VA41A",7.26
"1188",2008,"VA42A",4.35
"1189",2008,"VA45A",1.275
"1190",2009,"0311",NA
"1191",2009,"0317",7.15
"1192",2009,"0321",NA
"1193",2009,"0322",3.95
"1194",2009,"0430",5.95
"1195",2009,"0434",6.055
"1196",2009,"0438",2.425
"1197",2009,"0440",4.55
"1198",2009,"0442",NA
"1199",2009,"0444",NA
"1200",2009,"0446",4.65
"1201",2009,"0470",5.3
"1202",2009,"0474",5.15
"1203",2009,"0478",4.6375
"1204",2009,"0484",4.3
"1205",2009,"0631",7.75
"1206",2009,"A315",NA
"1207",2009,"A320",5.2
"1208",2009,"A432",NA
"1209",2009,"A456",NA
"1210",2009,"A499",NA
"1211",2009,"A617",NA
"1212",2009,"A620",NA
"1213",2009,"A630",NA
"1214",2009,"A680",2.255
"1215",2009,"A685",NA
"1216",2009,"A690",NA
"1217",2009,"B484",NA
"1218",2009,"C320",NA
"1219",2009,"C370",NA
"1220",2009,"D320",2.5
"1221",2009,"G320",NA
"1222",2009,"KSHZ06",6.12
"1223",2009,"KTHA03",NA
"1224",2009,"LSIN1",1.4
"1225",2009,"LSIN9",1.3
"1226",2009,"N484",NA
"1227",2009,"VA12A",9.3
"1228",2009,"VA41A",8.6
"1229",2009,"VA42A",3.7
"1230",2009,"VA45A",3.4
"1231",2010,"0311",NA
"1232",2010,"0317",8.2075
"1233",2010,"0321",NA
"1234",2010,"0322",6.95
"1235",2010,"0430",6.9
"1236",2010,"0434",7.175
"1237",2010,"0438",3.6
"1238",2010,"0440",6.9
"1239",2010,"0442",NA
"1240",2010,"0444",NA
"1241",2010,"0446",9.2
"1242",2010,"0470",5.65
"1243",2010,"0474",5.15
"1244",2010,"0478",6.3
"1245",2010,"0484",5.5
"1246",2010,"0631",11.0625
"1247",2010,"A315",NA
"1248",2010,"A320",5.8
"1249",2010,"A432",NA
"1250",2010,"A456",NA
"1251",2010,"A499",NA
"1252",2010,"A617",NA
"1253",2010,"A620",NA
"1254",2010,"A630",NA
"1255",2010,"A680",2.28
"1256",2010,"A685",NA
"1257",2010,"A690",NA
"1258",2010,"B484",NA
"1259",2010,"C320",NA
"1260",2010,"C370",NA
"1261",2010,"D320",3.2
"1262",2010,"G320",NA
"1263",2010,"KSHZ06",5.65
"1264",2010,"KTHA03",NA
"1265",2010,"LSIN1",1.7
"1266",2010,"LSIN9",1
"1267",2010,"N484",NA
"1268",2010,"VA12A",5.8
"1269",2010,"VA41A",7.45
"1270",2010,"VA42A",4.7
"1271",2010,"VA45A",4.55
"1272",2011,"0311",NA
"1273",2011,"0317",6.4
"1274",2011,"0321",NA
"1275",2011,"0322",3.75
"1276",2011,"0430",2.45
"1277",2011,"0434",4.65
"1278",2011,"0438",2.9525
"1279",2011,"0440",3.35
"1280",2011,"0442",NA
"1281",2011,"0444",NA
"1282",2011,"0446",5.2
"1283",2011,"0470",3.6
"1284",2011,"0474",5.7
"1285",2011,"0478",3.75
"1286",2011,"0484",5.3
"1287",2011,"0631",5.3
"1288",2011,"A315",NA
"1289",2011,"A320",4.25
"1290",2011,"A432",NA
"1291",2011,"A456",NA
"1292",2011,"A499",NA
"1293",2011,"A617",NA
"1294",2011,"A620",NA
"1295",2011,"A630",NA
"1296",2011,"A680",2.15
"1297",2011,"A685",NA
"1298",2011,"A690",NA
"1299",2011,"B484",NA
"1300",2011,"C320",NA
"1301",2011,"C370",NA
"1302",2011,"D320",3.6
"1303",2011,"G320",NA
"1304",2011,"KSHZ06",6.7
"1305",2011,"KTHA03",NA
"1306",2011,"LSIN1",0.9
"1307",2011,"LSIN9",1.775
"1308",2011,"N484",NA
"1309",2011,"VA12A",2.6
"1310",2011,"VA41A",6.785
"1311",2011,"VA42A",4.2
"1312",2011,"VA45A",3.7
"1313",2012,"0311",NA
"1314",2012,"0317",4.15
"1315",2012,"0321",NA
"1316",2012,"0322",3.5375
"1317",2012,"0430",2.3
"1318",2012,"0434",6.3
"1319",2012,"0438",2.2
"1320",2012,"0440",4.2
"1321",2012,"0442",NA
"1322",2012,"0444",NA
"1323",2012,"0446",2.75
"1324",2012,"0470",2.5
"1325",2012,"0474",4.875
"1326",2012,"0478",3.5
"1327",2012,"0484",4.425
"1328",2012,"0631",3.65
"1329",2012,"A315",NA
"1330",2012,"A320",3.9975
"1331",2012,"A432",NA
"1332",2012,"A456",NA
"1333",2012,"A499",NA
"1334",2012,"A617",NA
"1335",2012,"A620",NA
"1336",2012,"A630",NA
"1337",2012,"A680",2.15
"1338",2012,"A685",NA
"1339",2012,"A690",NA
"1340",2012,"B484",NA
"1341",2012,"C320",NA
"1342",2012,"C370",NA
"1343",2012,"D320",2.45
"1344",2012,"G320",NA
"1345",2012,"KSHZ06",3.5
"1346",2012,"KTHA03",NA
"1347",2012,"LSIN1",1
"1348",2012,"LSIN9",1.33
"1349",2012,"N484",NA
"1350",2012,"VA12A",2.93
"1351",2012,"VA41A",6
"1352",2012,"VA42A",4.9
"1353",2012,"VA45A",4.795
"1354",2013,"0311",NA
"1355",2013,"0317",4.52
"1356",2013,"0321",2.65
"1357",2013,"0322",3.35
"1358",2013,"0430",2.15
"1359",2013,"0434",4.15
"1360",2013,"0438",2.75
"1361",2013,"0440",2.7
"1362",2013,"0442",1.85
"1363",2013,"0444",1.95
"1364",2013,"0446",3.7
"1365",2013,"0470",4.1
"1366",2013,"0474",4.725
"1367",2013,"0478",4.35
"1368",2013,"0484",5.35
"1369",2013,"0631",4.15
"1370",2013,"A315",7.2
"1371",2013,"A320",2.95
"1372",2013,"A432",7.9
"1373",2013,"A456",3.65
"1374",2013,"A499",NA
"1375",2013,"A617",1.6
"1376",2013,"A620",0.95
"1377",2013,"A630",2.35
"1378",2013,"A680",2.15
"1379",2013,"A685",2.5
"1380",2013,"A690",NA
"1381",2013,"B484",4.05
"1382",2013,"C320",2.35
"1383",2013,"C370",5.2
"1384",2013,"D320",3.05
"1385",2013,"G320",3.85
"1386",2013,"KSHZ06",3.45
"1387",2013,"KTHA03",4
"1388",2013,"LSIN1",1.5
"1389",2013,"LSIN9",1.5
"1390",2013,"N484",2.5
"1391",2013,"VA12A",NA
"1392",2013,"VA41A",NA
"1393",2013,"VA42A",4.05
"1394",2013,"VA45A",NA
"1395",2014,"0311",NA
"1396",2014,"0317",4.85
"1397",2014,"0321",4.555
"1398",2014,"0322",5.855
"1399",2014,"0430",3.1
"1400",2014,"0434",4.7
"1401",2014,"0438",2.835
"1402",2014,"0440",2.535
"1403",2014,"0442",4.19
"1404",2014,"0444",2.295
"1405",2014,"0446",1.99
"1406",2014,"0470",2.855
"1407",2014,"0474",5.28
"1408",2014,"0478",3.785
"1409",2014,"0484",5.655
"1410",2014,"0631",4.725
"1411",2014,"A315",8.2
"1412",2014,"A320",3.725
"1413",2014,"A432",7.505
"1414",2014,"A456",2.8
"1415",2014,"A499",NA
"1416",2014,"A617",1.415
"1417",2014,"A620",0.55
"1418",2014,"A630",2.28
"1419",2014,"A680",2.72
"1420",2014,"A685",2.965
"1421",2014,"A690",NA
"1422",2014,"B484",5.18
"1423",2014,"C320",1.945
"1424",2014,"C370",8.65
"1425",2014,"D320",2.815
"1426",2014,"G320",3.765
"1427",2014,"KSHZ06",4
"1428",2014,"KTHA03",6.38
"1429",2014,"LSIN1",1.095
"1430",2014,"LSIN9",1.08
"1431",2014,"N484",2.795
"1432",2014,"VA12A",NA
"1433",2014,"VA41A",NA
"1434",2014,"VA42A",4.63
"1435",2014,"VA45A",NA
"1436",2015,"0311",4.52
"1437",2015,"0317",5.87
"1438",2015,"0321",5.425
"1439",2015,"0322",4.015
"1440",2015,"0430",3.8
"1441",2015,"0434",4.08
"1442",2015,"0438",3.495
"1443",2015,"0440",2.38
"1444",2015,"0442",2.25
"1445",2015,"0444",3.21
"1446",2015,"0446",3.015
"1447",2015,"0470",4.35
"1448",2015,"0474",9.22
"1449",2015,"0478",3.865
"1450",2015,"0484",7.62
"1451",2015,"0631",3.9
"1452",2015,"A315",12.6
"1453",2015,"A320",3.67
"1454",2015,"A432",11.05
"1455",2015,"A456",3.8
"1456",2015,"A499",5.55
"1457",2015,"A617",1.85
"1458",2015,"A620",1.435
"1459",2015,"A630",3.555
"1460",2015,"A680",3.19
"1461",2015,"A685",3.97
"1462",2015,"A690",3.53
"1463",2015,"B484",5.955
"1464",2015,"C320",1.77
"1465",2015,"C370",4.35
"1466",2015,"D320",2.595
"1467",2015,"G320",3.75
"1468",2015,"KSHZ06",3.36
"1469",2015,"KTHA03",4.185
"1470",2015,"LSIN1",1.46
"1471",2015,"LSIN9",1.37
"1472",2015,"N484",3.045
"1473",2015,"VA12A",2.47
"1474",2015,"VA41A",9.825
"1475",2015,"VA42A",5.37
"1476",2015,"VA45A",4.135
"1477",2016,"0311",4.2
"1478",2016,"0317",5.25
"1479",2016,"0321",4.55
"1480",2016,"0322",2.95
"1481",2016,"0430",2.95
"1482",2016,"0434",4.845
"1483",2016,"0438",3.35
"1484",2016,"0440",4.35
"1485",2016,"0442",2
"1486",2016,"0444",3.4
"1487",2016,"0446",2.1
"1488",2016,"0470",3.565
"1489",2016,"0474",7.75
"1490",2016,"0478",4.3
"1491",2016,"0484",3.65
"1492",2016,"0631",4
"1493",2016,"A315",7.115
"1494",2016,"A320",2.5
"1495",2016,"A432",12.05
"1496",2016,"A456",6.85
"1497",2016,"A499",5.85
"1498",2016,"A617",1.65
"1499",2016,"A620",1.2
"1500",2016,"A630",3.35
"1501",2016,"A680",3.2
"1502",2016,"A685",5.25
"1503",2016,"A690",5.35
"1504",2016,"B484",4.5
"1505",2016,"C320",1.25
"1506",2016,"C370",5.4
"1507",2016,"D320",1.6
"1508",2016,"G320",2.95
"1509",2016,"KSHZ06",4.3
"1510",2016,"KTHA03",3.05
"1511",2016,"LSIN1",1.3
"1512",2016,"LSIN9",0.9
"1513",2016,"N484",2.61125
"1514",2016,"VA12A",2.7
"1515",2016,"VA41A",6.55
"1516",2016,"VA42A",5.9
"1517",2016,"VA45A",1.92
"1518",2017,"0311",4.7
"1519",2017,"0317",5.05
"1520",2017,"0321",5.25
"1521",2017,"0322",5.35
"1522",2017,"0430",4.05
"1523",2017,"0434",6.1
"1524",2017,"0438",2.6
"1525",2017,"0440",7.1
"1526",2017,"0442",2.35
"1527",2017,"0444",2
"1528",2017,"0446",4.85
"1529",2017,"0470",5.55
"1530",2017,"0474",7.15
"1531",2017,"0478",5.15
"1532",2017,"0484",6.63
"1533",2017,"0631",3.45
"1534",2017,"A315",10.8
"1535",2017,"A320",5.1
"1536",2017,"A432",12.65
"1537",2017,"A456",5.95
"1538",2017,"A499",5.5
"1539",2017,"A617",1.8225
"1540",2017,"A620",1.1
"1541",2017,"A630",4.125
"1542",2017,"A680",2.95
"1543",2017,"A685",3
"1544",2017,"A690",4.47
"1545",2017,"B484",4.25
"1546",2017,"C320",1.25
"1547",2017,"C370",7.3
"1548",2017,"D320",2.975
"1549",2017,"G320",3.95
"1550",2017,"KSHZ06",5.5
"1551",2017,"KTHA03",3.7
"1552",2017,"LSIN1",1.2
"1553",2017,"LSIN9",1.05
"1554",2017,"N484",2.255
"1555",2017,"VA12A",3.2
"1556",2017,"VA41A",6.15
"1557",2017,"VA42A",8.2
"1558",2017,"VA45A",2.3
"1559",2018,"0311",4.85
"1560",2018,"0317",4.87
"1561",2018,"0321",3.55
"1562",2018,"0322",3.8
"1563",2018,"0430",3.385
"1564",2018,"0434",4.925
"1565",2018,"0438",2.105
"1566",2018,"0440",3.255
"1567",2018,"0442",1.98
"1568",2018,"0444",2.535
"1569",2018,"0446",2.8
"1570",2018,"0470",4.075
"1571",2018,"0474",5.415
"1572",2018,"0478",3.95
"1573",2018,"0484",3.135
"1574",2018,"0631",2.695
"1575",2018,"A315",9.79
"1576",2018,"A320",3.9
"1577",2018,"A432",8.1
"1578",2018,"A456",10.595
"1579",2018,"A499",5.8
"1580",2018,"A617",2.2
"1581",2018,"A620",2.035
"1582",2018,"A630",3.01
"1583",2018,"A680",2.1
"1584",2018,"A685",2.625
"1585",2018,"A690",2.915
"1586",2018,"B484",3.9625
"1587",2018,"C320",0.85
"1588",2018,"C370",6.255
"1589",2018,"D320",2.7
"1590",2018,"G320",3.7
"1591",2018,"KSHZ06",5.55
"1592",2018,"KTHA03",3.6275
"1593",2018,"LSIN1",1.84
"1594",2018,"LSIN9",1.195
"1595",2018,"N484",2.7
"1596",2018,"VA12A",2.2
"1597",2018,"VA41A",4.665
"1598",2018,"VA42A",4.805
"1599",2018,"VA45A",1.5
"1600",2019,"0311",4.6
"1601",2019,"0317",3.9925
"1602",2019,"0321",3.6
"1603",2019,"0322",3.385
"1604",2019,"0430",2.55
"1605",2019,"0434",4.3
"1606",2019,"0438",3.495
"1607",2019,"0440",4.45
"1608",2019,"0442",2.6
"1609",2019,"0444",2.35
"1610",2019,"0446",2.5
"1611",2019,"0470",3.12
"1612",2019,"0474",5.15
"1613",2019,"0478",3.25
"1614",2019,"0484",3.2
"1615",2019,"0631",3.945
"1616",2019,"A315",7.21
"1617",2019,"A320",4.34
"1618",2019,"A432",7.7
"1619",2019,"A456",3.77
"1620",2019,"A499",5.545
"1621",2019,"A617",4.975
"1622",2019,"A620",1.35
"1623",2019,"A630",3.24
"1624",2019,"A680",2.675
"1625",2019,"A685",2.95
"1626",2019,"A690",3.7
"1627",2019,"B484",4.095
"1628",2019,"C320",0.9
"1629",2019,"C370",5.1
"1630",2019,"D320",2.445
"1631",2019,"G320",3
"1632",2019,"KSHZ06",3.9
"1633",2019,"KTHA03",2.85
"1634",2019,"LSIN1",0.9
"1635",2019,"LSIN9",0.9
"1636",2019,"N484",2.4
"1637",2019,"VA12A",1.75
"1638",2019,"VA41A",6
"1639",2019,"VA42A",5.05
"1640",2019,"VA45A",1
"1641",2020,"0311",4.405
"1642",2020,"0317",4.455
"1643",2020,"0321",4.95
"1644",2020,"0322",3.3
"1645",2020,"0430",4.3
"1646",2020,"0434",6.85
"1647",2020,"0438",2
"1648",2020,"0440",2.15
"1649",2020,"0442",3.85
"1650",2020,"0444",1.4
"1651",2020,"0446",2.5
"1652",2020,"0470",3.6
"1653",2020,"0474",3.4
"1654",2020,"0478",3.65
"1655",2020,"0484",2.315
"1656",2020,"0631",3.2
"1657",2020,"A315",8.85
"1658",2020,"A320",3.7
"1659",2020,"A432",10.4
"1660",2020,"A456",1.75
"1661",2020,"A499",4.12
"1662",2020,"A617",1.35
"1663",2020,"A620",0.9
"1664",2020,"A630",4.8
"1665",2020,"A680",2.515
"1666",2020,"A685",2.45
"1667",2020,"A690",4.4
"1668",2020,"B484",2.55
"1669",2020,"C320",0.7
"1670",2020,"C370",10.55
"1671",2020,"D320",2.1
"1672",2020,"G320",2.875
"1673",2020,"KSHZ06",3.75
"1674",2020,"KTHA03",2.235
"1675",2020,"LSIN1",1.05
"1676",2020,"LSIN9",0.8
"1677",2020,"N484",2.05
"1678",2020,"VA12A",1.75
"1679",2020,"VA41A",4.92
"1680",2020,"VA42A",4
"1681",2020,"VA45A",0.9
"1682",2021,"0311",5.05
"1683",2021,"0317",6.15
"1684",2021,"0321",6.25
"1685",2021,"0322",4.02
"1686",2021,"0430",2.1
"1687",2021,"0434",3.95
"1688",2021,"0438",2.4
"1689",2021,"0440",2.55
"1690",2021,"0442",2.85
"1691",2021,"0444",2.4
"1692",2021,"0446",1.95
"1693",2021,"0470",3.1
"1694",2021,"0474",3.85
"1695",2021,"0478",2.8
"1696",2021,"0484",NA
"1697",2021,"0631",3.1
"1698",2021,"A315",9.85
"1699",2021,"A320",3.95
"1700",2021,"A432",5.715
"1701",2021,"A456",2.025
"1702",2021,"A499",5.25
"1703",2021,"A617",1.7425
"1704",2021,"A620",0.865
"1705",2021,"A630",2.975
"1706",2021,"A680",1.7
"1707",2021,"A685",3.15
"1708",2021,"A690",2.15
"1709",2021,"B484",3.2
"1710",2021,"C320",0.88
"1711",2021,"C370",5.55
"1712",2021,"D320",1.785
"1713",2021,"G320",3.35
"1714",2021,"KSHZ06",4.45
"1715",2021,"KTHA03",2.9
"1716",2021,"LSIN1",2.175
"1717",2021,"LSIN9",0.95
"1718",2021,"N484",2.35
"1719",2021,"VA12A",1.8
"1720",2021,"VA41A",5.585
"1721",2021,"VA42A",4.7
"1722",2021,"VA45A",3
"1723",2022,"0311",5.16
"1724",2022,"0317",5
"1725",2022,"0321",3.95
"1726",2022,"0322",3.05
"1727",2022,"0430",1.775
"1728",2022,"0434",4.46
"1729",2022,"0438",2.15
"1730",2022,"0440",3.6
"1731",2022,"0442",2.25
"1732",2022,"0444",1.65
"1733",2022,"0446",1.67
"1734",2022,"0470",3.15
"1735",2022,"0474",5.1
"1736",2022,"0478",3.2
"1737",2022,"0484",NA
"1738",2022,"0631",4.8
"1739",2022,"A315",7.305
"1740",2022,"A320",6.23
"1741",2022,"A432",6.75
"1742",2022,"A456",2.95
"1743",2022,"A499",6.4
"1744",2022,"A617",1.515
"1745",2022,"A620",0.71
"1746",2022,"A630",4.96
"1747",2022,"A680",1.72
"1748",2022,"A685",8.9
"1749",2022,"A690",2.85
"1750",2022,"B484",2.75
"1751",2022,"C320",0.81
"1752",2022,"C370",5.85
"1753",2022,"D320",2.05
"1754",2022,"G320",2.3
"1755",2022,"KSHZ06",5.32
"1756",2022,"KTHA03",3.78
"1757",2022,"LSIN1",1.1
"1758",2022,"LSIN9",1.05
"1759",2022,"N484",2.15
"1760",2022,"VA12A",2.1
"1761",2022,"VA41A",7.115
"1762",2022,"VA42A",6
"1763",2022,"VA45A",1.55
