"","Year","Locator","Z_scores"
"1",1980,"0311",1.69447516010422
"2",1980,"0317",2.40174899204152
"3",1980,"0321",0.814308678382027
"4",1980,"0322",0.631711971148347
"5",1980,"0430",1.07960920070355
"6",1980,"0434",0.747067291440028
"7",1980,"0438",0.733102706303006
"8",1980,"0440",0.79874598337972
"9",1980,"0442",0.454413717639882
"10",1980,"0444",3.34731238145935
"11",1980,"0446",1.09979278819943
"12",1980,"0470",2.60483323469214
"13",1980,"0474",1.1477715064449
"14",1980,"0478",1.32047403637538
"15",1980,"0484",1.72392110757265
"16",1980,"0631",-0.0453562419372496
"17",1980,"A315",2.45605564862137
"18",1980,"A320",0.970417339538279
"19",1980,"A432",2.06302065343164
"20",1980,"A456",2.37589457966556
"21",1980,"A499",3.07257946902825
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",-1.28091658855338
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",1.30779342193525
"29",1980,"C320",0.802588075572663
"30",1980,"C370",2.95960661172191
"31",1980,"D320",0.69607462255704
"32",1980,"G320",0.760835039697944
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",1.9385235516287
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",-0.259481086548768
"41",1981,"0317",0.941361858484412
"42",1981,"0321",-1.72644449488964
"43",1981,"0322",0.22096288865159
"44",1981,"0430",-0.227645329165847
"45",1981,"0434",-1.20122021264864
"46",1981,"0438",1.18206261578357
"47",1981,"0440",0.645032140309592
"48",1981,"0442",0.00763720533848538
"49",1981,"0444",1.24390567336171
"50",1981,"0446",0.361318234485229
"51",1981,"0470",0.990596821912287
"52",1981,"0474",1.61696721046325
"53",1981,"0478",0.994103100527465
"54",1981,"0484",2.11010008769748
"55",1981,"0631",3.33425687569752
"56",1981,"A315",2.58457378067502
"57",1981,"A320",0.970417339538279
"58",1981,"A432",0.464531008607154
"59",1981,"A456",-0.395651893692221
"60",1981,"A499",0.271174415235552
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",-0.503612380933166
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",2.16446263806752
"68",1981,"C320",0.900159568550637
"69",1981,"C370",2.0741672196318
"70",1981,"D320",-0.451814496137216
"71",1981,"G320",1.59762484647233
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",0.516014239713844
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",0.18992885018142
"80",1982,"0317",1.92737730132691
"81",1982,"0321",0.117287896334047
"82",1982,"0322",-0.227127019526691
"83",1982,"0430",3.85752507667602
"84",1982,"0434",1.46865525591731
"85",1982,"0438",0.215072041517743
"86",1982,"0440",1.4904582771953
"87",1982,"0442",2.39044527094593
"88",1982,"0444",2.44585236370322
"89",1982,"0446",0.853634603628028
"90",1982,"0470",1.23273228382926
"91",1982,"0474",3.70228145054482
"92",1982,"0478",1.48365950429934
"93",1982,"0484",1.98137376098921
"94",1982,"0631",1.57404171026274
"95",1982,"A315",1.09590541772028
"96",1982,"A320",0.478906021406795
"97",1982,"A432",2.06302065343164
"98",1982,"A456",2.182530872222
"99",1982,"A499",1.9667616846364
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",-0.025271330089954
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",2.27154629008405
"107",1982,"C320",0.022016131748876
"108",1982,"C370",1.68063860092508
"109",1982,"D320",0.0264726366520573
"110",1982,"G320",1.0955509624077
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",2.09658014184146
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",0.391837662335563
"119",1983,"0317",1.83927970162277
"120",1983,"0321",NA
"121",1983,"0322",-0.525853624978878
"122",1983,"0430",0.0174648951846649
"123",1983,"0434",0.169796919858201
"124",1983,"0438",NA
"125",1983,"0440",1.41360135566023
"126",1983,"0442",-1.03484132336477
"127",1983,"0444",1.16878400521537
"128",1983,"0446",0.238239142199529
"129",1983,"0470",-0.139368667033609
"130",1983,"0474",2.3468271944918
"131",1983,"0478",0.178175760907671
"132",1983,"0484",0.350840289350995
"133",1983,"0631",1.78526753011492
"134",1983,"A315",0.431895068776438
"135",1983,"A320",-0.258360955790432
"136",1983,"A432",-0.186705513358378
"137",1983,"A456",-0.137833617100799
"138",1983,"A499",-1.35069166853917
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",0.572654983464061
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",0.0227895977368521
"146",1983,"C320",0.119587624726849
"147",1983,"C370",NA
"148",1983,"D320",-0.356157069579361
"149",1983,"G320",0.509798097665627
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",-1.3806648428393
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",-0.506982211124813
"158",1984,"0317",2.13406782370971
"159",1984,"0321",NA
"160",1984,"0322",0.762404861033679
"161",1984,"0430",-1.12638281845106
"162",1984,"0434",-1.48985539843955
"163",1984,"0438",NA
"164",1984,"0440",2.41274133561607
"165",1984,"0442",-0.736990315163842
"166",1984,"0444",0.117080651166546
"167",1984,"0446",-0.992551780657469
"168",1984,"0470",-2.31858782428641
"169",1984,"0474",0.313645810412269
"170",1984,"0478",-0.800937046636081
"171",1984,"0484",-0.421517670898684
"172",1984,"0631",-0.326990668406814
"173",1984,"A315",1.40649090351659
"174",1984,"A320",-0.586035167878089
"175",1984,"A432",-1.37077191693207
"176",1984,"A456",-1.49137956920576
"177",1984,"A499",-0.98208574040855
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",-1.52008711397499
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",-1.79763248654421
"185",1984,"C320",-0.856127305052885
"186",1984,"C370",NA
"187",1984,"D320",-0.643129349252925
"188",1984,"G320",-0.326991709108761
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",-0.906495072201014
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",-0.689351460812426
"197",1985,"0317",2.66943016037333
"198",1985,"0321",NA
