"","Year","Locator","umhos/cm"
"239",1985,"KTHA03",NA
"240",1985,"LSIN1",NA
"241",1985,"LSIN9",NA
"242",1985,"N484",104
"243",1985,"VA12A",NA
"244",1985,"VA41A",NA
"245",1985,"VA42A",NA
"246",1985,"VA45A",NA
"247",1986,"0311",118
"248",1986,"0317",340
"249",1986,"0321",NA
"250",1986,"0322",140
"251",1986,"0430",190
"252",1986,"0434",226
"253",1986,"0438",NA
"254",1986,"0440",147
"255",1986,"0442",440
"256",1986,"0444",190
"257",1986,"0446",184
"258",1986,"0470",175
"259",1986,"0474",170
"260",1986,"0478",125
"261",1986,"0484",110
"262",1986,"0631",105
"263",1986,"A315",225
"264",1986,"A320",122
"265",1986,"A432",196.5
"266",1986,"A456",198
"267",1986,"A499",190
"268",1986,"A617",NA
"269",1986,"A620",NA
"270",1986,"A630",320
"271",1986,"A680",NA
"272",1986,"A685",NA
"273",1986,"A690",NA
"274",1986,"B484",120
"275",1986,"C320",130
"276",1986,"C370",NA
"277",1986,"D320",115
"278",1986,"G320",65
"279",1986,"KSHZ06",NA
"280",1986,"KTHA03",NA
"281",1986,"LSIN1",NA
"282",1986,"LSIN9",NA
"283",1986,"N484",124
"284",1986,"VA12A",NA
"285",1986,"VA41A",NA
"286",1986,"VA42A",NA
"287",1986,"VA45A",NA
"288",1987,"0311",121.5
"289",1987,"0317",319.5
"290",1987,"0321",NA
"291",1987,"0322",141.5
"292",1987,"0430",200
"293",1987,"0434",219
"294",1987,"0438",NA
"295",1987,"0440",166.5
"296",1987,"0442",545
"297",1987,"0444",199
"298",1987,"0446",169
"299",1987,"0470",172
"300",1987,"0474",156.5
"301",1987,"0478",127
"302",1987,"0484",115
"303",1987,"0631",130
"304",1987,"A315",239.5
"305",1987,"A320",120
"306",1987,"A432",200
"307",1987,"A456",190
"308",1987,"A499",200
"309",1987,"A617",NA
"310",1987,"A620",NA
"311",1987,"A630",210
"312",1987,"A680",NA
"313",1987,"A685",NA
"314",1987,"A690",NA
"315",1987,"B484",126.5
"316",1987,"C320",122.5
"317",1987,"C370",NA
"318",1987,"D320",110
"319",1987,"G320",64
"320",1987,"KSHZ06",NA
"321",1987,"KTHA03",NA
"322",1987,"LSIN1",NA
"323",1987,"LSIN9",NA
"324",1987,"N484",125.5
"325",1987,"VA12A",NA
"326",1987,"VA41A",NA
"327",1987,"VA42A",NA
"328",1987,"VA45A",NA
"329",1988,"0311",112.666666666667
"330",1988,"0317",246
"331",1988,"0321",NA
"332",1988,"0322",142.5
"333",1988,"0430",221
"334",1988,"0434",240
"335",1988,"0438",NA
"336",1988,"0440",162.5
"337",1988,"0442",498
"338",1988,"0444",177
"339",1988,"0446",200
"340",1988,"0470",180
"341",1988,"0474",160
"342",1988,"0478",130
"343",1988,"0484",115.833333333333
"344",1988,"0631",105
"345",1988,"A315",210
"346",1988,"A320",119.166666666667
"347",1988,"A432",205
"348",1988,"A456",205
"349",1988,"A499",200
"350",1988,"A617",NA
"351",1988,"A620",NA
"352",1988,"A630",235
"353",1988,"A680",120
"354",1988,"A685",NA
"355",1988,"A690",110
"356",1988,"B484",130
"357",1988,"C320",120
"358",1988,"C370",NA
"359",1988,"D320",102.5
"360",1988,"G320",60
"361",1988,"KSHZ06",NA
"362",1988,"KTHA03",NA
"363",1988,"LSIN1",NA
"364",1988,"LSIN9",NA
"365",1988,"N484",127.5
"366",1988,"VA12A",NA
"367",1988,"VA41A",NA
"368",1988,"VA42A",NA
"369",1988,"VA45A",NA
"370",1989,"0311",149
"371",1989,"0317",287
"372",1989,"0321",NA
"373",1989,"0322",141.5
"374",1989,"0430",215
"375",1989,"0434",229.5
"376",1989,"0438",NA
"377",1989,"0440",152.5
"378",1989,"0442",437
"379",1989,"0444",186.5
"380",1989,"0446",189.5
"381",1989,"0470",177.5
"382",1989,"0474",158
"383",1989,"0478",136
"384",1989,"0484",117.25
"385",1989,"0631",120
"386",1989,"A315",244
"387",1989,"A320",119.5
"388",1989,"A432",202
"389",1989,"A456",201
"390",1989,"A499",200.5
"391",1989,"A617",NA
"392",1989,"A620",NA
"393",1989,"A630",245
"394",1989,"A680",NA
"395",1989,"A685",NA
"396",1989,"A690",NA
"397",1989,"B484",135
"398",1989,"C320",130
"399",1989,"C370",NA
"400",1989,"D320",108.5
"401",1989,"G320",60.5
"402",1989,"KSHZ06",245
"403",1989,"KTHA03",220.5
"404",1989,"LSIN1",NA
"405",1989,"LSIN9",NA
"406",1989,"N484",130
"407",1989,"VA12A",NA
"408",1989,"VA41A",NA
"409",1989,"VA42A",NA
"410",1989,"VA45A",NA
"411",1990,"0311",115
"412",1990,"0317",210
"413",1990,"0321",NA
"414",1990,"0322",150
"415",1990,"0430",220
"416",1990,"0434",220
"417",1990,"0438",NA
"418",1990,"0440",150
"419",1990,"0442",442.5
"420",1990,"0444",150.75
"421",1990,"0446",165
"422",1990,"0470",165
"423",1990,"0474",155
"424",1990,"0478",128
"425",1990,"0484",110
"426",1990,"0631",91.5
"427",1990,"A315",240
"428",1990,"A320",115
"429",1990,"A432",180
"430",1990,"A456",200
"431",1990,"A499",198
"432",1990,"A617",NA
"433",1990,"A620",NA
"434",1990,"A630",215
"435",1990,"A680",NA
"436",1990,"A685",NA
"437",1990,"A690",NA
"438",1990,"B484",120
"439",1990,"C320",120
"440",1990,"C370",NA
"441",1990,"D320",110
"442",1990,"G320",63
"443",1990,"KSHZ06",230
"444",1990,"KTHA03",230
"445",1990,"LSIN1",NA
"446",1990,"LSIN9",NA
"447",1990,"N484",122
"448",1990,"VA12A",NA
"449",1990,"VA41A",NA
"450",1990,"VA42A",NA
"451",1990,"VA45A",NA
"452",1991,"0311",83
"453",1991,"0317",169.5
"454",1991,"0321",NA
"455",1991,"0322",136
"456",1991,"0430",200
"457",1991,"0434",224
"458",1991,"0438",NA
"459",1991,"0440",153
"460",1991,"0442",342
"461",1991,"0444",129
"462",1991,"0446",159.5
"463",1991,"0470",163
"464",1991,"0474",147
"465",1991,"0478",123
"466",1991,"0484",104.5
"467",1991,"0631",96
"468",1991,"A315",199
"469",1991,"A320",112
"470",1991,"A432",170
"471",1991,"A456",191
"472",1991,"A499",203
"473",1991,"A617",NA
"474",1991,"A620",NA
"475",1991,"A630",223
"476",1991,"A680",NA
"477",1991,"A685",NA
"478",1991,"A690",NA
"479",1991,"B484",109
"480",1991,"C320",114
"481",1991,"C370",NA
"482",1991,"D320",102.5
"483",1991,"G320",57
"484",1991,"KSHZ06",249
"485",1991,"KTHA03",227
"486",1991,"LSIN1",NA
"487",1991,"LSIN9",NA
"488",1991,"N484",116
"489",1991,"VA12A",NA
