"","Year","Locator","μg/L"
"167",1984,"0321",NA
"168",1984,"0322",92.8367448669367
"169",1984,"0430",47.5834527939334
"170",1984,"0434",61.6481470788656
"171",1984,"0438",NA
"172",1984,"0440",42.8146592708999
"173",1984,"0442",30.6058068056855
"174",1984,"0444",75.0114484491157
"175",1984,"0446",45.6687237507608
"176",1984,"0470",56.2847726360501
"177",1984,"0474",88.0147352913993
"178",1984,"0478",44.7133994263321
"179",1984,"0484",61.158232216661
"180",1984,"0631",28.2976097716475
"181",1984,"A315",312.297656858313
"182",1984,"A320",25.0971770762878
"183",1984,"A432",55.3094947482203
"184",1984,"A456",76.9783561827859
"185",1984,"A499",66.0722240269167
"186",1984,"A617",NA
"187",1984,"A620",NA
"188",1984,"A630",29.678099972606
"189",1984,"A680",NA
"190",1984,"A685",NA
"191",1984,"A690",NA
"192",1984,"B484",54.3369179793629
"193",1984,"C320",14.6508335240628
"194",1984,"C370",NA
"195",1984,"D320",25.0917866633785
"196",1984,"G320",26.9386533169707
"197",1984,"KSHZ06",NA
"198",1984,"KTHA03",NA
"199",1984,"LSIN1",NA
"200",1984,"LSIN9",NA
"201",1984,"N484",48.5436036442908
"202",1984,"VA12A",NA
"203",1984,"VA41A",NA
"204",1984,"VA42A",NA
"205",1984,"VA45A",NA
"206",1985,"0311",38.9421346691922
"207",1985,"0317",232.124047481949
"208",1985,"0321",NA
"209",1985,"0322",54.8256653959486
"210",1985,"0430",34.7883515152587
"211",1985,"0434",54.3369179793629
"212",1985,"0438",NA
"213",1985,"0440",41.3930253329511
"214",1985,"0442",28.2951731898114
"215",1985,"0444",83.4864531699617
"216",1985,"0446",36.6627513860636
"217",1985,"0470",46.1561044924057
"218",1985,"0474",77.4806277686818
"219",1985,"0478",40.9161863227845
"220",1985,"0484",46.6248785107609
"221",1985,"0631",25.5504130780088
"222",1985,"A315",164.254077385773
"223",1985,"A320",23.277498589215
"224",1985,"A432",47.5834527939334
"225",1985,"A456",64.1021020558839
"226",1985,"A499",60.1822709733098
"227",1985,"A617",NA
"228",1985,"A620",NA
"229",1985,"A630",29.2159435531781
"230",1985,"A680",NA
"231",1985,"A685",NA
"232",1985,"A690",NA
"233",1985,"B484",49.5053049165865
"234",1985,"C320",14.6508335240628
"235",1985,"C370",NA
"236",1985,"D320",21.9221420986768
"237",1985,"G320",21.0158288520259
"238",1985,"KSHZ06",NA
"239",1985,"KTHA03",NA
"240",1985,"LSIN1",NA
"241",1985,"LSIN9",NA
"242",1985,"N484",46.6248785107609
"243",1985,"VA12A",NA
"244",1985,"VA41A",NA
"245",1985,"VA42A",NA
"246",1985,"VA45A",NA
"247",1986,"0311",37.2204578088638
"248",1986,"0317",244.698852024053
"249",1986,"0321",NA
"250",1986,"0322",96.1136009626
"251",1986,"0430",47.5834527939334
"252",1986,"0434",64.1014877900605
"253",1986,"0438",NA
"254",1986,"0440",38.0734816751416
"255",1986,"0442",23.276064202183
"256",1986,"0444",75.98115761812
"257",1986,"0446",42.8069040682249
"258",1986,"0470",47.5834527939334
"259",1986,"0474",79.9762309155829
"260",1986,"0478",44.7125689907607
"261",1986,"0484",62.1380619410702
"262",1986,"0631",21.0230389954928
"263",1986,"A315",178.631309809388
"264",1986,"A320",24.1825362056251
"265",1986,"A432",57.251867852396
"266",1986,"A456",83.9876421860056
"267",1986,"A499",59.2024236280556
"268",1986,"A617",NA
"269",1986,"A620",NA
"270",1986,"A630",23.276064202183
"271",1986,"A680",NA
"272",1986,"A685",NA
"273",1986,"A690",NA
"274",1986,"B484",58.2264800055494
